"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"RNAseqTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"SRP092166"	"Single-cell RNA-seq reveals heterogeneity within human pre-cDCs"	"Here, we use a microfluidics-based approach to prepare single-cell RNA-Seq libraries from 164 primary human conventional dendritic cells (cDCs) as well as cord blood (452) and blood (341) pre-cDCs. We examined heterogeneity between individual cells to document potential subpopulations within human cDCs and pre-cDCs. Overall design: RNA seq libraries from 957 single cells were prepared using the SMART-Seq 2 protocol (Picelli et al., 2013) 341 Blood pre-cDC (Blood pre-cDC_S* data columns in the expMatrix.txt) 452 CB pre-cDC (CB pre-cDC_S* data columns in the expMatrix.txt) 87 CD141+ cDC (blood_bdca3_S* data columns in the expMatrix.txt) 77 CD1c+ cDC (blood_bdca1_S* data columns in the expMatrix.txt)"	"SRA"	"total"	"scRNA-seq"	"957 libraries"	"Smart-Seq2"	"Full-length"					"GSE89232,PRJNA350790,PMID: 27864467, in HCA"
"ERP110903"	"Single-cell RNA-seq on Drisophila melanogaster wild type third instar eye discs"	"Wandering third instar larvae were dissected where the eye disc was separated from the antenna and brain. The tissues were dissociated into single cells and captured using Drop-seq. Single cell libraries were then generated from each cell and finally sequenced."	"SRA"	"total"	"scRNA-seq"	"4 libraries"	"Drop-seq"	"3'end"					"E-MTAB-7195, PRJEB28669, SRP150005, GSE115476, PRJNA475131,PMID: 30479347"
"ERP110890"	"Single-cell RNA-seq profiling of Drosphila melanogaster Rbf mutant third intsar eye discs"	"Wandering third instar larvae were dissected where the eye disc was separated from the antenna and brain using WT and Rbf mutants. The tissues were dissociated into single cells and captured using Drop-seq. Single cell libraries were then generated from each cell and finally sequenced."	"SRA"	"partial"	"scRNA-seq"	"7 libraries"	"Drop-seq"	"3'end"					"E-MTAB-7194, PRJEB28658, SRP150005, GSE115476, PRJNA475131,PMID: 30479347 (partial because libraries with mutant flies)"
"ERP111579"	"Single-cell RNA sequencing of marmoset embryonic development"	"Transcriptional profiling of common marmoset embryo stages spanning zygote to late preimplantation blastocyst was performed by single-cell RNA-seq."	"SRA"	"total"	"scRNA-seq"	"196 libraries"	"Smart-Seq2"	"Full-length"					"PRJEB29285, PMID: 30413530, E-MTAB-7078"
"SRP332736"	"Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans"	"Abundant evidence supports the presence of at least three distinct types of thalamocortical (TC) neurons in the primate dorsal lateral geniculate nucleus (dLGN) of the thalamus, the brain region that conveys visual information from the retina to the primary visual cortex (V1). Different types of TC neurons in mice, humans, and macaques have distinct morphologies, distinct connectivity patterns, and convey different aspects of visual information to the cortex. To investigate the molecular underpinnings of these cell types, and how these relate to differences in dLGN between human, macaque, and mice, we profiled gene expression in single nuclei and cells using RNA-sequencing. These efforts identified four distinct types of TC neurons in the primate dLGN: magnocellular (M) neurons, parvocellular (P) neurons, and two types of koniocellular (K) neurons. Despite extensively documented morphological and physiological differences between M and P neurons, we identified few genes with significant differential expression between transcriptomic cell types corresponding to these two neuronal populations. Likewise, the dominant feature of TC neurons of the adult mouse dLGN is high transcriptomic similarity, with an axis of heterogeneity that aligns with core vs. shell portions of mouse dLGN. Together, these data show that transcriptomic differences between principal cell types in the mature mammalian dLGN are subtle relative to the observed differences in morphology and cortical projection targets. Finally, alignment of transcriptome profiles across species highlights expanded diversity of GABAergic neurons in primate versus mouse dLGN and homologous types of TC neurons in primates that are distinct from TC neurons in mouse. Overall design: Single-cell RNA-seq data from mouse dLGN, LP, and LGv. Single-nucleus RNA-seq data from Macaque dLGN and pulvinar. Single-cell RNA-seq data from human. >>> Submitter declares that the human raw data will be deposited in dbGaP due to patient privacy concerns. <<<"	"SRA"	"total"	"Sn-scRNA-seq"	"4343 libraries (2187 commented)"	"Smart-Seq"	"Full-length"					"GSE182211,PRJNA755316,PMID: 34473054 (Mouse librairies all commented because of Cre genotype)"
"GSE182211"	"Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans"	"Abundant evidence supports the presence of at least three distinct types of thalamocortical (TC) neurons in the primate dorsal lateral geniculate nucleus (dLGN) of the thalamus, the brain region that conveys visual information from the retina to the primary visual cortex (V1). Different types of TC neurons in mice, humans, and macaques have distinct morphologies, distinct connectivity patterns, and convey different aspects of visual information to the cortex. To investigate the molecular underpinnings of these cell types, and how these relate to differences in dLGN between human, macaque, and mice, we profiled gene expression in single nuclei and cells using RNA-sequencing. These efforts identified four distinct types of TC neurons in the primate dLGN: magnocellular (M) neurons, parvocellular (P) neurons, and two types of koniocellular (K) neurons. Despite extensively documented morphological and physiological differences between M and P neurons, we identified few genes with significant differential expression between transcriptomic cell types corresponding to these two neuronal populations. Likewise, the dominant feature of TC neurons of the adult mouse dLGN is high transcriptomic similarity, with an axis of heterogeneity that aligns with core vs. shell portions of mouse dLGN. Together, these data show that transcriptomic differences between principal cell types in the mature mammalian dLGN are subtle relative to the observed differences in morphology and cortical projection targets. Finally, alignment of transcriptome profiles across species highlights expanded diversity of GABAergic neurons in primate versus mouse dLGN and homologous types of TC neurons in primates that are distinct from TC neurons in mouse. Overall design: Single-cell RNA-seq data from mouse dLGN, LP, and LGv. Single-nucleus RNA-seq data from Macaque dLGN and pulvinar. Single-cell RNA-seq data from human. >>> Submitter declares that the human raw data will be deposited in dbGaP due to patient privacy concerns. <<<"	"GEO"	"total"	"Sn-scRNA-seq"	"1209 libraries"	"Smart-Seq"	"Full-length"					"PMID: 34473054"
"SRP117353"	"RNA sequencing of Drosophila melanogaster optic lobe cell types"	"Transcription factors regulate the molecular, morphological, and physiological characters of neurons and generate their impressive cell type diversity. To gain insight into general principles that govern how transcription factors regulate cell type diversity, we used large-scale single-cell mRNA sequencing to characterize the extensive cellular diversity in the Drosophila optic lobes. We sequenced 57,000 single optic lobe neurons and glia and assigned them to 52 clusters of transcriptionally distinct single cells. We validated the clustering and annotated many of the clusters using RNA sequencing of characterized FACS-sorted single cell types, as well as marker genes specific to given clusters. To identify transcription factors responsible for inducing specific terminal differentiation features, we used machine-learning to generate a *random forest* model. The predictive power of the model was confirmed by showing that two transcription factors expressed specifically in cholinergic (apterous) and glutamatergic (traffic-jam) neurons are necessary for the expression of ChAT and VGlut in many, but not all, cholinergic or glutamatergic neurons, respectively. Therefore, the same terminal characters can be regulated by different transcription factors in different cell types, arguing for extensive phenotypic convergence. Our data provide a deep understanding of the developmental and functional specification of a complex brain structure. Overall design: We sequenced 17 FACS-sorted single cell types from the Drosophila optic lobe, as well as FACS-sorted neurons as a control. We also sequenced a line that had GFP expression in two cell types - Tm1 and T1."	"SRA"	"total"	"scRNA-seq"	"19 libraries"	"Smart-Seq v4"	"Full-length"					"GSE103772,PRJNA406954,PMID: 29909983"
"SRP162698"	"A cell atlas of the adult Drosophila midgut"	"Drosophila guts were dissociated to single cells as previously described (Dutta et al., 2015) with a few modifications. Guts were dissected from 7-day old adult esg-sfGFP/+, pros- Gal4>RFP/+ females. After pulling out the gut, the crop and midgut/hindgut junction (where the Malpighian tubules branch out of the gut) and Malpighian tubules were removed. Five flies at a time were dissected and immediately transferred into cold PBS containing 1% BSA to avoid exposing the midgut tissue to room temperature for a long period of time. Once 40 guts were dissected, they were transferred to a dissection plate and chopped into small pieces using a razor blade. These small fragments were immediately transferred to an eppendorf tube containing 400 ul of 1 mg/ml elastase/PBS solution (Sigma E0258) and incubated on a shaker at 27°C for 30 min. 1% of BSA in PBS (final concentration) was used to stop the digestion reaction and prevent cells from aggregating. The cell suspension was passed through 100 um and then a 40 um cell strainer and loaded on the top of Optiprep with density gradient 1.12 g/ml. Viable cells were isolated from the top layer of the sample after centrifugation at 800xg for 20 min. Cell viability and number were assessed by 0.4% trypan blue and hemocytometer. Overall design: inDrop and 10x single-cell RNA-sequencing of 10605 cells from the Drosophila midgut"	"SRA"	"partial"	"scRNA-seq"	"4 (the 2 inDrop libraries are commented)"	"inDrop, 10X Genomics"	"3'end"					"GSE120537,PRJNA493298,PMID: 31915294 (partial because inDrop (?) libraries with no barcodes)"
"SRP239427"	"Single-cell Transcriptomes Reveal Diverse Regulatory Strategies for Olfactory Receptor Expression and Axon Targeting"	"Using single-cell RNA-sequencing, we comprehensively characterized the transcriptomes of Drosophila olfactory receptor neurons (ORNs) from middle pupal stage antennae. These ORNs are from 3 genotypes: nSyb-GAL4 labels 44 ORN types, 85A10-GAL4 labels 5 ORN types, and AM29-GAL4 labels 2 ORN types. Overall design: Single-cell RNA-seq"	"SRA"	"total"	"scRNA-seq"	"1387 libraries"	"Adapted Smart-Seq2"	"Full-length"					"GSE143038,PRJNA598873,PMID: 32059767"
"SRP309993"	"Single-cell RNA-seq of fly glia"	"Using single-cell RNA-sequencing, we characterized the transcriptomes of Drosophila young and old glial cells from repo+ pan glia and ensheathing glia. scRNAseq was performed using Smart-seq2 platform. Overall design: Single-cell RNA-seq"	"SRA"	"total"	"scRNA-seq"	"3064 libraries"	"Smart-Seq2"	"Full-length"					"GSE168572,PRJNA708320,PMID: 34290404"
"SRP126958"	"Single-cell transcriptome analysis of avian neural crest migration reveals signatures of invasion and molecular transitions [scRNA-seq]"	"Neural crest cells migrate throughout the embryo, but how cells move in a directed and collective manner has remained unclear. Here, we perform the first single-cell transcriptome analysis of cranial neural crest cell migration at three progressive stages in chick and identify and establish hierarchical relationships between cell position and time-specific transcriptional signatures. We determine a novel transcriptional signature of the most invasive neural crest Trailblazer cells that is consistent during migration and enriched for approximately 900 genes. Knockdown of several Trailblazer genes shows significant but modest changes to total distance migrated. However, in vivo expression analysis by RNAscope and immunohistochemistry reveals some salt and pepper patterns that include strong individual Trailblazer gene expression in cells within other subregions of the migratory stream. These data provide new insights into the molecular diversity and dynamics within a neural crest cell migratory stream that underlie complex directed and collective cell behaviors. Overall design: 501 single cells analyzed from various parts of the migrating neural crest during various timepoints in development. 96 cells from HH11 Trailblazers, 50 cells from HH13 Trailblazers, 50 cells from HH13 Leaders, 60 cells from HH13 Trailers, 50 each from HH15 Trailblazers, Leaders, and Trailers. For definitions, see the extract protocol. Neural crest from a neural tube placed in culture were also analyzed."	"SRA"	"partial"	"scRNA-seq"	"405 libraries"	"Smart-Seq"	"Full-length"					"GSE108221,PRJNA422884,PMID: 29199959 (partial because of libraries with cell cultures)"
"SRP131342"	"Single-cell sequencing of stage 4 chicken embryos"	"Abstract from Vermillion et al: During vertebrate development, progenitor cells give rise to tissues and organs through a complex choreography that commences at gastrulation. A hallmark event of gastrulation is the formation of the primitive streak, a linear assembly of cells along the anterior-posterior (AP) axis of the developing organism. To examine the primitive streak at a single-cell resolution, we measured the transcriptomes of individual chick cells from the streak or the surrounding tissue (the rest of the area pellucida) in Hamburger-Hamilton stage 4 embryos. The single-cell transcriptomes were then ordered by the statistical method Wave-Crest to deduce both the relative position along the AP axis and the prospective lineage of single cells. The ordered transcriptomes reveal intricate patterns of gene expression along the primitive streak. Overall design: Examination of single-cells of stage 4 chicken embryos."	"SRA"	"total"	"scRNA-seq"	"205 libraries"	"C1 autoprep"	"Full-length"					"GSE89910,PRJNA354269,PMID: 29678445"
"SRP116037"	"Identification of genes expressed in a mesenchymal subset regulating prostate organogenesis using tissue and single cell transcriptomics"	"Prostate organogenesis involves epithelial growth in response to inductive signalling from specialised subsets of mesenchyme. To identify regulators and morphogens active in mesenchyme, we performed transcriptomic analysis using Tag-seq, RNA-seq, and single cell RNA-seq and defined new mesenchymal subsets and markers. We documented transcript expression using Tag-seq and RNA-seq in female rat Ventral Mesenchymal Pad (VMP) as well as adjacent urethra comprised of smooth muscle and peri-urethral mesenchyme. Transcripts enriched in VMP were identified in Tag-seq data from microdissected tissue, and RNA-seq data derived from cell populations and single cells. We identified 400 transcripts as enriched or specific to the VMP using bio-informatic comparisons of Tag-seq and RNA-seq data. Comparison with single cell RNA-seq identified transcripts yielded 45 transcriptscommon to both approaches. Cell subset analysis showed that VMP and adjacent mesenchyme were composed of distinct cell types and that each tissue was comprised of two subgroups. Markers for these subgroups were highly subset specific. Thirteen transcripts were validated by qPCR to confirm cell specific expression in microdissected tissues, as well as expression in neonatal prostate. Immunohistochemical staining demonstrated that Ebf3 and Meis2 showed a restricted expression pattern in VMP condensed mesenchyme. Taken together, we demonstrate that the VMP shows limited cellular heterogeneity and that our high-resolution transcriptomic analysis identified new mesenchymal subset markers associated with prostate organogenesis. Overall design: Tag-sequencing, RNA-sequencing and single-cell RNA-sequencing on 2 female inductive mesenchymal tissues of the developing prostate/urogenital tract."	"SRA"	"partial"	"scRNA-seq"	"115 libraries"	"C1 autoprep"	"Full-length"					"GSE103011,PRJNA399753,PMID: 29180763 (partial because some non scRNA-Seq libraries)"
"SRP292191"	"Temporal evolution of single-cell transcriptomes of Drosophila olfactory projection neurons"	"Neurons undergo substantial morphological and functional changes during development to form precise synaptic connections and acquire specific physiological features. What are the underlying transcriptomic bases? Here, we obtained the single-cell transcriptomes of Drosophila olfactory projection neurons (PNs) at four developmental stages. We decoded the identity of 21 transcriptomic clusters corresponding to 20 PN types and developed methods to match transcriptomic clusters representing the same PN type across development. We discovered that PN transcriptomes reflect unique biological processes unfolding at each stage-neurite growth and pruning during metamorphosis at an early pupal stage; peaked transcriptomic diversity during olfactory circuit assembly at mid-pupal stages; and neuronal signaling in adults. At early developmental stages, PN types with adjacent birth order share similar transcriptomes. Together, our work reveals principles of cellular diversity during brain development and provides a resource for future studies of neural development in PNs and other neuronal types. Overall design: Single-cell RNA-seq of Drosophila olfactory projection neurons during development and in adult stage"	"SRA"	"total"	"scRNA-seq"	"11509 libraries"	"Adapted Smart-Seq2"	"Full-length"					"GSE161228,PRJNA675921,PMID: 33427646"
"SRP200614"	"Single-cell sequencing of enteroendocrine cells (EEs) in Drosophila midgut."	"Enteroendocrine cells (EEs) in the intestinal epithelium have important endocrine functions, yet this cell lineage exhibits great local and regional variations that have hampered detailed characterization of EE subtypes. Through single cell RNA-sequencing analysis, combined with a collection of neuropeptide/receptor knock-in strains, here we provide a comprehensive analysis of cellular diversity, spatial distribution and transcription factor (TF) code of EEs in adult Drosophila midgut. We identify 10 major EE subtypes that totally produced 14 different classes of hormone peptides. Each EE on average co-produces 2-5 different classes of hormone peptides. Functional screen with subtype-enriched TFs suggests a combinatorial TF code that controls EE cell diversity, with class-specific TFs Mirr and Ptx1that respectively define two major classes of EEs, and regional TFs such as Esg, Drm, Exex and Fer1that further define regional EE identity. Our single-cell data should greatly facilitate Drosophila modeling of EE differentiation and function. Overall design: FACS sort EE cells using CG32547-KI-GAL4> uas-GFP line and perform 10X genomics single cell sequencing. Raw data was further processed by Seurat algorithm and EE subtypes were visualized by generating a t-distributed stochastic neighborhood embedding (t-SNE) plot."	"SRA"	"total"	"scRNA-seq"	"1 library"	"10X Genomics"	"3'end"					"GSE132274,PRJNA547484,PMID: 31851941"
"SRP109266"	"Classifying Drosophila Olfactory Projection Neuron Subtypes by Single-cell RNA Sequencing"	"How a neuronal cell type is defined and how this relates to its transcriptome are still open questions. The Drosophila olfactory projection neurons (PNs) are among the bestcharacterized neuronal types: Different PN classes target dendrites to distinct olfactory glomeruli and PNs of the same class exhibit indistinguishable anatomical and physiological properties. Using single-cell RNA-sequencing, we comprehensively characterized the transcriptomes of 40 PN classes and unequivocally identified transcriptomes for 6 classes. We found a new lineage-specific transcription factor that instructs PN dendrite targeting. Transcriptomes of closely-related PN classes exhibit the largest difference during circuit assembly, but become indistinguishable in adults, suggesting that neuronal subtype diversity peaks during development. Genes encoding transcription factors and cell-surface molecules are the most differentially expressed, indicating their central roles in specifying neuronal identity. Finally, we show that PNs use highly redundant combinatorial molecular codes to distinguish subtypes, enabling robust specification of cell identity and circuit assembly. Overall design: Single-cell RNA-seq"	"SRA"	"total"	"scRNA-seq"	"1842 libraries"	"Adapted Smart-Seq2"	"Full-length"					"GSE100058,PRJNA390607,PMID: 29149607"
"SRP189762"	"Identification of renal resident macrophages across species [C1]"	"We use single cell RNA sequencing to identify an evolutionarily conserved gene expression signature in resident macrophages. Based on our single cell data, we show the presence of a core gene expression signature in a cluster of innate immune cells in mouse, rat, pig, and human kidney tissue. Further, using this gene expression signature, we identify novel candidate markers for resident macrophages that span all 4 species tested. Overall design: We performed 10x genomics and fluidigm C1 single cell sequencing on innate immune cells isolated from the kidney of mouse, rat, pig, and human kidney tissue. This series includes mouse and human samples."	"SRA"	"total"	"scRNA-seq"	"97 libraries (but 26 are commented)"	"C1 autoprep"	"Full-length"					"GSE128991,PRJNA529657,PMID: 30948627 (some libraries are commented due to potentially not normal conditions)"
"ERP127795"	"Transcriptional landscape of porcine circulating immune cells"	"Bulk RNA-seq from immune sorted cells and single cell RNA sequencing data from porcine PBMCs were generated to determine the gene expression pattern of porcine immune cells. This study is part of the FAANG project, promoting rapid prepublication of data to support the research community. These data are released under Fort Lauderdale principles, as confirmed in the Toronto Statement (Toronto International Data Release Workshop. Birney et al. 2009. Pre-publication data sharing. Nature 461:168-170). Any use of this dataset must abide by the FAANG data sharing principles. Data producers reserve the right to make the first publication of a global analysis of this data. If you are unsure if you are allowed to publish on this dataset, please contact the FAANG Data Coordination Centre and FAANG consortium (email faang-dcc@ebi.ac.uk and cc faang@iastate.edu) to enquire. The full guidelines can be found at http://www.faang.org/data-share-principle."	"EBI"	"partial"	"scRNA-seq"	"7 libraries"	"10X Genomics"	"3'end"					"PRJEB43826, PMID: 34249103  (bulk libraries annotated in corresponding table)"
"#SRP329017"	"Single cell atlas for mammals, reptiles and birds"	"Established the broadest single-nucleus RNA sequencing study to date, covering 11 representative species, including pets (cat, dog, hamster, and lizard), livestock (goat and rabbit), poultry (duck and pigeon), and wildlife (pangolin, tiger, and deer)"	"SRA"	"total"	"scRNA-seq"	"29 libraries"	"10X Genomics"	"3'end"					"GSE183300,PRJNA747757,PMID: 34873160"
"ERP129698"	"The Fly Cell Atlas: single-cell transcriptomes of the entire adult Drosophila - 10x dataset"	"Single-cell technologies have ushered in a new era for Drosophila research, allowing researchers to obtain transcriptomes for all stable cell types and dynamic cell states. Here we present the first release of the adult Fly Cell Atlas (FCA), which includes 580k cells from 15 individually dissected sexed tissues, as well as from the entire head and body. We annotated more than 250 distinct cell types across all tissues. Few cell types were uniquely detected in the entire head and body samples, suggesting high cell-type saturation. We provide an in-depth analysis of gene signatures and transcription factor combinations, as well as sexual dimorphism, across the whole animal. Finally, we studied cell type lineages that are shared between tissues, such as blood cells and muscle cells, allowing the retrieval of rare cell types and tissue- specific subtypes. This atlas provides a valuable resource for the entire Drosophila community as a reference to study genetic perturbations and disease models at single-cell resolution."	"EBI"	"total"	"scRNA-seq"	"61 libraries"	"10X Genomics"	"3'end"					"PRJEB45570, FCA, PMID: 35239393, (but commented Gal80ts trachea libraries and w1118 head libraries)"
"SRP184201"	"Modular transcriptional programs separately define axon and dendrite connectivity"	"Patterns of synaptic connectivity are remarkably precise and complex. Single-cell RNA sequencing has revealed a vast transcriptional diversity of neurons. Nevertheless, a clear logic underlying the transcriptional control of neuronal connectivity has yet to emerge. Here, we focused on Drosophila T4/T5 neurons, a class of closely related neuronal subtypes with different wiring patterns. Eight subtypes of T4/T5 neurons are defined by combinations of two patterns of dendritic inputs and four patterns of axonal outputs. Single-cell profiling during development revealed distinct transcriptional programs defining each dendrite and axon wiring pattern. These programs were defined by the expression of a few transcription factors and different combinations of cell surface proteins. Gain and loss of function studies provide evidence for independent control of different wiring features. We propose that modular transcriptional programs for distinct wiring features are assembled in different combinations to generate diverse patterns of neuronal connectivity. Overall design: Single-cell profiling of FACS purified populations of Drosophila melanogaster T4/T5 neurons during pupal development (24h and 48h APF)."	"SRA"	"total"	"scRNA-seq"	"2 libraries"	"10X Genomics"	"3'end"					"GSE126139,PRJNA521120,PMID: 31687928"
"SRP201124"	"Single-cell omics reveal human mononuclear phagocyte heterogeneity and inflammatory DC in health and disease"	"Human mononuclear phagocytes comprise phenotypically and functionally overlapping subsets of dendritic cells (DC) and monocytes, but their identification remains elusive. By integrating high-dimensional single-cell protein and RNA expression data, we clearly delineated monocytes from conventional DC2 (cDC2), identifying new markers including CD88/CD89 for monocytes and HLA-DQ/Fc(?)RI(?) for cDC2, allowing their unambiguous characterization in blood and tissues. We also show that cDC2 can be subdivided into phenotypically and functionally distinct subsets based on CD5, CD163 and CD14 expression, including a unique subset of circulating inflammatory CD5-CD163+CD14+ cells related to previously defined DC3. These inflammatory DC3 were expanded in systemic lupus erythematosus patients, correlating with disease activity. Unravelling the heterogeneity of DC sub-populations in health and disease paves the way for specific DC subset-targeting therapies. Overall design: Indexed single cell RNAseq (scRNAseq) of human peripheral blood dendritic cells and monocytes"	"SRA"	"total"	"scRNA-seq"	"221 libraries"	"Adapted Smart-Seq2"	"Full-length"					"GSE132566,PRJNA548370,PMID: 31474513, in HCA"
"SRP110699"	"Single Cell RNA sequencing analysis of human haemopoietic lympho-myeloid progenitor populations (LMPP, MLP and GMP)"	"We performed single cell RNA sequencing of human haemopoietic lympho-myeloid progenitors with the aim to separate functionally and transcriptionally distinct progenitors within the heterogeneous GMP, LMPP and MLP populations. We performed RNA sequencing in a total of 415 single cells. From donors 1 (CB369) and 2 (CB431), 163/166 and 157/249 cells passed quality control.We further analysed the 320 single cells that passed quality control from two different donors (157 and 163 from each donor; 91 LMPP, 110 MLP and 119 GMP). We performed clustering using Seurat package, which identified 3 clusters of cells. We identified genes that were differentially expressed among cells of the different clusters. The majority of the cells in cluster 1 were MLP, the majority of cluster 3 were GMP while cluster comprised of LMPP and GMP cells. Cluster 1 showed high expression of lymphoid-affiliated genes. Conversely, cluster 3 showed increased expression of myeloid genes, while cluster 2 showed a mixed transcriptional signature. PCA analysis revealed a transcriptional continuum of LMPP, MLP and GMP populations. Overall design: Transcriptional heterogeneity of LMPP, MLP and GMP human lymphomyeloid progenitors at the single cell level."	"SRA"	"partial"	"scRNA-seq"	"415 libraries"	"Smart-Seq2"	"Full-length"					"GSE100618,PRJNA392305,PMID: 29167569 (partial because of empty samples), in HCA"
"SRP131761"	"Spatial and single-cell transcriptional profiling identifies functionally distinct human dermal fibroblast subpopulations"	"Fibroblasts synthesize the extracellular matrix of connective tissue and play an essential role in maintaining tissue integrity. We have previously shown that mouse skin connective tissue, the dermis, is comprised of functionally distinct fibroblast lineages. However, the extent of fibroblast heterogeneity in human skin is unknown. Here, using a combination of spatial transcriptional profiling of human and mouse dermis and single cell transcriptional profiling of human dermal fibroblasts, we show that there are at least four distinct fibroblast populations in adult human skin. We define markers permitting prospective isolation of these cells and show that although marker expression is rapidly lost in culture, different fibroblast subpopulations retain distinct functionality in terms of Wnt signalling, T cell communication and the ability to support human epidermal reconstitution in organotypic culture. Furthermore, while some fibroblast subpopulations are spatially segregated, others are not. These findings have profound implications for normal wound healing and diseases characterized by excessive fibrosis, and suggest that ex vivo expansion or in vivo ablation of specific fibroblast subpopulations may have therapeutic applications. Overall design: Spatial RNA sequencing of human papillary versus reticular dermis for 3 individuals, and single cell RNA sequencing of dermal fibroblasts for a single individual."	"SRA"	"total"	"scRNA-seq"	"185 libraries (and 5 bulk)"	"Smart-Seq2"	"Full-length"					"GSE109822,PRJNA432084,PMID: 29391249 (bulk libraries in corresponding table), in HCA"
"SRP060416"	"Single cell RNA-sequencing of human tonsil Innate lymphoid cells (ILCs)"	"Single cell RNA-sequencing of human tonsil Innate lymphoid cells (ILCs) from three independent tonsil donors. Overall design: Sequencing libraries were prepared from FACS sorted individual ILCs with the Smart-Seq2 protocol (Picelli et al. Nature Methods 2013)"	"SRA"	"total"	"scRNA-seq"	"648 libraries"	"Adapted Smart-Seq2"	"Full-length"					"GSE150050,PRJNA289086,PMID: 33420427, in HCA"
"SRP269263"	"Single-cell transcriptomics uncovers human corneal limbal stem cells and its differentiation trajectory"	"Limbal stem cells (LSCs), known as corneal epithelial stem cells, are located at the basal epithelial layer of the corneal limbus and serve an important function in maintaining the homeostasis of the corneal epithelium. Several putative molecular markers of LSCs have been previously identified. However, the specificity of these markers remains largely controversial. To address this gap in the current understanding of LSCs, we performed a transcriptome profiling of heterogeneous corneal limbal basal cells using single-cell transcriptomics technology to identify LSCs and their exclusive markers. We isolated limbal basal cells from two young donors, constructed scRNA-seq libraries, generated RNA-sequencing data using the 10x Genomics platform, and then finally obtained the transcriptome of about 18,000 individual single-cells using Cell ranger (https://10xgenomics.com). Next, we performed quality control, filtering and data integration using Seurat package (https://satijalab.org/seurat), about 16,400 cells were retained for further downstream analysis such as dimensional reduction, unsupervised clustering, and Differentially expressed gene selection, trajectory analysis and visualization. We identified 11 unique clusters of cells assigned to a putative cell type based on published known biomarkers for differentiation, proliferation and putative epithelial stem cells. As a results, we found 2 Terminally Differentiated Cell (TDC), 3 Post-Mitotic Cell (PMC), 1 Transient Amplifying Cell (TAC), 2 Limbal Progenitor Cell (LPC), Putative Limbal Stem Cell (LSC) and 2 Melanocyte (MC) sub-cell type clusters. Furthermore, we confirmed the trajectory order of LSC differentiation for 9 clusters using Pseudotemporal and Functional PCA analysis. Lastly, we validated each assigned cell subtypes and determined their location in human corneal limbus tissue with 9 markers using RNAscope We were able to reveal the heterogeneity of corneal limbal basal epithelium by defining novel dynamic trajectories for cell types in a pseudotemporal manner. This approach allowed us to identify the distinct clusters of LSCs and progenitors with exclusively expressed markers, and might apply for translational research on regenerating a normal corneal epithelium and restoring vision. Overall design: We isolated limbal basal cells from two young donors, constructed scRNA-seq libraries, generated RNA-sequencing data using the 10x Genomics platform, and then finally obtained the transcriptome of about 18,000 individual single-cells using Cell ranger (https://10xgenomics.com). Next, we performed quality control, filtering and data integration and further downstream analysis such as dimensional reduction, unsupervised clustering, and Differentially expressed gene selection, trajectory analysis and visualization."	"SRA"	"total"	"scRNA-seq"	"2 libraries"	"10X Genomics"	"3'end"					"GSE153515,PRJNA642880,PMID: 34297801, in HCA"
"ERP118165"	"SS2_1: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes"	"The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available."	"EBI"	"total"	"scRNA-seq"	"768 libraries"	"Smart-Seq2"	"Full-length"					"PRJEB35153, E-MTAB-8484, PMID: 34497389, in HCA, part of Gut Cell Atlas"
"ERP118273"	"SS2_2: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes"	"The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available."	"EBI"	"total"	"scRNA-seq"	"768 libraries"	"Smart-Seq2"	"Full-length"					"PRJEB35244, E-MTAB-8486, PMID: 34497389, in HCA, part of Gut Cell Atlas"
