Experiment	Tissue	Life stage	Sex	Treatment	GEO Record	Platform
WBPaper00040603:wild-type_2	whole animal	N.A.	Hermaphrodite	N.A.	GEO record: GSM842066	GPL200
WBPaper00040603:wild-type_3	whole animal	N.A.	Hermaphrodite	N.A.	GEO record: GSM842067	GPL200
WBPaper00040821:Control_Replicate1	whole animal	WBls:0000035	Hermaphrodite	Control.	GEO record: GSM805419	GPL200
WBPaper00040821:Control_Replicate2	whole animal	WBls:0000035	Hermaphrodite	Control.	GEO record: GSM805420	GPL200
WBPaper00040821:Control_Replicate3	whole animal	WBls:0000035	Hermaphrodite	Control.	GEO record: GSM805421	GPL200
WBPaper00041163:N2_OP50_rep1	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM840606	GPL200
WBPaper00041163:N2_OP50_rep2	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM840607	GPL200
WBPaper00041163:N2_OP50_rep3	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM840608	GPL200
WBPaper00041191:N2_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM919250	GPL200
WBPaper00041191:N2_rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM919251	GPL200
WBPaper00041191:N2_rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM919252	GPL200
WBPaper00041370:wild-type-control_Rep1	whole animal	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GEO record: GSM936472	GPL200
WBPaper00041370:wild-type-control_Rep2	whole animal	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GEO record: GSM936476	GPL200
WBPaper00041370:wild-type-control_Rep3	whole animal	WBls:0000038	Hermaphrodite	Worms were fed control (RNAi) and harvested at L4 stage.	GEO record: GSM936480	GPL200
WBPaper00042128:N2_rep1	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM986045	GPL200
WBPaper00042128:N2_rep2	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM986047	GPL200
WBPaper00042128:N2_rep4	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM986049	GPL200
WBPaper00042234:N2_rep1	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM958827	GPL200
WBPaper00042234:N2_rep2	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM958828	GPL200
WBPaper00042234:N2_rep3	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM958829	GPL200
WBPaper00042234:N2_rep4	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM958830	GPL200
WBPaper00042234:N2_rep5	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM958831	GPL200
WBPaper00042258:N2_gravid-adult_OP50_rep1	whole animal	WBls:0000065	Hermaphrodite	N.A.	GEO record: GSM1074935	GPL200
WBPaper00042258:N2_gravid-adult_OP50_rep2	whole animal	WBls:0000065	Hermaphrodite	N.A.	GEO record: GSM1074936	GPL200
WBPaper00042258:N2_gravid-adult_OP50_rep3	whole animal	WBls:0000065	Hermaphrodite	N.A.	GEO record: GSM1074937	GPL200
WBPaper00042258:N2_young-adult_OP50_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1074938	GPL200
WBPaper00042258:N2_young-adult_OP50_rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1074939	GPL200
WBPaper00042258:N2_young-adult_OP50_rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1074940	GPL200
WBPaper00042404:NGM_SL1	whole animal	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GEO record: GSM1083003	GPL200
WBPaper00042404:NGM_SL5	whole animal	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GEO record: GSM1083004	GPL200
WBPaper00042404:NGM_SL9	whole animal	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GEO record: GSM1083005	GPL200
WBPaper00042404:NGM_SL69	whole animal	WBls:0000064	Hermaphrodite	Nematode Growth Medium, Control	GEO record: GSM1083006	GPL200
WBPaper00042574:N2_Control_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1008087	GPL200
WBPaper00042574:N2_Control_rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1008088	GPL200
WBPaper00042574:N2_Control_rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1008089	GPL200
WBPaper00042574:N2_Control_rep4	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1008090	GPL200
WBPaper00043980:L3_arsenic_Control_rep1	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM953772	GPL200
WBPaper00043980:L3_arsenic_Control_rep2	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM953773	GPL200
WBPaper00043980:L3_arsenic_Control_rep3	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM953774	GPL200
WBPaper00044163:N2_I	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM956921	GPL200
WBPaper00044163:N2_II	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM956922	GPL200
WBPaper00044163:N2_III	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM956923	GPL200
WBPaper00044163:N2_IV	whole animal	WBls:0000002	Hermaphrodite	N.A.	GEO record: GSM956924	GPL200
WBPaper00044197:N2_rep1	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM1175369	GPL200
WBPaper00044197:N2_rep2	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM1175370	GPL200
WBPaper00044197:N2_rep3	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM1175371	GPL200
WBPaper00044545:N2_1	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1258141	GPL200
WBPaper00044545:N2_2	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1258142	GPL200
WBPaper00044545:N2_3	WBbt:0005784	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1258143	GPL200
WBPaper00045263:N2_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1305989	GPL200
WBPaper00045263:N2_rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1305990	GPL200
WBPaper00045263:N2_rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1305991	GPL200
WBPaper00045263:N2_rep4	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1305992	GPL200
WBPaper00045374:control_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM567790	GPL200
WBPaper00045807:Control-mRNA_Rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00045807:Control-mRNA_Rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00045807:Control-mRNA_Rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00045960:Adult_rep1	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1128182	GPL200
WBPaper00045960:Adult_rep2	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1128183	GPL200
WBPaper00045960:Adult_rep3	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1128184	GPL200
WBPaper00045960:Adult_rep4	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1128185	GPL200
WBPaper00045960:Adult_rep5	whole animal	WBls:0000064	Hermaphrodite	N.A.	GEO record: GSM1128186	GPL200
WBPaper00045960:L3-lethargus_rep1	whole animal	WBls:0000036	Hermaphrodite	N.A.	GEO record: GSM1128169	GPL200
WBPaper00045960:L3-lethargus_rep2	whole animal	WBls:0000036	Hermaphrodite	N.A.	GEO record: GSM1128170	GPL200
WBPaper00045960:L3-lethargus_rep3	whole animal	WBls:0000036	Hermaphrodite	N.A.	GEO record: GSM1128171	GPL200
WBPaper00045960:L3_rep1	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM1128166	GPL200
WBPaper00045960:L3_rep2	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM1128167	GPL200
WBPaper00045960:L3_rep3	whole animal	WBls:0000035	Hermaphrodite	N.A.	GEO record: GSM1128168	GPL200
WBPaper00045960:L4-lethargus_rep1	whole animal	WBls:0000039	Hermaphrodite	N.A.	GEO record: GSM1128177	GPL200
WBPaper00045960:L4-lethargus_rep2	whole animal	WBls:0000039	Hermaphrodite	N.A.	GEO record: GSM1128178	GPL200
WBPaper00045960:L4-lethargus_rep3	whole animal	WBls:0000039	Hermaphrodite	N.A.	GEO record: GSM1128179	GPL200
WBPaper00045960:L4-lethargus_rep4	whole animal	WBls:0000039	Hermaphrodite	N.A.	GEO record: GSM1128180	GPL200
WBPaper00045960:L4-lethargus_rep5	whole animal	WBls:0000039	Hermaphrodite	N.A.	GEO record: GSM1128181	GPL200
WBPaper00045960:L4_rep1	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM1128172	GPL200
WBPaper00045960:L4_rep2	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM1128173	GPL200
WBPaper00045960:L4_rep3	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM1128174	GPL200
WBPaper00045960:L4_rep4	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM1128175	GPL200
WBPaper00045960:L4_rep5	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM1128176	GPL200
[cgc5767]:0_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:23_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:41_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:53_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:66_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:83_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:101_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:122_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:143_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:186_min	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:PC6	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
[cgc5767]:PC32	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
