experimentId	experimentName	experimentDescription	experimentSource	experimentStatus	RNAseqTags	numberOfAnnotatedLibraries	protocol	protocolType	GSE	Bioproject	PMID	PMID_url	comment
ERP132582	snRNA-seq of macaque (macaca mulatta) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 7,631 nuclei in macaque adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	2 libraries	10X Genomics V2, 10X Genomics	3'end					PMID: 36544022, PRJEB48240, E-MTAB-11068
ERP132588	snRNA-seq of marmoset (Callithrix jacchus) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 7,318 nuclei in marmoset adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	2 libraries	10X Genomics V2, 10X Genomics	3'end					PMID: 36544022, PRJEB48246, E-MTAB-11069
ERP132579	snRNA-seq of opossum (Monodelphis domestica) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 9,926 nuclei in opossum adult testis. This dataset includes three samples from three different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	3 libraries	10X Genomics V2, 10X Genomics	3'end					PMID: 36544022, PRJEB48237, E-MTAB-11072
ERP132578	snRNA-seq of platypus (Ornithorhynchus anatinus) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 6,751 nuclei in platypus adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	2 libraries	10X Genomics V2, 10X Genomics	3'end					PMID: 36544022, PRJEB48236, E-MTAB-11070
ERP132576	snRNA-seq of chicken (Gallus gallus) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 8,413 nuclei in chicken adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	2 libraries	10X Genomics V3	3'end					PMID: 36544022, PRJEB48234, E-MTAB-11073
ERP132580	snRNA-seq of gibbon (Hylobates lar) adult testis	Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 6,605 nuclei in gibbon adult testis. This dataset includes two samples from one individual. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup.	EBI	total	Sn-scRNA-seq	2 libraries	10X Genomics V2, 10X Genomics	3'end					PMID: 36544022, PRJEB48238, E-MTAB-11066
SRP269777	The molecular landscape of neural differentiation inthe developing Drosophila brain revealed by targeted scRNA-seq and multi-informatic analysis	In this work, Michki et. al. isolate neurons and neural progenitors from the developing Drosophila brain. Through a combination of in silico and in situ techniques, they map out the expression dynamics of a variety of molecular factors that may play a role in specifying terminal neural fates at the RNA level, and provide tools to enable similar analyses to be performed in other systems. Overall design: R9D11-Gal4 genetic driver was used with a UAS:hH2B-2xmNG reporter to label type-II neural lineages in third instar larval brains. 20 brains were dissected, dissociated, and sorted on a Sony MA900 FACS machine. 10,000 cells were sequenced in a single lane of a 10Xchromium chip using their v3 chemistry. Cells were sequenced on an Illumina NovaSeq/HiSeq4000 with 400M reads allocated to this library. 6092 cells were identified with a mean read count of 97,604 reads/cell when aligned to the BDGP6(2014-07) Drosophila genome assembly from ENSEMBL using STAR. Downstream filtering and analysis were performed using scanpy.	SRA	total	scRNA-seq	2 libraries	10X Genomics V2, 10X Genomics V3	3'end	GSE153723	PRJNA643805	PMID: 33909998	https://pubmed.ncbi.nlm.nih.gov/33909998/	we had to contact the authors for associating barcode and libraries/sample names: Answer from Nigel Michki : _sample0 is the L3_R9D11_10Xv2 library, _sample1 is the L3_R9D11_10Xv3 library.
SRP400422	Single Cell RNA Sequencing of the Adult Drosophila Eye Reveals Distinct Clusters and Novel Marker Genes for All Major Cell Types	Although the adult Drosophila eye is an important model system for phototransduction and human disease research, high quality single cell resolution transcriptome data is lacking for this tissue. To address this, we performed single cell RNA-sequencing on wild-type Canton-S adult eyes from 1 day old male and female, 3-day and 7-day old male flies. These data sets will serve as an valuable resource for future research using the adult eye. Overall design: Adult eyes of Canton-S flies were dissected and dissociated into single cell solution with collagenase. Single cells were analyzed with 10x Chromium based scRNA-seq	SRA	total	scRNA-seq	4 libraries	10X Genomics V3	3'end	GSE214510	PRJNA885783	PMID: 36517671	https://doi.org/10.1038/s42003-022-04337-1	we had to contact the authors to get the barcode files, see answer from kelvin.yeung314159@gmail.com
ERP139683	Timecourse single-cell RNA-seq of whole rabbit embryos sampled across gestational days 7, 8 and 9	We characterised the transcriptomic profiles of 146,133 individual cells (post-QC) from whole rabbit embryos spanning gestational days 7, 8 and 9. These experiments were performed to elucidate the molecular programmes underlying gastrulation and early organogenesis in a non-rodent mammal. Combined with existing datasets of early mouse development, our rabbit developmental atlas facilitates a broad cross-species approach to deciphering early human development. Cell libraries were prepared using the 10X Genomics Chromium platform.	EBI	total	scRNA-seq	26 libraries	10X Genomics V3	3'end		PRJEB54825			
SRP167086	Single cell RNAseq of mouse olfactory bulb reveals cellular heterogeneity and activity dependent molecular census of adult-born neurons	Cellular heterogeneity within the mammalian brain poses a challenge towards understanding its complex functions. Within the olfactory bulb (OB), odor information is processed by subtypes of inhibitory interneurons whose heterogeneity and functionality is influenced by ongoing adult neurogenesis. To investigate this cellular heterogeneity, and to better understand the developmental programs of adult-born neurons, we utilized single cell RNA sequencing and computational modeling to reveal diverse and transcriptionally distinct neuronal and non-neuronal cell types. We also analyzed molecular changes during adult-born interneuron maturation, and uncovered developmental programs within their gene expression profiles. Finally, we discovered that distinct neuronal subtypes are differentially affected by sensory experience. Together, these data provide a transcriptome-based foundation for investigating subtype-specific neuronal function in the OB, charting the molecular profiles that arise during the maturation and integration of adult-born neurons, and documenting activity-dependent changes in the cellular composition of the olfactory system. Overall design: To develop a comprehensive profile of cellular heterogeneity within the OB, here we employed high-throughput single-cell RNA sequencing (scRNA-seq) (Zheng et al. 2017) of activity manipulated and wildtype mouse olfactory bulbs. This technique allows an in-depth categorization of single cell molecular signatures, and provides an analysis of potential developmental and activity-dependent changes that occur in adult-born neuron populations. Together, our data inform the heterogeneity of interneurons within the OB, provide a molecular blueprint of stereotyped developmental programs for OB interneurons, and reveal the transcriptional changes that govern activity-dependent circuit integration of adult-born neurons. Furthermore, our results suggest that distinct molecular mechanisms act on different subsets of adult-born neurons, driving diversity and survival of adult-born interneuron subsets in an activity-dependent manner.	SRA	partial	scRNA-seq	2 libraries	10X Genomics V2	3'end	GSE121891	PRJNA498989	PMID: 34471129, 30517858	https://doi.org/10.1038/s41467-021-25444-3, https://linkinghub.elsevier.com/retrieve/pii/S2211-1247(18)31797-2	
SRP303345	Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single whole-cell]	Purpose: While great progress has been made in understanding the differences in regional stem cell potential using viral and genetic lineage tracing strategies, the core molecular heterogeneity that underlies these regional differences is largely unknown. Methods: Here we present a single whole-cell sequencing dataset of microdissected adult hGFAP:GFP mouse V-SVZ. Four samples were (two samples from male mice, two samples from female mice) multiplexed & combined using MULTI-Seq barcodes (McGinnes et al. 2019), labeled with TotalSeq antibodies against VCAM1 and CD24 proteins (Biolegend), and were split into two technical replicate lanes on a 10x Chromium Single Cell Controller chip for single cell barcoding. Genomic libraries were prepared using standard Illumina protocols, and barcode libraries (MULTI-Seq, TotalSeq) were prepared using MULTI-Seq protocols. Results: Here we present single whole-cell and single nucleus sequencing datasets of microdissected adult mouse V-SVZ, and evidence for the existence of two broad subtypes of adult neural stem cells. By using spatially resolved microdissections in the single nucleus sequencing dataset as a reference, and mapping marker gene expression in the V-SVZ, we find that these two populations reside in largely non-overlapping domains in either the dorsal or ventral V-SVZ. Furthermore, we identified two subpopulations of newly born neurons that have gene expression consistent with dorsal or ventral origins. Finally, we identify genes expressed by both stem cells and the neurons they generate that specifically mark either the dorsal or ventral adult neurogenic lineage. These datasets, methods and findings will enable future study of region-specific regulation of adult neurogenesis. Overall design: Single cell profiles of micro-dissected ventricular-subventricular zones of male (postnatal day 35) and female (postnatal day 29) hGFP:GFP mice.	SRA	total	scRNA-seq	1 library	10X Genomics V3	3'end	GSE165554	PRJNA694959	PMID: 34259628	https://pubmed.ncbi.nlm.nih.gov/34259628/	
SRP303343	Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single nucleus sequencing]	Purpose: While great progress has been made in understanding the differences in regional stem cell potential using viral and genetic lineage tracing strategies, the core molecular heterogeneity that underlies these regional differences is largely unknown. Methods: Here we present a single nucleus sequencing dataset of four microdissected regions of adult CD1 wild type mouse ventricular-subventricular zones (V-SVZ). Four samples (anterior-ventral, AV; anterior dorsal, AD; posterior ventral, PV; posterior dorsal, PD) were generated at the same time from the same mice, and each sample was run on its own lane of a 10x Chromium Single Cell Controller chip for single nucleus barcoding. Results: Here we present single nucleus and single whole cell sequencing datasets of microdissected adult mouse V-SVZ, and evidence for the existence of two broad subtypes of adult neural stem cells. By using spatially resolved microdissections in the single nucleus sequencing dataset as a reference, and mapping marker gene expression in the V-SVZ, we find that these two populations reside in largely non-overlapping domains in either the dorsal or ventral V-SVZ. Furthermore, we identified two subpopulations of newly born neurons that have gene expression consistent with dorsal or ventral origins. Finally, we identify genes expressed by both stem cells and the neurons they generate that specifically mark either the dorsal or ventral adult neurogenic lineage. These datasets, methods and findings will enable future study of region-specific regulation of adult neurogenesis. Overall design: Single nucleus profiles of regionally micro-dissected ventricular-subventricular zones of 17 postnatal day 35 male (8 mice) and female (9 mice) CD1 wild type mice.	SRA	total	Sn-scRNA-seq	4 libraries	10X Genomics V2	3'end	GSE165551	PRJNA694946	PMID: 34259628	https://pubmed.ncbi.nlm.nih.gov/34259628/	
