Uberon ID	Uberon name	is_a/part_of relations	Reason for removal
EHDAA2:0000077	EHDAA2_0000077		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000078	EHDAA2_0000078		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000081	EHDAA2_0000081		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000082	EHDAA2_0000082		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000083	EHDAA2_0000083		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000084	EHDAA2_0000084		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000086	EHDAA2_0000086		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000087	EHDAA2_0000087		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000089	EHDAA2_0000089		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000091	EHDAA2_0000091		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000096	EHDAA2_0000096		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000097	EHDAA2_0000097		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000098	EHDAA2_0000098		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000100	EHDAA2_0000100		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000101	EHDAA2_0000101		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000102	EHDAA2_0000102		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000103	EHDAA2_0000103		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000106	EHDAA2_0000106		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000107	EHDAA2_0000107		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000108	EHDAA2_0000108		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000109	EHDAA2_0000109		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000110	EHDAA2_0000110		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000113	EHDAA2_0000113		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000116	EHDAA2_0000116		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000117	EHDAA2_0000117		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000118	EHDAA2_0000118		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000119	EHDAA2_0000119		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000121	EHDAA2_0000121		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000122	EHDAA2_0000122		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000124	EHDAA2_0000124		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000125	EHDAA2_0000125		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000127	EHDAA2_0000127		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000128	EHDAA2_0000128		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000129	EHDAA2_0000129		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000130	EHDAA2_0000130		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000131	EHDAA2_0000131		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000132	EHDAA2_0000132		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000134	EHDAA2_0000134		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000136	EHDAA2_0000136		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000138	EHDAA2_0000138		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000139	EHDAA2_0000139		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000140	EHDAA2_0000140		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000141	EHDAA2_0000141		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000143	EHDAA2_0000143		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000144	EHDAA2_0000144		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000146	EHDAA2_0000146		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000147	EHDAA2_0000147		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000152	EHDAA2_0000152		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000153	EHDAA2_0000153		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000154	EHDAA2_0000154		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000155	EHDAA2_0000155		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000158	EHDAA2_0000158		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000159	EHDAA2_0000159		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000161	EHDAA2_0000161		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000163	EHDAA2_0000163		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000164	EHDAA2_0000164		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000165	EHDAA2_0000165		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000166	EHDAA2_0000166		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000167	EHDAA2_0000167		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000168	EHDAA2_0000168		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000171	EHDAA2_0000171		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000172	EHDAA2_0000172		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000173	EHDAA2_0000173		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000174	EHDAA2_0000174		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000175	EHDAA2_0000175		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000176	EHDAA2_0000176		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000177	EHDAA2_0000177		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000179	EHDAA2_0000179		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000180	EHDAA2_0000180		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000181	EHDAA2_0000181		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000182	EHDAA2_0000182		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000183	EHDAA2_0000183		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000185	EHDAA2_0000185		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000186	EHDAA2_0000186		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000187	EHDAA2_0000187		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000188	EHDAA2_0000188		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000189	EHDAA2_0000189		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000190	EHDAA2_0000190		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000191	EHDAA2_0000191		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000195	EHDAA2_0000195		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000196	EHDAA2_0000196		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000197	EHDAA2_0000197		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000206	EHDAA2_0000206		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000209	EHDAA2_0000209		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000213	EHDAA2_0000213		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000214	EHDAA2_0000214		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000215	EHDAA2_0000215		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000216	EHDAA2_0000216		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000217	EHDAA2_0000217		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000218	EHDAA2_0000218		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000219	EHDAA2_0000219		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000220	EHDAA2_0000220		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000221	EHDAA2_0000221		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000222	EHDAA2_0000222		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000225	EHDAA2_0000225		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000227	EHDAA2_0000227		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000228	EHDAA2_0000228		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000229	EHDAA2_0000229		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000231	EHDAA2_0000231		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000232	EHDAA2_0000232		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000233	EHDAA2_0000233		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000234	EHDAA2_0000234		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000238	EHDAA2_0000238		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000240	EHDAA2_0000240		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000242	EHDAA2_0000242		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000243	EHDAA2_0000243		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000245	EHDAA2_0000245		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000246	EHDAA2_0000246		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000250	EHDAA2_0000250		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000251	EHDAA2_0000251		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000252	EHDAA2_0000252		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000253	EHDAA2_0000253		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000254	EHDAA2_0000254		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000255	EHDAA2_0000255		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000256	EHDAA2_0000256		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000257	EHDAA2_0000257		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000259	EHDAA2_0000259		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000260	EHDAA2_0000260		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000262	EHDAA2_0000262		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000266	EHDAA2_0000266		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000267	EHDAA2_0000267		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000274	EHDAA2_0000274		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000275	EHDAA2_0000275		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000276	EHDAA2_0000276		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000277	EHDAA2_0000277		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000290	EHDAA2_0000290		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000291	EHDAA2_0000291		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000292	EHDAA2_0000292		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000302	EHDAA2_0000302		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000303	EHDAA2_0000303		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000304	EHDAA2_0000304		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000306	EHDAA2_0000306		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000307	EHDAA2_0000307		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000308	EHDAA2_0000308		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000310	EHDAA2_0000310		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000311	EHDAA2_0000311		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000312	EHDAA2_0000312		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000313	EHDAA2_0000313		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000314	EHDAA2_0000314		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000315	EHDAA2_0000315		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000316	EHDAA2_0000316		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000319	EHDAA2_0000319		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000320	EHDAA2_0000320		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000322	EHDAA2_0000322		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000323	EHDAA2_0000323		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000325	EHDAA2_0000325		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000326	EHDAA2_0000326		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000327	EHDAA2_0000327		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000330	EHDAA2_0000330		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000333	EHDAA2_0000333		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000337	EHDAA2_0000337		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000339	EHDAA2_0000339		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000340	EHDAA2_0000340		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000384	EHDAA2_0000384		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000385	EHDAA2_0000385		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000388	EHDAA2_0000388		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000395	EHDAA2_0000395		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000396	EHDAA2_0000396		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000397	EHDAA2_0000397		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000399	EHDAA2_0000399		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000400	EHDAA2_0000400		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000402	EHDAA2_0000402		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000404	EHDAA2_0000404		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000406	EHDAA2_0000406		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000407	EHDAA2_0000407		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000409	EHDAA2_0000409		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000410	EHDAA2_0000410		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000413	EHDAA2_0000413		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000416	EHDAA2_0000416		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000418	EHDAA2_0000418		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000420	EHDAA2_0000420		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000422	EHDAA2_0000422		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000423	EHDAA2_0000423		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000428	EHDAA2_0000428		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000429	EHDAA2_0000429		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000430	EHDAA2_0000430		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000431	EHDAA2_0000431		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000432	EHDAA2_0000432		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000434	EHDAA2_0000434		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000436	EHDAA2_0000436		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000437	EHDAA2_0000437		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000441	EHDAA2_0000441		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000444	EHDAA2_0000444		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000447	EHDAA2_0000447		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000448	EHDAA2_0000448		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000449	EHDAA2_0000449		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000450	EHDAA2_0000450		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000454	EHDAA2_0000454		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000455	EHDAA2_0000455		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000456	EHDAA2_0000456		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000457	EHDAA2_0000457		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000459	EHDAA2_0000459		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000460	EHDAA2_0000460		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000461	EHDAA2_0000461		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000462	EHDAA2_0000462		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000463	EHDAA2_0000463		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000464	EHDAA2_0000464		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000465	EHDAA2_0000465		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000467	EHDAA2_0000467		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000468	EHDAA2_0000468		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000469	EHDAA2_0000469		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000470	EHDAA2_0000470		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000472	EHDAA2_0000472		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000473	EHDAA2_0000473		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000474	EHDAA2_0000474		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000478	EHDAA2_0000478		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000479	EHDAA2_0000479		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000482	EHDAA2_0000482		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000483	EHDAA2_0000483		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000484	EHDAA2_0000484		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000485	EHDAA2_0000485		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000486	EHDAA2_0000486		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000487	EHDAA2_0000487		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000488	EHDAA2_0000488		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000489	EHDAA2_0000489		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000490	EHDAA2_0000490		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000491	EHDAA2_0000491		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000492	EHDAA2_0000492		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000494	EHDAA2_0000494		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000499	EHDAA2_0000499		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000501	EHDAA2_0000501		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000503	female nephric duct lumen	is_a AEO:0000078 lumen of tube	Removal of subgraph with root ID UBERON:0000466 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
EHDAA2:0000504	EHDAA2_0000504		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000505	EHDAA2_0000505		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000506	EHDAA2_0000506		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000507	EHDAA2_0000507		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000508	EHDAA2_0000508		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000509	EHDAA2_0000509		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000510	EHDAA2_0000510		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000511	EHDAA2_0000511		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000512	EHDAA2_0000512		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000513	EHDAA2_0000513		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000514	EHDAA2_0000514		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000515	EHDAA2_0000515		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000516	EHDAA2_0000516		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000517	EHDAA2_0000517		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000518	EHDAA2_0000518		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000519	EHDAA2_0000519		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000520	EHDAA2_0000520		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000521	EHDAA2_0000521		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000522	EHDAA2_0000522		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000523	EHDAA2_0000523		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000524	EHDAA2_0000524		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000525	EHDAA2_0000525		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000526	EHDAA2_0000526		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000527	EHDAA2_0000527		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000528	EHDAA2_0000528		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000529	EHDAA2_0000529		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000530	EHDAA2_0000530		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000531	EHDAA2_0000531		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000532	EHDAA2_0000532		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000533	EHDAA2_0000533		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
EHDAA2:0000534	EHDAA2_0000534		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
