Gene stable ID	Transcript stable ID	AFFY Mu11KsubB probe
ENSMUSG00000033966	ENSMUST00000086545	Msa.26195.0_s_at
ENSMUSG00000033966	ENSMUST00000234602	Msa.26195.0_s_at
ENSMUSG00000033966	ENSMUST00000234349	Msa.26195.0_s_at
ENSMUSG00000031314	ENSMUST00000118878	Msa.31488.0_f_at
ENSMUSG00000031314	ENSMUST00000149274	Msa.31488.0_f_at
ENSMUSG00000031314	ENSMUST00000143908	Msa.31488.0_f_at
ENSMUSG00000031314	ENSMUST00000129487	Msa.31488.0_f_at
ENSMUSG00000031314	ENSMUST00000140470	Msa.31488.0_f_at
ENSMUSG00000031314	ENSMUST00000101341	Msa.31488.0_f_at
ENSMUSG00000033543	ENSMUST00000122087	Msa.4941.0_s_at
ENSMUSG00000015363	ENSMUST00000168863	w49331_s_at
ENSMUSG00000015363	ENSMUST00000081702	w49331_s_at
ENSMUSG00000015363	ENSMUST00000169870	w49331_s_at
ENSMUSG00000015363	ENSMUST00000169891	w49331_s_at
ENSMUSG00000015363	ENSMUST00000165690	w49331_s_at
ENSMUSG00000015363	ENSMUST00000170754	w49331_s_at
ENSMUSG00000015363	ENSMUST00000163696	w49331_s_at
ENSMUSG00000034116	ENSMUST00000169220	Msa.2530.0_at
ENSMUSG00000034116	ENSMUST00000005889	Msa.2530.0_at
ENSMUSG00000034116	ENSMUST00000008847	Msa.2530.0_at
ENSMUSG00000043518	ENSMUST00000112338	X76652_s_at
ENSMUSG00000043518	ENSMUST00000061514	X76652_s_at
ENSMUSG00000032220	ENSMUST00000214042	Msa.21943.0_s_at
ENSMUSG00000032220	ENSMUST00000034745	Msa.21943.0_s_at
ENSMUSG00000029504	ENSMUST00000031478	Msa.4676.0_s_at
ENSMUSG00000029504	ENSMUST00000136629	Msa.4676.0_s_at
ENSMUSG00000029504	ENSMUST00000136442	Msa.4676.0_s_at
ENSMUSG00000029504	ENSMUST00000143087	Msa.4676.0_s_at
ENSMUSG00000029504	ENSMUST00000148773	Msa.4676.0_s_at
ENSMUSG00000032218	ENSMUST00000034742	X66032_s_at
ENSMUSG00000003072	ENSMUST00000150347	Msa.3435.0_f_at
ENSMUSG00000003072	ENSMUST00000105367	Msa.3435.0_f_at
ENSMUSG00000003072	ENSMUST00000105366	Msa.3435.0_f_at
ENSMUSG00000003072	ENSMUST00000003156	Msa.3435.0_f_at
ENSMUSG00000028270	ENSMUST00000165774	Msa.37791.0_s_at
ENSMUSG00000022048	ENSMUST00000022629	Msa.2526.0_s_at
ENSMUSG00000024242	ENSMUST00000234133	Msa.9915.0_s_at
ENSMUSG00000024242	ENSMUST00000025089	Msa.9915.0_s_at
ENSMUSG00000024242	ENSMUST00000112389	Msa.9915.0_s_at
ENSMUSG00000031353	ENSMUST00000033720	Msa.1702.0_f_at
ENSMUSG00000031353	ENSMUST00000033720	Msa.34515.0_s_at
ENSMUSG00000031353	ENSMUST00000112327	Msa.1702.0_f_at
ENSMUSG00000031353	ENSMUST00000112327	Msa.34515.0_s_at
ENSMUSG00000031353	ENSMUST00000112326	Msa.34515.0_s_at
ENSMUSG00000031353	ENSMUST00000138791	Msa.34515.0_s_at
ENSMUSG00000031353	ENSMUST00000143681	Msa.1702.0_f_at
ENSMUSG00000074034	ENSMUST00000075898	Msa.1150.0_f_at
ENSMUSG00000026616	ENSMUST00000195120	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000193356	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000192604	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000238929	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000193436	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000195737	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000210219	Msa.549.0_s_at
ENSMUSG00000026616	ENSMUST00000082321	Msa.549.0_s_at
ENSMUSG00000028271	ENSMUST00000029938	Msa.4224.0_s_at
ENSMUSG00000032285	ENSMUST00000120452	Msa.26364.0_s_at
ENSMUSG00000032285	ENSMUST00000154690	Msa.26364.0_s_at
ENSMUSG00000032285	ENSMUST00000070070	Msa.26364.0_s_at
ENSMUSG00000061559	ENSMUST00000118771	Msa.6389.0_s_at
ENSMUSG00000061559	ENSMUST00000130368	Msa.6389.0_s_at
ENSMUSG00000061559	ENSMUST00000051822	Msa.6389.0_s_at
ENSMUSG00000061559	ENSMUST00000121204	Msa.6389.0_s_at
ENSMUSG00000054640	ENSMUST00000234131	Msa.3070.0_s_at
ENSMUSG00000054640	ENSMUST00000163123	Msa.3070.0_s_at
ENSMUSG00000054640	ENSMUST00000086538	Msa.3070.0_s_at
ENSMUSG00000054640	ENSMUST00000163680	Msa.3070.0_s_at
ENSMUSG00000022052	ENSMUST00000089230	Msa.27521.0_s_at
ENSMUSG00000022052	ENSMUST00000089230	Msa.37671.0_s_at
ENSMUSG00000022052	ENSMUST00000089230	Msa.13362.0_s_at
ENSMUSG00000022052	ENSMUST00000225380	Msa.27521.0_s_at
ENSMUSG00000022052	ENSMUST00000225380	Msa.37671.0_s_at
ENSMUSG00000022052	ENSMUST00000225380	Msa.13362.0_s_at
ENSMUSG00000022052	ENSMUST00000225251	Msa.27521.0_s_at
ENSMUSG00000022052	ENSMUST00000225251	Msa.13362.0_s_at
ENSMUSG00000022052	ENSMUST00000223630	Msa.13362.0_s_at
ENSMUSG00000084284	ENSMUST00000121768	X06407_f_at
ENSMUSG00000084284	ENSMUST00000121768	Msa.2412.0_f_at
ENSMUSG00000082284	ENSMUST00000119546	Z85979_f_at
ENSMUSG00000004591	ENSMUST00000043812	Msa.33934.0_s_at
ENSMUSG00000004591	ENSMUST00000173913	Msa.33934.0_s_at
ENSMUSG00000004591	ENSMUST00000174422	Msa.33934.0_s_at
ENSMUSG00000004591	ENSMUST00000173830	Msa.33934.0_s_at
ENSMUSG00000032291	ENSMUST00000034830	x15789_s_at
ENSMUSG00000032291	ENSMUST00000034830	Msa.551.0_f_at
ENSMUSG00000027978	ENSMUST00000029603	Msa.26482.0_s_at
ENSMUSG00000046908	ENSMUST00000057569	Msa.21459.0_s_at
ENSMUSG00000004730	ENSMUST00000086763	x93328_s_at
ENSMUSG00000004730	ENSMUST00000004850	x93328_s_at
ENSMUSG00000032207	ENSMUST00000034731	X58426_s_at
ENSMUSG00000032207	ENSMUST00000216798	X58426_s_at
ENSMUSG00000031364	ENSMUST00000033730	Msa.724.0_at
ENSMUSG00000066705	ENSMUST00000085939	Msa.3653.0_s_at
ENSMUSG00000066705	ENSMUST00000085939	w83858_at
ENSMUSG00000066705	ENSMUST00000085939	w83858_g_at
ENSMUSG00000066705	ENSMUST00000217381	Msa.3653.0_s_at
ENSMUSG00000066705	ENSMUST00000217381	w83858_at
ENSMUSG00000066705	ENSMUST00000217381	w83858_g_at
ENSMUSG00000013584	ENSMUST00000034723	Msa.2852.0_s_at
ENSMUSG00000040749	ENSMUST00000037928	Z19580_s_at
ENSMUSG00000040749	ENSMUST00000071667	Z19580_s_at
ENSMUSG00000040749	ENSMUST00000134272	Z19580_s_at
ENSMUSG00000022220	ENSMUST00000170223	Msa.24121.0_s_at
ENSMUSG00000022220	ENSMUST00000002398	Msa.24121.0_s_at
ENSMUSG00000022220	ENSMUST00000226361	Msa.24121.0_s_at
ENSMUSG00000022220	ENSMUST00000226575	Msa.24121.0_s_at
ENSMUSG00000031425	ENSMUST00000033800	x07215_s_at
ENSMUSG00000031425	ENSMUST00000113085	x07215_s_at
ENSMUSG00000015405	ENSMUST00000112271	Msa.41391.0_s_at
ENSMUSG00000015405	ENSMUST00000073973	Msa.41391.0_s_at
ENSMUSG00000044933	ENSMUST00000053239	Msa.1187.0_at
ENSMUSG00000044933	ENSMUST00000230400	Msa.1187.0_at
ENSMUSG00000022471	ENSMUST00000100399	Msa.887.0_at
ENSMUSG00000022471	ENSMUST00000069530	Msa.887.0_at
ENSMUSG00000022471	ENSMUST00000164920	Msa.887.0_at
ENSMUSG00000022471	ENSMUST00000230729	Msa.887.0_at
ENSMUSG00000019087	ENSMUST00000019231	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000019231	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000147900	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000147900	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000147275	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000147275	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000114171	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000114171	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000135914	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000124797	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000124797	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000136056	Msa.28655.0_s_at
ENSMUSG00000019087	ENSMUST00000144075	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000144506	Msa.31701.0_s_at
ENSMUSG00000019087	ENSMUST00000154630	Msa.31701.0_s_at
ENSMUSG00000032232	ENSMUST00000121322	Msa.38724.0_s_at
ENSMUSG00000032232	ENSMUST00000152224	Msa.38724.0_s_at
ENSMUSG00000032232	ENSMUST00000136044	Msa.38724.0_s_at
ENSMUSG00000062611	ENSMUST00000074245	Z83368_f_at
ENSMUSG00000062093	ENSMUST00000228705	Msa.10180.0_s_at
ENSMUSG00000062093	ENSMUST00000228705	Msa.10447.0_s_at
ENSMUSG00000062093	ENSMUST00000228705	Msa.9090.0_f_at
ENSMUSG00000062093	ENSMUST00000228705	Msa.27960.0_f_at
ENSMUSG00000062093	ENSMUST00000081204	Msa.10180.0_s_at
ENSMUSG00000062093	ENSMUST00000081204	Msa.10447.0_s_at
ENSMUSG00000062093	ENSMUST00000081204	Msa.9090.0_f_at
ENSMUSG00000062093	ENSMUST00000081204	Msa.27960.0_f_at
ENSMUSG00000031380	ENSMUST00000033751	x99572_s_at
ENSMUSG00000031380	ENSMUST00000124851	x99572_s_at
ENSMUSG00000115662	ENSMUST00000227477	Msa.778.0_f_at
ENSMUSG00000115662	ENSMUST00000227477	Msa.34101.0_f_at
ENSMUSG00000059412	ENSMUST00000214680	Msa.2319.0_f_at
ENSMUSG00000015291	ENSMUST00000015435	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000015435	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000015435	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000146013	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000146013	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000146013	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000145580	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000149391	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000149391	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000149391	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000153141	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000128915	Msa.12706.0_s_at
ENSMUSG00000015291	ENSMUST00000144317	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000144317	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000130581	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000130581	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000137447	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000137447	Msa.3106.0_g_at
ENSMUSG00000015291	ENSMUST00000135041	Msa.3106.0_at
ENSMUSG00000015291	ENSMUST00000135041	Msa.3106.0_g_at
ENSMUSG00000033220	ENSMUST00000043214	Msa.30443.0_s_at
ENSMUSG00000033220	ENSMUST00000043214	X53247_s_at
ENSMUSG00000033220	ENSMUST00000229394	Msa.30443.0_s_at
ENSMUSG00000001962	ENSMUST00000114160	W33799_at
ENSMUSG00000001962	ENSMUST00000138242	W33799_at
ENSMUSG00000038708	ENSMUST00000084820	Msa.19265.0_s_at
ENSMUSG00000038708	ENSMUST00000211840	Msa.19265.0_s_at
ENSMUSG00000038708	ENSMUST00000212274	Msa.19265.0_s_at
ENSMUSG00000083993	ENSMUST00000117287	Msa.16214.0_f_at
ENSMUSG00000066270	ENSMUST00000139408	Z50159_f_at
ENSMUSG00000027646	ENSMUST00000109533	Msa.1184.0_at
ENSMUSG00000027646	ENSMUST00000029175	Msa.1184.0_at
ENSMUSG00000027646	ENSMUST00000109531	Msa.1184.0_at
ENSMUSG00000027646	ENSMUST00000109529	Msa.1184.0_at
ENSMUSG00000027646	ENSMUST00000092576	Msa.1184.0_at
ENSMUSG00000052854	ENSMUST00000113052	w82359_g_at
ENSMUSG00000052854	ENSMUST00000113052	w82359_at
ENSMUSG00000052854	ENSMUST00000131829	w82359_g_at
ENSMUSG00000052854	ENSMUST00000131829	w82359_at
ENSMUSG00000052854	ENSMUST00000064937	w82359_g_at
ENSMUSG00000052854	ENSMUST00000064937	w82359_at
ENSMUSG00000010660	ENSMUST00000214470	Msa.27297.0_s_at
ENSMUSG00000010660	ENSMUST00000213464	Msa.27297.0_s_at
ENSMUSG00000010660	ENSMUST00000010804	Msa.27297.0_s_at
ENSMUSG00000010660	ENSMUST00000214491	Msa.27297.0_s_at
ENSMUSG00000032854	ENSMUST00000057944	x92122_s_at
ENSMUSG00000032854	ENSMUST00000198610	x92122_s_at
ENSMUSG00000032508	ENSMUST00000035092	Msa.2476.0_at
ENSMUSG00000032508	ENSMUST00000150837	Msa.2476.0_at
ENSMUSG00000061393	ENSMUST00000165044	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000165044	Msa.403.0_at
ENSMUSG00000061393	ENSMUST00000215746	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000215746	Msa.403.0_at
ENSMUSG00000061393	ENSMUST00000217621	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000217621	Msa.403.0_at
ENSMUSG00000061393	ENSMUST00000213389	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000213389	Msa.403.0_at
ENSMUSG00000061393	ENSMUST00000213431	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000213431	Msa.403.0_at
ENSMUSG00000061393	ENSMUST00000035093	Msa.403.0_g_at
ENSMUSG00000061393	ENSMUST00000035093	Msa.403.0_at
ENSMUSG00000034533	ENSMUST00000213392	Msa.1534.0_s_at
ENSMUSG00000034533	ENSMUST00000214408	Msa.1534.0_s_at
ENSMUSG00000034533	ENSMUST00000084787	Msa.1534.0_s_at
ENSMUSG00000005148	ENSMUST00000005279	Msa.9757.0_s_at
ENSMUSG00000005148	ENSMUST00000226784	Msa.9757.0_s_at
ENSMUSG00000022463	ENSMUST00000023100	Msa.25013.0_s_at
ENSMUSG00000022463	ENSMUST00000229336	Msa.25013.0_s_at
ENSMUSG00000079316	ENSMUST00000112091	Msa.6124.0_s_at
ENSMUSG00000079316	ENSMUST00000049435	Msa.6124.0_s_at
ENSMUSG00000049775	ENSMUST00000112172	Msa.1236.0_f_at
ENSMUSG00000049775	ENSMUST00000112176	Msa.1236.0_f_at
ENSMUSG00000049775	ENSMUST00000112175	Msa.1236.0_f_at
ENSMUSG00000025742	ENSMUST00000026839	Msa.34864.0_s_at
ENSMUSG00000006941	ENSMUST00000217553	Msa.5142.0_s_at
ENSMUSG00000006941	ENSMUST00000007139	Msa.5142.0_s_at
ENSMUSG00000031354	ENSMUST00000066112	Msa.424.0_f_at
ENSMUSG00000031354	ENSMUST00000112118	Msa.424.0_f_at
ENSMUSG00000031354	ENSMUST00000112119	Msa.424.0_f_at
ENSMUSG00000031352	ENSMUST00000033717	Msa.3227.0_s_at
ENSMUSG00000031352	ENSMUST00000112115	Msa.3227.0_s_at
ENSMUSG00000008690	ENSMUST00000145259	Msa.34650.0_s_at
ENSMUSG00000008690	ENSMUST00000145259	Msa.19149.0_s_at
ENSMUSG00000022617	ENSMUST00000170334	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000170334	Msa.16277.0_s_at
ENSMUSG00000022617	ENSMUST00000171140	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000171140	Msa.16277.0_s_at
ENSMUSG00000022617	ENSMUST00000023289	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000023289	Msa.16277.0_s_at
ENSMUSG00000022617	ENSMUST00000171666	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000115278	Msa.22972.0_f_at
ENSMUSG00000022617	ENSMUST00000165623	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000165623	Msa.22972.0_f_at
ENSMUSG00000022617	ENSMUST00000165623	Msa.16277.0_s_at
ENSMUSG00000022617	ENSMUST00000166267	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000166267	Msa.22972.0_f_at
ENSMUSG00000022617	ENSMUST00000166267	Msa.16277.0_s_at
ENSMUSG00000022617	ENSMUST00000170460	Msa.26559.0_s_at
ENSMUSG00000022617	ENSMUST00000170460	Msa.22972.0_f_at
ENSMUSG00000022617	ENSMUST00000170460	Msa.16277.0_s_at
ENSMUSG00000116461	ENSMUST00000052315	Msa.26559.0_s_at
ENSMUSG00000116461	ENSMUST00000052315	Msa.16277.0_s_at
ENSMUSG00000022620	ENSMUST00000165199	x73230_s_at
ENSMUSG00000022620	ENSMUST00000023292	x73230_s_at
ENSMUSG00000032280	ENSMUST00000159386	X73360_s_at
ENSMUSG00000032280	ENSMUST00000034820	X73360_s_at
ENSMUSG00000032280	ENSMUST00000162583	X73360_s_at
ENSMUSG00000032280	ENSMUST00000160882	X73360_s_at
ENSMUSG00000032280	ENSMUST00000162973	X73360_s_at
ENSMUSG00000032280	ENSMUST00000159050	X73360_s_at
ENSMUSG00000032280	ENSMUST00000161207	X73360_s_at
ENSMUSG00000032280	ENSMUST00000159630	X73360_s_at
ENSMUSG00000032280	ENSMUST00000161689	X73360_s_at
ENSMUSG00000032280	ENSMUST00000162127	X73360_s_at
ENSMUSG00000032280	ENSMUST00000159140	X73360_s_at
ENSMUSG00000032280	ENSMUST00000178113	X73360_s_at
ENSMUSG00000031432	ENSMUST00000033809	Msa.33374.0_f_at
ENSMUSG00000038671	ENSMUST00000185118	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000127988	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000108808	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000152580	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000048269	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000130346	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000139368	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000183499	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000184859	Msa.6119.0_s_at
ENSMUSG00000038671	ENSMUST00000145358	Msa.6119.0_s_at
ENSMUSG00000031431	ENSMUST00000112995	Msa.15338.0_s_at
ENSMUSG00000031431	ENSMUST00000112995	Msa.4113.0_s_at
ENSMUSG00000031431	ENSMUST00000055738	Msa.15338.0_s_at
ENSMUSG00000031431	ENSMUST00000055738	Msa.4113.0_s_at
ENSMUSG00000031431	ENSMUST00000133023	Msa.15338.0_s_at
ENSMUSG00000031431	ENSMUST00000133023	Msa.4113.0_s_at
ENSMUSG00000031431	ENSMUST00000112996	Msa.15338.0_s_at
ENSMUSG00000031431	ENSMUST00000123898	Msa.15338.0_s_at
ENSMUSG00000031431	ENSMUST00000152048	Msa.4113.0_s_at
ENSMUSG00000031429	ENSMUST00000033805	Msa.22505.0_f_at
ENSMUSG00000031429	ENSMUST00000112978	Msa.22505.0_f_at
ENSMUSG00000032254	ENSMUST00000034815	Msa.18033.0_s_at
ENSMUSG00000032254	ENSMUST00000216717	Msa.18033.0_s_at
ENSMUSG00000032254	ENSMUST00000214940	Msa.18033.0_s_at
ENSMUSG00000032254	ENSMUST00000216746	Msa.18033.0_s_at
ENSMUSG00000032254	ENSMUST00000214295	Msa.18033.0_s_at
ENSMUSG00000022126	ENSMUST00000022722	Msa.1614.0_at
ENSMUSG00000000826	ENSMUST00000072334	Msa.21307.0_s_at
ENSMUSG00000000826	ENSMUST00000116365	Msa.21307.0_s_at
ENSMUSG00000000826	ENSMUST00000108797	Msa.21307.0_s_at
ENSMUSG00000000826	ENSMUST00000152578	Msa.21307.0_s_at
ENSMUSG00000000826	ENSMUST00000108796	Msa.21307.0_s_at
ENSMUSG00000032249	ENSMUST00000129026	w91701_rc_s_at
ENSMUSG00000032249	ENSMUST00000145679	w91701_rc_s_at
ENSMUSG00000032249	ENSMUST00000085519	w91701_rc_s_at
ENSMUSG00000032249	ENSMUST00000138226	w91701_rc_s_at
ENSMUSG00000031274	ENSMUST00000112931	Msa.2222.0_s_at
ENSMUSG00000031274	ENSMUST00000112930	Msa.2222.0_s_at
ENSMUSG00000031274	ENSMUST00000130732	Msa.2222.0_s_at
ENSMUSG00000089917	ENSMUST00000057816	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000129469	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000156998	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000142491	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000144856	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000130893	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000136875	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000146823	Msa.4919.0_s_at
ENSMUSG00000089917	ENSMUST00000131949	Msa.4919.0_s_at
ENSMUSG00000002455	ENSMUST00000136481	Msa.39147.0_s_at
ENSMUSG00000002455	ENSMUST00000139955	Msa.39147.0_s_at
ENSMUSG00000002455	ENSMUST00000002529	Msa.39147.0_s_at
ENSMUSG00000105001	ENSMUST00000197964	x84789_f_at
ENSMUSG00000105001	ENSMUST00000197964	Msa.1837.0_f_at
ENSMUSG00000065016	ENSMUST00000083082	X05021_f_at
ENSMUSG00000065016	ENSMUST00000083082	Msa.2195.0_f_at
ENSMUSG00000093348	ENSMUST00000175607	Msa.5416.0_s_at
ENSMUSG00000095041	ENSMUST00000179505	Msa.10535.0_s_at
ENSMUSG00000095041	ENSMUST00000179505	Msa.38847.0_s_at
ENSMUSG00000095041	ENSMUST00000178343	Msa.10535.0_s_at
ENSMUSG00000095041	ENSMUST00000178343	Msa.38847.0_s_at
ENSMUSG00000064984	ENSMUST00000083050	Z83368_f_at
ENSMUSG00000065878	ENSMUST00000083944	X51528_f_at
ENSMUSG00000105918	ENSMUST00000196180	Msa.1470.0_at
ENSMUSG00000093441	ENSMUST00000176884	Msa.26364.0_s_at
ENSMUSG00000095320	ENSMUST00000178919	Msa.3605.0_s_at
ENSMUSG00000094121	ENSMUST00000177695	Msa.3605.0_s_at
ENSMUSG00000000088	ENSMUST00000213678	X15963_f_at
ENSMUSG00000000088	ENSMUST00000000090	X15963_f_at
ENSMUSG00000000088	ENSMUST00000214154	X15963_f_at
ENSMUSG00000022965	ENSMUST00000023687	Msa.3298.0_at
ENSMUSG00000022965	ENSMUST00000127644	Msa.3298.0_at
ENSMUSG00000061111	ENSMUST00000135515	w82831_s_at
ENSMUSG00000061111	ENSMUST00000135515	w82831_i_at
ENSMUSG00000061111	ENSMUST00000034913	w82831_s_at
ENSMUSG00000061111	ENSMUST00000034913	w82831_i_at
ENSMUSG00000030057	ENSMUST00000204653	z11870_s_at
ENSMUSG00000030057	ENSMUST00000204890	z11870_s_at
ENSMUSG00000030057	ENSMUST00000113619	z11870_s_at
ENSMUSG00000030057	ENSMUST00000141961	z11870_s_at
ENSMUSG00000030057	ENSMUST00000204596	z11870_s_at
ENSMUSG00000030057	ENSMUST00000134851	z11870_s_at
ENSMUSG00000030057	ENSMUST00000032138	z11870_s_at
ENSMUSG00000027712	ENSMUST00000029266	Msa.18010.0_f_at
ENSMUSG00000062382	ENSMUST00000221435	Msa.644.0_f_at
ENSMUSG00000062382	ENSMUST00000222435	Msa.644.0_f_at
ENSMUSG00000074780	ENSMUST00000218771	w46059_s_at
ENSMUSG00000018446	ENSMUST00000078528	Msa.5443.0_s_at
ENSMUSG00000018446	ENSMUST00000155371	Msa.5443.0_s_at
ENSMUSG00000096210	ENSMUST00000180086	x13171_s_at
ENSMUSG00000032081	ENSMUST00000121916	Msa.5103.0_s_at
ENSMUSG00000032081	ENSMUST00000034586	Msa.5103.0_s_at
ENSMUSG00000032081	ENSMUST00000214729	Msa.5103.0_s_at
ENSMUSG00000032081	ENSMUST00000118649	Msa.5103.0_s_at
ENSMUSG00000032081	ENSMUST00000145672	Msa.5103.0_s_at
ENSMUSG00000031207	ENSMUST00000117399	Msa.978.0_at
ENSMUSG00000021974	ENSMUST00000165526	Msa.2068.0_s_at
ENSMUSG00000021974	ENSMUST00000022545	Msa.2068.0_s_at
ENSMUSG00000021974	ENSMUST00000074654	Msa.2068.0_s_at
ENSMUSG00000021974	ENSMUST00000166770	Msa.2068.0_s_at
ENSMUSG00000021643	ENSMUST00000022145	w13619_s_at
ENSMUSG00000021643	ENSMUST00000132053	w13619_s_at
ENSMUSG00000021643	ENSMUST00000129014	w13619_s_at
ENSMUSG00000021643	ENSMUST00000151821	w13619_s_at
ENSMUSG00000058290	ENSMUST00000064924	Msa.42072.0_s_at
ENSMUSG00000058290	ENSMUST00000229050	Msa.42072.0_s_at
ENSMUSG00000058290	ENSMUST00000230617	Msa.42072.0_s_at
ENSMUSG00000058290	ENSMUST00000231207	Msa.42072.0_s_at
ENSMUSG00000058290	ENSMUST00000229942	Msa.42072.0_s_at
ENSMUSG00000058290	ENSMUST00000230222	Msa.42072.0_s_at
ENSMUSG00000024085	ENSMUST00000086723	X61172_s_at
ENSMUSG00000038567	ENSMUST00000038824	Msa.1752.0_s_at
ENSMUSG00000038871	ENSMUST00000045372	X13586_s_at
ENSMUSG00000028691	ENSMUST00000135573	Msa.354.0_f_at
ENSMUSG00000028691	ENSMUST00000106470	Msa.354.0_f_at
ENSMUSG00000028691	ENSMUST00000030454	Msa.354.0_f_at
ENSMUSG00000022911	ENSMUST00000089289	Msa.30941.0_s_at
ENSMUSG00000022911	ENSMUST00000232561	Msa.30941.0_s_at
ENSMUSG00000022911	ENSMUST00000132902	Msa.30941.0_s_at
ENSMUSG00000002015	ENSMUST00000002091	X81816_s_at
ENSMUSG00000024137	ENSMUST00000227293	X76858_s_at
ENSMUSG00000024137	ENSMUST00000056032	X76858_s_at
ENSMUSG00000024137	ENSMUST00000226654	X76858_s_at
ENSMUSG00000024137	ENSMUST00000228882	X76858_s_at
ENSMUSG00000024137	ENSMUST00000226754	X76858_s_at
ENSMUSG00000024137	ENSMUST00000226941	X76858_s_at
ENSMUSG00000024137	ENSMUST00000227241	X76858_s_at
ENSMUSG00000023031	ENSMUST00000230572	Msa.1060.0_s_at
ENSMUSG00000023031	ENSMUST00000023775	Msa.1060.0_s_at
ENSMUSG00000023031	ENSMUST00000230740	Msa.1060.0_s_at
ENSMUSG00000023031	ENSMUST00000229235	Msa.1060.0_s_at
ENSMUSG00000023031	ENSMUST00000230312	Msa.1060.0_s_at
ENSMUSG00000032187	ENSMUST00000034707	S68108_s_at
ENSMUSG00000032187	ENSMUST00000034707	Msa.18914.0_s_at
ENSMUSG00000032187	ENSMUST00000034707	Msa.14584.0_s_at
ENSMUSG00000032187	ENSMUST00000034707	Msa.9908.0_f_at
ENSMUSG00000032187	ENSMUST00000034707	Msa.30464.0_s_at
ENSMUSG00000032187	ENSMUST00000174008	S68108_s_at
ENSMUSG00000032187	ENSMUST00000174008	Msa.18914.0_s_at
ENSMUSG00000032187	ENSMUST00000174008	Msa.14584.0_s_at
