Gene stable ID	Transcript stable ID	AFFY MOE430B probe
ENSMUSG00000087014	ENSMUST00000153722	1441647_at
ENSMUSG00000111358	ENSMUST00000214556	1454594_at
ENSMUSG00000027303	ENSMUST00000028769	1447467_at
ENSMUSG00000018008	ENSMUST00000043069	1460437_at
ENSMUSG00000018008	ENSMUST00000231168	1460437_at
ENSMUSG00000027618	ENSMUST00000125449	1442017_at
ENSMUSG00000029446	ENSMUST00000031399	1415673_at
ENSMUSG00000072825	ENSMUST00000101018	1433712_at
ENSMUSG00000072825	ENSMUST00000222711	1433712_at
ENSMUSG00000072825	ENSMUST00000221853	1433712_at
ENSMUSG00000072825	ENSMUST00000221125	1433712_at
ENSMUSG00000072825	ENSMUST00000179041	1433712_at
ENSMUSG00000072825	ENSMUST00000092279	1433712_at
ENSMUSG00000035681	ENSMUST00000092175	1455258_at
ENSMUSG00000035681	ENSMUST00000218445	1455258_at
ENSMUSG00000035681	ENSMUST00000219607	1455258_at
ENSMUSG00000035681	ENSMUST00000218827	1455258_at
ENSMUSG00000038831	ENSMUST00000131298	1439720_at
ENSMUSG00000038831	ENSMUST00000131298	1434669_at
ENSMUSG00000038831	ENSMUST00000042615	1439720_at
ENSMUSG00000038831	ENSMUST00000042615	1434669_at
ENSMUSG00000038831	ENSMUST00000113165	1439720_at
ENSMUSG00000038831	ENSMUST00000113165	1434669_at
ENSMUSG00000038831	ENSMUST00000091039	1439720_at
ENSMUSG00000038831	ENSMUST00000113164	1431391_at
ENSMUSG00000024597	ENSMUST00000236673	1443332_at
ENSMUSG00000115355	ENSMUST00000228450	1432451_at
ENSMUSG00000045336	ENSMUST00000062085	1430009_at
ENSMUSG00000031511	ENSMUST00000209686	1458969_at
ENSMUSG00000033268	ENSMUST00000099461	1456877_at
ENSMUSG00000087177	ENSMUST00000129191	1434723_at
ENSMUSG00000087177	ENSMUST00000151921	1434723_at
ENSMUSG00000087177	ENSMUST00000143651	1434723_at
ENSMUSG00000087177	ENSMUST00000139356	1434723_at
ENSMUSG00000087177	ENSMUST00000133302	1434723_at
ENSMUSG00000087177	ENSMUST00000139429	1434723_at
ENSMUSG00000087177	ENSMUST00000153261	1434723_at
ENSMUSG00000087177	ENSMUST00000153113	1443261_at
ENSMUSG00000052707	ENSMUST00000094053	1457295_at
ENSMUSG00000052707	ENSMUST00000206888	1457295_at
ENSMUSG00000052707	ENSMUST00000205789	1457295_at
ENSMUSG00000052707	ENSMUST00000205760	1457295_at
ENSMUSG00000052707	ENSMUST00000205449	1457295_at
ENSMUSG00000052707	ENSMUST00000206922	1457295_at
ENSMUSG00000050619	ENSMUST00000110661	1431259_at
ENSMUSG00000003848	ENSMUST00000170796	1454957_at
ENSMUSG00000003848	ENSMUST00000169311	1454957_at
ENSMUSG00000003848	ENSMUST00000003946	1454957_at
ENSMUSG00000024256	ENSMUST00000234081	1441778_at
ENSMUSG00000024256	ENSMUST00000064775	1441778_at
ENSMUSG00000024256	ENSMUST00000234204	1441778_at
ENSMUSG00000001285	ENSMUST00000170281	1430729_at
ENSMUSG00000037280	ENSMUST00000159715	1434399_at
ENSMUSG00000037280	ENSMUST00000052069	1434399_at
ENSMUSG00000100094	ENSMUST00000187848	1459141_at
ENSMUSG00000100094	ENSMUST00000185464	1459141_at
ENSMUSG00000057093	ENSMUST00000120004	1453649_at
ENSMUSG00000027263	ENSMUST00000039541	1446100_at
ENSMUSG00000027263	ENSMUST00000110658	1446100_at
ENSMUSG00000027263	ENSMUST00000138601	1446100_at
ENSMUSG00000027263	ENSMUST00000144076	1446100_at
ENSMUSG00000027263	ENSMUST00000154633	1429345_at
ENSMUSG00000027263	ENSMUST00000143320	1429345_at
ENSMUSG00000092339	ENSMUST00000174626	1430390_x_at
ENSMUSG00000047115	ENSMUST00000060561	1434428_at
ENSMUSG00000047115	ENSMUST00000121903	1434428_at
ENSMUSG00000047115	ENSMUST00000141910	1434428_at
ENSMUSG00000047115	ENSMUST00000203182	1434428_at
ENSMUSG00000040918	ENSMUST00000044021	1441315_s_at
ENSMUSG00000040918	ENSMUST00000159230	1441315_s_at
ENSMUSG00000048385	ENSMUST00000096365	1436084_at
ENSMUSG00000048385	ENSMUST00000164703	1436084_at
ENSMUSG00000089824	ENSMUST00000059647	1456964_at
ENSMUSG00000089824	ENSMUST00000109604	1456964_at
ENSMUSG00000036718	ENSMUST00000170773	1434322_at
ENSMUSG00000036718	ENSMUST00000044642	1434322_at
ENSMUSG00000036718	ENSMUST00000164584	1434322_at
ENSMUSG00000036718	ENSMUST00000164584	1457614_at
ENSMUSG00000046020	ENSMUST00000049863	1443881_at
ENSMUSG00000046020	ENSMUST00000152390	1443881_at
ENSMUSG00000030507	ENSMUST00000032717	1457012_at
ENSMUSG00000039745	ENSMUST00000208048	1454227_at
ENSMUSG00000051146	ENSMUST00000052939	1429204_at
ENSMUSG00000109814	ENSMUST00000211504	1442037_at
ENSMUSG00000109814	ENSMUST00000211504	1442036_a_at
ENSMUSG00000109814	ENSMUST00000211504	1457124_at
ENSMUSG00000109814	ENSMUST00000209402	1442037_at
ENSMUSG00000109814	ENSMUST00000209402	1442036_a_at
ENSMUSG00000109814	ENSMUST00000209402	1457124_at
ENSMUSG00000075611	ENSMUST00000146507	1437361_at
ENSMUSG00000036985	ENSMUST00000149416	1458142_at
ENSMUSG00000037640	ENSMUST00000108336	1430187_at
ENSMUSG00000040697	ENSMUST00000038014	1436209_at
ENSMUSG00000040697	ENSMUST00000038014	1434781_at
ENSMUSG00000071073	ENSMUST00000233692	1455755_at
ENSMUSG00000071073	ENSMUST00000233341	1455755_at
ENSMUSG00000071073	ENSMUST00000233543	1455755_at
ENSMUSG00000071073	ENSMUST00000095262	1455755_at
ENSMUSG00000097164	ENSMUST00000181906	1428376_at
ENSMUSG00000097164	ENSMUST00000181906	1428375_at
ENSMUSG00000027071	ENSMUST00000127839	1431321_at
ENSMUSG00000029135	ENSMUST00000031017	1437247_at
ENSMUSG00000104876	ENSMUST00000196323	1459400_at
ENSMUSG00000026634	ENSMUST00000027947	1455362_at
ENSMUSG00000026634	ENSMUST00000027947	1415731_at
ENSMUSG00000026634	ENSMUST00000066632	1455362_at
ENSMUSG00000026634	ENSMUST00000066632	1415731_at
ENSMUSG00000026634	ENSMUST00000123384	1455362_at
ENSMUSG00000026634	ENSMUST00000123384	1415731_at
ENSMUSG00000026634	ENSMUST00000110899	1455362_at
ENSMUSG00000026634	ENSMUST00000110899	1415731_at
ENSMUSG00000026634	ENSMUST00000144693	1455362_at
ENSMUSG00000026634	ENSMUST00000144693	1415731_at
ENSMUSG00000024088	ENSMUST00000232860	1431669_at
ENSMUSG00000024088	ENSMUST00000024896	1431669_at
ENSMUSG00000028060	ENSMUST00000200364	1440854_at
ENSMUSG00000028060	ENSMUST00000200438	1440854_at
ENSMUSG00000102246	ENSMUST00000192556	1430663_at
ENSMUSG00000019802	ENSMUST00000019937	1452854_at
ENSMUSG00000022433	ENSMUST00000122044	1435373_at
ENSMUSG00000022433	ENSMUST00000145740	1435373_at
ENSMUSG00000066894	ENSMUST00000111967	1436591_at
ENSMUSG00000066894	ENSMUST00000147182	1436591_at
ENSMUSG00000066894	ENSMUST00000139026	1436591_at
ENSMUSG00000032564	ENSMUST00000098443	1453888_at
ENSMUSG00000032564	ENSMUST00000157006	1453888_at
ENSMUSG00000032564	ENSMUST00000057742	1429443_at
ENSMUSG00000032564	ENSMUST00000077190	1429443_at
ENSMUSG00000087589	ENSMUST00000194426	1444773_at
ENSMUSG00000026121	ENSMUST00000191677	1433920_at
ENSMUSG00000026121	ENSMUST00000191642	1433920_at
ENSMUSG00000026121	ENSMUST00000195620	1433920_at
ENSMUSG00000026121	ENSMUST00000114991	1433920_at
ENSMUSG00000097035	ENSMUST00000180428	1440960_at
ENSMUSG00000106631	ENSMUST00000143074	1438565_at
ENSMUSG00000039813	ENSMUST00000084621	1456792_at
ENSMUSG00000042548	ENSMUST00000227428	1458380_at
ENSMUSG00000042548	ENSMUST00000109790	1458380_at
ENSMUSG00000042548	ENSMUST00000138571	1458380_at
ENSMUSG00000063600	ENSMUST00000126420	1430430_at
ENSMUSG00000063600	ENSMUST00000140288	1430430_at
ENSMUSG00000079429	ENSMUST00000113130	1447368_at
ENSMUSG00000079429	ENSMUST00000113130	1456631_at
ENSMUSG00000079429	ENSMUST00000135948	1456631_at
ENSMUSG00000079429	ENSMUST00000061013	1447368_at
ENSMUSG00000079429	ENSMUST00000061013	1456631_at
ENSMUSG00000042197	ENSMUST00000044455	1456350_at
ENSMUSG00000042197	ENSMUST00000044455	1455943_at
ENSMUSG00000042197	ENSMUST00000044455	1456415_at
ENSMUSG00000004105	ENSMUST00000143252	1446534_at
ENSMUSG00000072688	ENSMUST00000202768	1445150_at
ENSMUSG00000072688	ENSMUST00000100834	1445150_at
ENSMUSG00000031242	ENSMUST00000120722	1453078_at
ENSMUSG00000054428	ENSMUST00000145795	1453681_at
ENSMUSG00000006215	ENSMUST00000142438	1443041_at
ENSMUSG00000006215	ENSMUST00000142020	1443041_at
ENSMUSG00000006215	ENSMUST00000123477	1443041_at
ENSMUSG00000006215	ENSMUST00000130482	1443041_at
ENSMUSG00000044783	ENSMUST00000054674	1442202_at
ENSMUSG00000025949	ENSMUST00000081154	1452994_at
ENSMUSG00000025949	ENSMUST00000186404	1446974_at
ENSMUSG00000038855	ENSMUST00000195043	1441058_at
ENSMUSG00000026656	ENSMUST00000027966	1442118_at
ENSMUSG00000073236	ENSMUST00000128026	1430305_at
ENSMUSG00000073236	ENSMUST00000125345	1430305_at
ENSMUSG00000073236	ENSMUST00000139636	1430305_at
ENSMUSG00000055660	ENSMUST00000234990	1453165_at
ENSMUSG00000055660	ENSMUST00000234990	1453036_at
ENSMUSG00000055660	ENSMUST00000234990	1429493_at
ENSMUSG00000055660	ENSMUST00000171284	1453165_at
ENSMUSG00000060029	ENSMUST00000136793	1430249_at
ENSMUSG00000060029	ENSMUST00000079964	1430249_at
ENSMUSG00000059866	ENSMUST00000137555	1459844_at
ENSMUSG00000059588	ENSMUST00000151295	1459536_at
ENSMUSG00000071858	ENSMUST00000096570	1458367_at
ENSMUSG00000110997	ENSMUST00000215216	1431551_at
ENSMUSG00000043987	ENSMUST00000117194	1435676_at
ENSMUSG00000043987	ENSMUST00000117194	1447278_at
ENSMUSG00000043987	ENSMUST00000216284	1435676_at
ENSMUSG00000043987	ENSMUST00000214971	1435676_at
ENSMUSG00000043987	ENSMUST00000213154	1435676_at
ENSMUSG00000049436	ENSMUST00000057767	1435831_at
ENSMUSG00000049436	ENSMUST00000057767	1455464_x_at
ENSMUSG00000049436	ENSMUST00000057767	1457065_at
ENSMUSG00000043067	ENSMUST00000115277	1456533_at
ENSMUSG00000043067	ENSMUST00000115277	1433759_at
ENSMUSG00000043067	ENSMUST00000142064	1433759_at
ENSMUSG00000043067	ENSMUST00000152480	1456533_at
ENSMUSG00000043067	ENSMUST00000152480	1433759_at
ENSMUSG00000043067	ENSMUST00000170356	1456533_at
ENSMUSG00000043067	ENSMUST00000170356	1433759_at
ENSMUSG00000026578	ENSMUST00000027867	1435052_at
ENSMUSG00000040187	ENSMUST00000111639	1429688_at
ENSMUSG00000040187	ENSMUST00000111636	1429688_at
ENSMUSG00000040187	ENSMUST00000129788	1429688_at
ENSMUSG00000040187	ENSMUST00000111638	1429688_at
ENSMUSG00000040187	ENSMUST00000204578	1429688_at
ENSMUSG00000040187	ENSMUST00000080530	1429688_at
ENSMUSG00000010067	ENSMUST00000093786	1441737_s_at
ENSMUSG00000010067	ENSMUST00000122225	1441737_s_at
ENSMUSG00000010067	ENSMUST00000156198	1441737_s_at
ENSMUSG00000010067	ENSMUST00000010211	1441737_s_at
ENSMUSG00000010067	ENSMUST00000121635	1441737_s_at
ENSMUSG00000010067	ENSMUST00000144129	1441737_s_at
ENSMUSG00000010067	ENSMUST00000125386	1441737_s_at
ENSMUSG00000010067	ENSMUST00000129320	1457788_at
ENSMUSG00000010067	ENSMUST00000129320	1441737_s_at
ENSMUSG00000023032	ENSMUST00000023776	1441700_at
ENSMUSG00000034863	ENSMUST00000093450	1437895_at
ENSMUSG00000034863	ENSMUST00000213382	1437895_at
ENSMUSG00000034863	ENSMUST00000212768	1437895_at
ENSMUSG00000034863	ENSMUST00000213016	1437895_at
ENSMUSG00000039680	ENSMUST00000047429	1447585_s_at
ENSMUSG00000039680	ENSMUST00000232222	1447585_s_at
ENSMUSG00000039680	ENSMUST00000138961	1447585_s_at
ENSMUSG00000037474	ENSMUST00000195650	1443864_at
ENSMUSG00000037474	ENSMUST00000195650	1430663_at
ENSMUSG00000037474	ENSMUST00000027933	1443864_at
ENSMUSG00000037474	ENSMUST00000027933	1430663_at
ENSMUSG00000037474	ENSMUST00000195765	1443864_at
ENSMUSG00000037474	ENSMUST00000193977	1439520_at
ENSMUSG00000037474	ENSMUST00000192014	1430228_at
ENSMUSG00000037474	ENSMUST00000192014	1456652_at
ENSMUSG00000092270	ENSMUST00000173709	1430390_x_at
ENSMUSG00000030604	ENSMUST00000205671	1429031_at
ENSMUSG00000030604	ENSMUST00000205671	1430048_at
ENSMUSG00000089774	ENSMUST00000113975	1435484_at
ENSMUSG00000089774	ENSMUST00000113975	1440227_at
ENSMUSG00000089774	ENSMUST00000131098	1440227_at
ENSMUSG00000042133	ENSMUST00000090858	1434475_at
ENSMUSG00000042133	ENSMUST00000040915	1434475_at
ENSMUSG00000031698	ENSMUST00000034133	1439101_at
ENSMUSG00000031698	ENSMUST00000122452	1439101_at
ENSMUSG00000098090	ENSMUST00000182313	1445682_at
ENSMUSG00000030691	ENSMUST00000032931	1434260_at
ENSMUSG00000030691	ENSMUST00000098250	1434260_at
ENSMUSG00000030691	ENSMUST00000142727	1442970_at
ENSMUSG00000030691	ENSMUST00000208063	1442970_at
ENSMUSG00000098132	ENSMUST00000182858	1457140_s_at
ENSMUSG00000098132	ENSMUST00000182858	1453201_at
ENSMUSG00000098132	ENSMUST00000182858	1429567_at
ENSMUSG00000018372	ENSMUST00000018516	1440280_at
ENSMUSG00000018372	ENSMUST00000018516	1436572_at
ENSMUSG00000018372	ENSMUST00000149279	1436572_at
ENSMUSG00000018372	ENSMUST00000124898	1436572_at
ENSMUSG00000018372	ENSMUST00000103068	1440280_at
ENSMUSG00000018372	ENSMUST00000103068	1436572_at
ENSMUSG00000097350	ENSMUST00000181774	1441009_at
ENSMUSG00000046337	ENSMUST00000170295	1428581_at
ENSMUSG00000046337	ENSMUST00000170295	1444648_at
ENSMUSG00000046337	ENSMUST00000193548	1428581_at
ENSMUSG00000046337	ENSMUST00000193763	1428581_at
ENSMUSG00000046337	ENSMUST00000194025	1428581_at
ENSMUSG00000046337	ENSMUST00000194025	1444648_at
ENSMUSG00000046337	ENSMUST00000194839	1428581_at
ENSMUSG00000046337	ENSMUST00000193155	1428581_at
ENSMUSG00000046337	ENSMUST00000195729	1444648_at
ENSMUSG00000046337	ENSMUST00000114981	1444648_at
ENSMUSG00000025024	ENSMUST00000236245	1443396_at
ENSMUSG00000063849	ENSMUST00000214624	1430813_at
ENSMUSG00000087652	ENSMUST00000137259	1446523_at
ENSMUSG00000022587	ENSMUST00000188866	1453304_s_at
ENSMUSG00000022587	ENSMUST00000189186	1453304_s_at
ENSMUSG00000022587	ENSMUST00000190810	1453304_s_at
ENSMUSG00000022587	ENSMUST00000185863	1453304_s_at
ENSMUSG00000022587	ENSMUST00000191127	1453304_s_at
ENSMUSG00000022587	ENSMUST00000191436	1453304_s_at
ENSMUSG00000022587	ENSMUST00000186927	1453304_s_at
ENSMUSG00000022587	ENSMUST00000188503	1453304_s_at
ENSMUSG00000022587	ENSMUST00000191145	1453304_s_at
ENSMUSG00000022587	ENSMUST00000191439	1439773_at
ENSMUSG00000022587	ENSMUST00000051698	1453304_s_at
ENSMUSG00000022587	ENSMUST00000169343	1453304_s_at
ENSMUSG00000020024	ENSMUST00000020212	1453045_at
ENSMUSG00000020024	ENSMUST00000220052	1430866_at
ENSMUSG00000020024	ENSMUST00000220352	1430303_at
ENSMUSG00000020024	ENSMUST00000218076	1453045_at
ENSMUSG00000035067	ENSMUST00000119973	1439265_at
ENSMUSG00000035067	ENSMUST00000176510	1453328_at
ENSMUSG00000024732	ENSMUST00000133836	1441578_at
ENSMUSG00000024732	ENSMUST00000025639	1441578_at
ENSMUSG00000026575	ENSMUST00000195474	1438874_at
ENSMUSG00000026575	ENSMUST00000086028	1438874_at
ENSMUSG00000078779	ENSMUST00000205701	1444779_s_at
ENSMUSG00000078779	ENSMUST00000108331	1444779_s_at
ENSMUSG00000036834	ENSMUST00000048134	1457157_at
ENSMUSG00000036834	ENSMUST00000159374	1457157_at
ENSMUSG00000036834	ENSMUST00000159982	1457157_at
ENSMUSG00000036834	ENSMUST00000084105	1457157_at
ENSMUSG00000036834	ENSMUST00000162269	1457157_at
ENSMUSG00000036834	ENSMUST00000159676	1457157_at
ENSMUSG00000036834	ENSMUST00000059973	1457157_at
ENSMUSG00000036834	ENSMUST00000177143	1457157_at
ENSMUSG00000036834	ENSMUST00000160638	1457157_at
ENSMUSG00000103378	ENSMUST00000193300	1443553_at
ENSMUSG00000036678	ENSMUST00000230349	1445494_at
ENSMUSG00000097318	ENSMUST00000231849	1435403_at
ENSMUSG00000097318	ENSMUST00000180923	1435403_at
ENSMUSG00000052117	ENSMUST00000063816	1437085_at
ENSMUSG00000027894	ENSMUST00000169449	1458394_at
ENSMUSG00000027894	ENSMUST00000169449	1458441_at
ENSMUSG00000027894	ENSMUST00000029499	1458394_at
ENSMUSG00000027894	ENSMUST00000029499	1458441_at
ENSMUSG00000027894	ENSMUST00000168211	1458394_at
ENSMUSG00000027894	ENSMUST00000171029	1458394_at
ENSMUSG00000117768	ENSMUST00000238029	1453680_at
ENSMUSG00000097779	ENSMUST00000180442	1431688_at
ENSMUSG00000004894	ENSMUST00000160737	1435629_at
ENSMUSG00000097636	ENSMUST00000237144	1453244_at
ENSMUSG00000104704	ENSMUST00000197472	1459001_at
ENSMUSG00000029434	ENSMUST00000031388	1453742_at
ENSMUSG00000029434	ENSMUST00000031388	1434816_at
ENSMUSG00000029434	ENSMUST00000031388	1442524_at
ENSMUSG00000029434	ENSMUST00000198900	1459001_at
ENSMUSG00000073491	ENSMUST00000150649	1437636_at
ENSMUSG00000073491	ENSMUST00000178186	1437636_at
ENSMUSG00000073491	ENSMUST00000179648	1437636_at
ENSMUSG00000073491	ENSMUST00000097462	1444405_at
ENSMUSG00000034765	ENSMUST00000038287	1437199_at
ENSMUSG00000110009	ENSMUST00000209589	1430767_a_at
ENSMUSG00000110009	ENSMUST00000210408	1430767_a_at
ENSMUSG00000105843	ENSMUST00000198195	1435119_at
ENSMUSG00000049307	ENSMUST00000061498	1455843_at
ENSMUSG00000032621	ENSMUST00000210489	1457392_at
ENSMUSG00000032621	ENSMUST00000074616	1457392_at
ENSMUSG00000050910	ENSMUST00000053288	1445027_at
ENSMUSG00000071497	ENSMUST00000095978	1439553_s_at
ENSMUSG00000102693	ENSMUST00000193812	1433330_at
ENSMUSG00000026577	ENSMUST00000027866	1442164_at
ENSMUSG00000022378	ENSMUST00000063838	1436088_at
ENSMUSG00000047694	ENSMUST00000054697	1455111_at
ENSMUSG00000047694	ENSMUST00000054697	1430024_at
ENSMUSG00000047694	ENSMUST00000113811	1430024_at
ENSMUSG00000047694	ENSMUST00000149082	1430024_at
ENSMUSG00000047694	ENSMUST00000140479	1430024_at
ENSMUSG00000047694	ENSMUST00000151353	1430024_at
ENSMUSG00000047694	ENSMUST00000124010	1441485_at
ENSMUSG00000032563	ENSMUST00000035177	1440636_at
ENSMUSG00000026922	ENSMUST00000131940	1428821_at
ENSMUSG00000026922	ENSMUST00000028286	1428821_at
ENSMUSG00000026922	ENSMUST00000140386	1428821_at
ENSMUSG00000087022	ENSMUST00000135238	1453245_at
ENSMUSG00000087022	ENSMUST00000187927	1453245_at
ENSMUSG00000087022	ENSMUST00000195462	1453245_at
ENSMUSG00000027936	ENSMUST00000029545	1429373_x_at
ENSMUSG00000027936	ENSMUST00000149422	1429373_x_at
ENSMUSG00000027936	ENSMUST00000130002	1429373_x_at
ENSMUSG00000027936	ENSMUST00000136970	1429373_x_at
ENSMUSG00000027936	ENSMUST00000184882	1429373_x_at
ENSMUSG00000068966	ENSMUST00000113158	1447042_at
ENSMUSG00000068966	ENSMUST00000113158	1436085_at
ENSMUSG00000068966	ENSMUST00000134589	1447042_at
ENSMUSG00000068966	ENSMUST00000091037	1447042_at
ENSMUSG00000068966	ENSMUST00000091037	1436085_at
ENSMUSG00000007610	ENSMUST00000150969	1457975_at
ENSMUSG00000007610	ENSMUST00000124349	1445205_at
ENSMUSG00000007610	ENSMUST00000127741	1445205_at
ENSMUSG00000073006	ENSMUST00000101290	1445435_at
ENSMUSG00000073006	ENSMUST00000155294	1445435_at
ENSMUSG00000064127	ENSMUST00000096495	1443597_at
ENSMUSG00000064127	ENSMUST00000096495	1437632_at
ENSMUSG00000064127	ENSMUST00000115481	1456785_at
ENSMUSG00000064127	ENSMUST00000124053	1456785_at
ENSMUSG00000081829	ENSMUST00000118147	1428658_at
ENSMUSG00000042389	ENSMUST00000040234	1435118_at
ENSMUSG00000042389	ENSMUST00000138200	1459346_at
ENSMUSG00000042389	ENSMUST00000143520	1435118_at
ENSMUSG00000074212	ENSMUST00000090178	1429468_at
ENSMUSG00000074212	ENSMUST00000090178	1430561_at
ENSMUSG00000074212	ENSMUST00000195903	1428658_at
ENSMUSG00000074212	ENSMUST00000195903	1430561_at
ENSMUSG00000045211	ENSMUST00000089049	1435902_at
ENSMUSG00000045211	ENSMUST00000228554	1435902_at
ENSMUSG00000045211	ENSMUST00000228768	1435902_at
ENSMUSG00000012609	ENSMUST00000040179	1452890_at
ENSMUSG00000012609	ENSMUST00000040179	1431279_s_at
ENSMUSG00000012609	ENSMUST00000040273	1431279_s_at
ENSMUSG00000012609	ENSMUST00000110224	1452890_at
ENSMUSG00000012609	ENSMUST00000110224	1431279_s_at
ENSMUSG00000012609	ENSMUST00000155448	1452890_at
ENSMUSG00000012609	ENSMUST00000155448	1431279_s_at
ENSMUSG00000012609	ENSMUST00000177114	1452890_at
ENSMUSG00000012609	ENSMUST00000177114	1431279_s_at
ENSMUSG00000012609	ENSMUST00000177168	1452890_at
ENSMUSG00000012609	ENSMUST00000177168	1431279_s_at
ENSMUSG00000012609	ENSMUST00000177525	1452890_at
ENSMUSG00000012609	ENSMUST00000177525	1431279_s_at
ENSMUSG00000012609	ENSMUST00000175844	1430469_at
ENSMUSG00000012609	ENSMUST00000220906	1452890_at
ENSMUSG00000012609	ENSMUST00000220906	1431279_s_at
ENSMUSG00000054426	ENSMUST00000188260	1457709_a_at
ENSMUSG00000054426	ENSMUST00000188260	1441264_x_at
ENSMUSG00000054426	ENSMUST00000188260	1441263_a_at
ENSMUSG00000054426	ENSMUST00000185681	1441264_x_at
ENSMUSG00000054426	ENSMUST00000185681	1441263_a_at
ENSMUSG00000054426	ENSMUST00000185424	1441264_x_at
ENSMUSG00000054426	ENSMUST00000185424	1441263_a_at
ENSMUSG00000054426	ENSMUST00000187055	1441264_x_at
ENSMUSG00000054426	ENSMUST00000187055	1441263_a_at
ENSMUSG00000054426	ENSMUST00000191182	1457709_a_at
ENSMUSG00000054426	ENSMUST00000191182	1441264_x_at
ENSMUSG00000054426	ENSMUST00000191182	1441263_a_at
ENSMUSG00000054426	ENSMUST00000191182	1460135_at
ENSMUSG00000054426	ENSMUST00000185512	1457709_a_at
ENSMUSG00000054426	ENSMUST00000185512	1441264_x_at
ENSMUSG00000054426	ENSMUST00000185512	1441263_a_at
ENSMUSG00000054426	ENSMUST00000067500	1457709_a_at
ENSMUSG00000054426	ENSMUST00000067500	1441264_x_at
ENSMUSG00000054426	ENSMUST00000067500	1441263_a_at
ENSMUSG00000054426	ENSMUST00000067500	1460135_at
ENSMUSG00000039676	ENSMUST00000042360	1429891_at
ENSMUSG00000039676	ENSMUST00000226688	1429891_at
ENSMUSG00000047767	ENSMUST00000207740	1429396_at
ENSMUSG00000047767	ENSMUST00000120267	1442207_at
ENSMUSG00000047767	ENSMUST00000120267	1429396_at
ENSMUSG00000047767	ENSMUST00000143630	1429396_at
ENSMUSG00000047767	ENSMUST00000124617	1429396_at
ENSMUSG00000047767	ENSMUST00000122116	1429396_at
ENSMUSG00000047767	ENSMUST00000139609	1429396_at
ENSMUSG00000047767	ENSMUST00000131988	1429396_at
ENSMUSG00000047767	ENSMUST00000123970	1429396_at
ENSMUSG00000047767	ENSMUST00000134531	1429396_at
ENSMUSG00000047767	ENSMUST00000153327	1429396_at
ENSMUSG00000041399	ENSMUST00000048893	1453167_at
ENSMUSG00000028868	ENSMUST00000084241	1438683_at
ENSMUSG00000113204	ENSMUST00000222254	1440202_at
ENSMUSG00000113204	ENSMUST00000220478	1440202_at
ENSMUSG00000094447	ENSMUST00000227772	1431672_at
ENSMUSG00000094447	ENSMUST00000179647	1431672_at
ENSMUSG00000032565	ENSMUST00000035179	1439884_at
ENSMUSG00000032565	ENSMUST00000190375	1439884_at
ENSMUSG00000032565	ENSMUST00000186933	1439884_at
ENSMUSG00000067578	ENSMUST00000087950	1433607_at
ENSMUSG00000068011	ENSMUST00000088962	1440916_at
ENSMUSG00000068011	ENSMUST00000112957	1440916_at
ENSMUSG00000042202	ENSMUST00000105608	1455508_at
ENSMUSG00000066677	ENSMUST00000182880	1444405_at
ENSMUSG00000035580	ENSMUST00000039366	1440980_at
ENSMUSG00000035580	ENSMUST00000184279	1440980_at
ENSMUSG00000022095	ENSMUST00000022690	1457246_at
ENSMUSG00000031766	ENSMUST00000212041	1446552_at
ENSMUSG00000028391	ENSMUST00000120095	1459664_at
ENSMUSG00000097929	ENSMUST00000180458	1430951_at
ENSMUSG00000097929	ENSMUST00000180458	1441087_at
ENSMUSG00000097929	ENSMUST00000180503	1430951_at
ENSMUSG00000097929	ENSMUST00000180503	1441087_at
ENSMUSG00000081586	ENSMUST00000120215	1444142_at
ENSMUSG00000070385	ENSMUST00000090715	1434722_at
ENSMUSG00000070385	ENSMUST00000155034	1434722_at
ENSMUSG00000070385	ENSMUST00000177250	1434722_at
ENSMUSG00000117289	ENSMUST00000233171	1453967_at
ENSMUSG00000022811	ENSMUST00000165418	1455483_at
ENSMUSG00000022811	ENSMUST00000165418	1436217_at
ENSMUSG00000051319	ENSMUST00000135091	1438678_at
ENSMUSG00000018363	ENSMUST00000103067	1454894_at
ENSMUSG00000018363	ENSMUST00000103067	1429046_at
ENSMUSG00000018363	ENSMUST00000103067	1429045_at
ENSMUSG00000018363	ENSMUST00000139297	1454894_at
ENSMUSG00000018363	ENSMUST00000139297	1429046_at
ENSMUSG00000018363	ENSMUST00000139297	1429045_at
ENSMUSG00000018363	ENSMUST00000092517	1429046_at
ENSMUSG00000018363	ENSMUST00000092517	1429045_at
ENSMUSG00000057363	ENSMUST00000126008	1444642_at
ENSMUSG00000010601	ENSMUST00000176074	1453080_at
ENSMUSG00000010601	ENSMUST00000176074	1429272_a_at
ENSMUSG00000010601	ENSMUST00000175919	1453080_at
ENSMUSG00000010601	ENSMUST00000175919	1429272_a_at
ENSMUSG00000018858	ENSMUST00000153983	1444276_at
ENSMUSG00000018858	ENSMUST00000106539	1444276_at
ENSMUSG00000018858	ENSMUST00000133192	1444276_at
ENSMUSG00000018858	ENSMUST00000021079	1444276_at
ENSMUSG00000018858	ENSMUST00000155134	1444276_at
ENSMUSG00000018858	ENSMUST00000134386	1444276_at
ENSMUSG00000114518	ENSMUST00000224120	1446010_at
ENSMUSG00000030744	ENSMUST00000032998	1455600_at
ENSMUSG00000030744	ENSMUST00000107096	1455600_at
ENSMUSG00000030744	ENSMUST00000128725	1455600_at
