Gene stable ID	Transcript stable ID	AFFY RG U34A probe
ENSRNOG00000012458	ENSRNOT00000078080	AF056333_s_at
ENSRNOG00000012458	ENSRNOT00000078080	S48325_s_at
ENSRNOG00000012458	ENSRNOT00000016883	AF056333_s_at
ENSRNOG00000012458	ENSRNOT00000016883	S48325_s_at
ENSRNOG00000012458	ENSRNOT00000016883	M20131cds_s_at
ENSRNOG00000029614	ENSRNOT00000087080	AF041082_at
ENSRNOG00000029614	ENSRNOT00000042384	AF041082_at
ENSRNOG00000001049	ENSRNOT00000001383	rc_AI230748_at
ENSRNOG00000035467	ENSRNOT00000053590	rc_AA799396_g_at
ENSRNOG00000035467	ENSRNOT00000053590	rc_AA799396_at
ENSRNOG00000008755	ENSRNOT00000046754	rc_AA799489_g_at
ENSRNOG00000008755	ENSRNOT00000046754	J02752_at
ENSRNOG00000017878	ENSRNOT00000024093	M23995_g_at
ENSRNOG00000034597	ENSRNOT00000052720	AFFX_rat_5S_rRNA_at
ENSRNOG00000031731	ENSRNOT00000050398	rc_AA891537_at
ENSRNOG00000057628	ENSRNOT00000081167	AF026554_at
ENSRNOG00000057628	ENSRNOT00000081167	AF081204_s_at
ENSRNOG00000057628	ENSRNOT00000082623	AF026554_at
ENSRNOG00000057628	ENSRNOT00000082623	AF081204_s_at
ENSRNOG00000021682	ENSRNOT00000080077	rc_AA800803_at
ENSRNOG00000021682	ENSRNOT00000080077	rc_AA800803_g_at
ENSRNOG00000021682	ENSRNOT00000031498	rc_AA800803_at
ENSRNOG00000021682	ENSRNOT00000031498	rc_AA800803_g_at
ENSRNOG00000012512	ENSRNOT00000083344	AF056034_s_at
ENSRNOG00000012512	ENSRNOT00000083344	rc_AA799423_at
ENSRNOG00000012512	ENSRNOT00000016967	AF056034_s_at
ENSRNOG00000012512	ENSRNOT00000016967	rc_AA799423_at
ENSRNOG00000012512	ENSRNOT00000066780	AF056034_s_at
ENSRNOG00000012512	ENSRNOT00000066780	rc_AA799423_at
ENSRNOG00000016212	ENSRNOT00000021816	rc_AA891902_at
ENSRNOG00000016212	ENSRNOT00000021816	rc_AA891902_g_at
ENSRNOG00000008140	ENSRNOT00000010759	X78167_at
ENSRNOG00000002520	ENSRNOT00000003412	rc_AI237535_s_at
ENSRNOG00000002520	ENSRNOT00000003412	U53184_at
ENSRNOG00000002158	ENSRNOT00000002938	J04215_at
ENSRNOG00000014971	ENSRNOT00000020100	rc_AI071498_at
ENSRNOG00000013620	ENSRNOT00000018431	rc_AA875127_g_at
ENSRNOG00000013620	ENSRNOT00000018431	rc_AA875127_at
ENSRNOG00000015401	ENSRNOT00000047271	Z21935cds_at
ENSRNOG00000020481	ENSRNOT00000027774	AF016047_at
ENSRNOG00000061813	ENSRNOT00000081444	M30691_at
ENSRNOG00000005542	ENSRNOT00000046811	M14952mRNA_at
ENSRNOG00000005542	ENSRNOT00000046811	U53873cds_at
ENSRNOG00000005542	ENSRNOT00000046811	M27440_at
ENSRNOG00000005542	ENSRNOT00000046811	M21842_at
ENSRNOG00000005542	ENSRNOT00000007371	M14952mRNA_at
ENSRNOG00000005542	ENSRNOT00000007371	U53873cds_at
ENSRNOG00000005542	ENSRNOT00000007371	rc_AA997806_at
ENSRNOG00000005542	ENSRNOT00000007371	M27440_at
ENSRNOG00000005542	ENSRNOT00000007371	M21842_at
ENSRNOG00000019716	ENSRNOT00000026685	E03082cds_s_at
ENSRNOG00000019716	ENSRNOT00000026685	M34643_at
ENSRNOG00000019716	ENSRNOT00000087115	E03082cds_s_at
ENSRNOG00000019716	ENSRNOT00000087115	M34643_at
ENSRNOG00000019716	ENSRNOT00000082009	E03082cds_s_at
ENSRNOG00000019716	ENSRNOT00000082009	M34643_at
ENSRNOG00000046284	ENSRNOT00000074147	M87786_at
ENSRNOG00000020138	ENSRNOT00000027337	J05167_at
ENSRNOG00000009582	ENSRNOT00000078187	AF035673_at
ENSRNOG00000009582	ENSRNOT00000051951	AF035673_at
ENSRNOG00000004646	ENSRNOT00000006526	M31655_at
ENSRNOG00000004646	ENSRNOT00000006526	M57705_g_at
ENSRNOG00000010219	ENSRNOT00000013809	L07925_at
ENSRNOG00000010219	ENSRNOT00000013809	L07925_g_at
ENSRNOG00000010219	ENSRNOT00000084092	L07925_at
ENSRNOG00000010219	ENSRNOT00000084092	L07925_g_at
ENSRNOG00000005116	ENSRNOT00000006859	X57432cds_s_at
ENSRNOG00000052810	ENSRNOT00000088853	M18363cds_s_at
ENSRNOG00000052810	ENSRNOT00000088853	J02657_s_at
ENSRNOG00000048095	ENSRNOT00000074520	rc_AI111401_s_at
ENSRNOG00000001440	ENSRNOT00000001958	rc_AI010480_g_at
ENSRNOG00000001440	ENSRNOT00000001958	rc_AI010480_at
ENSRNOG00000006116	ENSRNOT00000008813	D26393exon_s_at
ENSRNOG00000006116	ENSRNOT00000008813	M68971_at
ENSRNOG00000006116	ENSRNOT00000008813	S56464mRNA_at
ENSRNOG00000006116	ENSRNOT00000008813	S56464mRNA_g_at
ENSRNOG00000004936	ENSRNOT00000007255	M81687_at
ENSRNOG00000002303	ENSRNOT00000089123	X78461_at
ENSRNOG00000002303	ENSRNOT00000057953	X78461_at
ENSRNOG00000002948	ENSRNOT00000003977	AB010467_s_at
ENSRNOG00000002948	ENSRNOT00000051497	AB010467_s_at
ENSRNOG00000013712	ENSRNOT00000065847	rc_AA892260_at
ENSRNOG00000013712	ENSRNOT00000065847	rc_AA892260_g_at
ENSRNOG00000020995	ENSRNOT00000028494	AB015637cds_s_at
ENSRNOG00000020995	ENSRNOT00000028494	AB015637exon#1_s_at
ENSRNOG00000020995	ENSRNOT00000028494	AB006137_at
ENSRNOG00000020995	ENSRNOT00000028494	L26009_s_at
ENSRNOG00000005268	ENSRNOT00000007032	X65747_at
ENSRNOG00000046316	ENSRNOT00000070805	rc_AA891796_at
ENSRNOG00000000665	ENSRNOT00000052202	rc_AA998446_s_at
ENSRNOG00000000665	ENSRNOT00000052202	D21132_at
ENSRNOG00000000665	ENSRNOT00000066892	rc_AA998446_s_at
ENSRNOG00000009903	ENSRNOT00000013452	X99773mRNA_s_at
ENSRNOG00000009700	ENSRNOT00000013184	X66845_at
ENSRNOG00000003129	ENSRNOT00000058308	rc_H31351_at
ENSRNOG00000006527	ENSRNOT00000009705	rc_AI228669_at
ENSRNOG00000003304	ENSRNOT00000004435	AF004953_at
ENSRNOG00000021828	ENSRNOT00000029829	AJ006064_g_at
ENSRNOG00000021828	ENSRNOT00000029829	AJ006064_at
ENSRNOG00000015797	ENSRNOT00000021216	rc_AA800025_g_at
ENSRNOG00000029237	ENSRNOT00000025701	M11565_at
ENSRNOG00000054429	ENSRNOT00000078007	rc_AA893217_at
ENSRNOG00000047673	ENSRNOT00000071328	M15901mRNA_s_at
ENSRNOG00000018452	ENSRNOT00000025162	U24070_at
ENSRNOG00000020497	ENSRNOT00000027836	AF034237_s_at
ENSRNOG00000060179	ENSRNOT00000090442	M22400_at
ENSRNOG00000019048	ENSRNOT00000025794	Y00497_s_at
ENSRNOG00000001575	ENSRNOT00000085629	M83561_s_at
ENSRNOG00000001575	ENSRNOT00000051060	M83561_s_at
ENSRNOG00000001575	ENSRNOT00000042581	M83561_s_at
ENSRNOG00000001575	ENSRNOT00000050073	M83561_s_at
ENSRNOG00000015583	ENSRNOT00000020941	rc_AA892303_at
ENSRNOG00000015583	ENSRNOT00000020941	rc_AA892303_g_at
ENSRNOG00000000814	ENSRNOT00000001079	U02096_at
ENSRNOG00000029238	ENSRNOT00000040981	rc_AA892305_at
ENSRNOG00000006130	ENSRNOT00000061878	rc_AA866364_at
ENSRNOG00000019534	ENSRNOT00000064254	X53773_at
ENSRNOG00000019534	ENSRNOT00000085125	X53773_at
ENSRNOG00000000279	ENSRNOT00000000304	rc_AA892131_at
ENSRNOG00000014061	ENSRNOT00000018889	AF013144_at
ENSRNOG00000020083	ENSRNOT00000027220	rc_AA893080_at
ENSRNOG00000009596	ENSRNOT00000063831	rc_AA875438_at
ENSRNOG00000018509	ENSRNOT00000025019	U04808_at
ENSRNOG00000018395	ENSRNOT00000064171	rc_AA894080_g_at
ENSRNOG00000018395	ENSRNOT00000064171	rc_AA894080_at
ENSRNOG00000018395	ENSRNOT00000070819	rc_AA894080_g_at
ENSRNOG00000018395	ENSRNOT00000070819	rc_AA894080_at
ENSRNOG00000021611	ENSRNOT00000033200	AJ000485_at
ENSRNOG00000021611	ENSRNOT00000091328	AJ000485_at
ENSRNOG00000031034	ENSRNOT00000045604	rc_AI103074_at
ENSRNOG00000012762	ENSRNOT00000017063	rc_AA799851_at
ENSRNOG00000046891	ENSRNOT00000072429	rc_AI012593_at
ENSRNOG00000046891	ENSRNOT00000072429	AFFX_Rat_Hexokinase_5_at
ENSRNOG00000046891	ENSRNOT00000072429	AFFX_Rat_Hexokinase_3_at
ENSRNOG00000002724	ENSRNOT00000078448	rc_AI231500_at
ENSRNOG00000002724	ENSRNOT00000003697	rc_AI231500_at
ENSRNOG00000014087	ENSRNOT00000066032	AF035953_at
ENSRNOG00000014087	ENSRNOT00000066032	rc_AA892369_at
ENSRNOG00000042086	ENSRNOT00000004249	U18771_at
ENSRNOG00000016275	ENSRNOT00000022113	rc_AA945169_g_at
ENSRNOG00000016275	ENSRNOT00000022113	rc_AA945169_at
ENSRNOG00000025534	ENSRNOT00000029272	D13518_at
ENSRNOG00000005379	ENSRNOT00000007124	M64793_at
ENSRNOG00000007219	ENSRNOT00000009556	rc_AI176546_at
ENSRNOG00000007219	ENSRNOT00000009556	rc_AA944397_at
ENSRNOG00000029726	ENSRNOT00000047139	J02810mRNA_s_at
ENSRNOG00000029726	ENSRNOT00000047139	X04229cds_s_at
ENSRNOG00000029726	ENSRNOT00000047139	H32189_s_at
ENSRNOG00000049708	ENSRNOT00000047120	rc_AI639326_at
ENSRNOG00000049708	ENSRNOT00000047120	rc_AI639326_g_at
ENSRNOG00000049708	ENSRNOT00000081282	rc_AI639326_at
ENSRNOG00000049708	ENSRNOT00000081282	rc_AI639326_g_at
ENSRNOG00000016274	ENSRNOT00000021772	rc_AA866362_at
ENSRNOG00000020583	ENSRNOT00000027944	rc_AI180013_at
ENSRNOG00000020583	ENSRNOT00000027944	X14323cds_g_at
ENSRNOG00000020583	ENSRNOT00000027944	X14323cds_at
ENSRNOG00000013074	ENSRNOT00000067940	S63358_s_at
ENSRNOG00000048133	ENSRNOT00000060987	M64377_f_at
ENSRNOG00000012100	ENSRNOT00000081178	M94557_s_at
ENSRNOG00000012100	ENSRNOT00000016217	M94557_s_at
ENSRNOG00000012098	ENSRNOT00000016175	Z23272_s_at
ENSRNOG00000012098	ENSRNOT00000016175	D14908_s_at
ENSRNOG00000012098	ENSRNOT00000016175	D14909_at
ENSRNOG00000012098	ENSRNOT00000043851	D14908_s_at
ENSRNOG00000012098	ENSRNOT00000043851	D14909_at
ENSRNOG00000012098	ENSRNOT00000035722	Z23272_s_at
ENSRNOG00000012098	ENSRNOT00000035722	D14908_s_at
ENSRNOG00000012098	ENSRNOT00000035722	D14909_at
ENSRNOG00000012098	ENSRNOT00000046192	D14908_s_at
ENSRNOG00000012098	ENSRNOT00000046192	D14909_at
ENSRNOG00000005765	ENSRNOT00000090716	rc_AA800277_at
ENSRNOG00000005765	ENSRNOT00000007887	rc_AA800277_at
ENSRNOG00000005061	ENSRNOT00000007298	D90401_g_at
ENSRNOG00000005061	ENSRNOT00000007298	D90401_at
ENSRNOG00000053494	ENSRNOT00000090206	S69206_s_at
ENSRNOG00000053494	ENSRNOT00000090206	U67915_at
ENSRNOG00000048961	ENSRNOT00000070957	AF009329_at
ENSRNOG00000021035	ENSRNOT00000028555	M20156_at
ENSRNOG00000014850	ENSRNOT00000020103	U42427_at
ENSRNOG00000014850	ENSRNOT00000091378	U42427_at
ENSRNOG00000003587	ENSRNOT00000068601	AF014827_at
ENSRNOG00000058234	ENSRNOT00000084680	M55015cds_s_at
ENSRNOG00000011927	ENSRNOT00000048781	X63143_s_at
ENSRNOG00000000165	ENSRNOT00000000178	X15580complete_seq_s_at
ENSRNOG00000000165	ENSRNOT00000000178	J04197_i_at
ENSRNOG00000000165	ENSRNOT00000081239	X15580complete_seq_s_at
ENSRNOG00000000165	ENSRNOT00000081239	J04197_i_at
ENSRNOG00000000165	ENSRNOT00000033656	X15580complete_seq_s_at
ENSRNOG00000000165	ENSRNOT00000033656	M27886exon_g_at
ENSRNOG00000000165	ENSRNOT00000033656	J04197_i_at
ENSRNOG00000045959	ENSRNOT00000074812	AF034899_f_at
ENSRNOG00000045959	ENSRNOT00000074812	AF034899_i_at
ENSRNOG00000048248	ENSRNOT00000072943	AF031430_at
ENSRNOG00000011606	ENSRNOT00000015427	X67859_at
ENSRNOG00000021405	ENSRNOT00000040325	M31031mRNA_f_at
ENSRNOG00000021405	ENSRNOT00000040325	M14775_s_at
ENSRNOG00000021405	ENSRNOT00000040325	M18335_f_at
ENSRNOG00000021405	ENSRNOT00000040325	rc_AA945573_f_at
ENSRNOG00000011404	ENSRNOT00000015374	AB006607_at
ENSRNOG00000011404	ENSRNOT00000015374	AB006607_g_at
ENSRNOG00000018839	ENSRNOT00000082611	M55291_at
ENSRNOG00000018839	ENSRNOT00000042145	M55291_at
ENSRNOG00000054378	ENSRNOT00000091717	D13906_g_at
ENSRNOG00000054378	ENSRNOT00000091717	D13906_at
ENSRNOG00000056476	ENSRNOT00000078303	rc_AA893148_at
ENSRNOG00000020876	ENSRNOT00000028328	S76511_s_at
ENSRNOG00000020876	ENSRNOT00000028328	U59184_at
ENSRNOG00000020876	ENSRNOT00000087061	S76511_s_at
ENSRNOG00000020876	ENSRNOT00000087061	U59184_at
ENSRNOG00000021294	ENSRNOT00000038093	AF019624_at
ENSRNOG00000011194	ENSRNOT00000078220	rc_AI176351_s_at
ENSRNOG00000011194	ENSRNOT00000078220	U50194_at
ENSRNOG00000011194	ENSRNOT00000078220	rc_AI071507_s_at
ENSRNOG00000011194	ENSRNOT00000085267	rc_AI176351_s_at
ENSRNOG00000011194	ENSRNOT00000085267	U50194_at
ENSRNOG00000011194	ENSRNOT00000085267	rc_AI071507_s_at
ENSRNOG00000011194	ENSRNOT00000015393	rc_AI176351_s_at
ENSRNOG00000011194	ENSRNOT00000015393	U50194_at
ENSRNOG00000011194	ENSRNOT00000015393	rc_AI071507_s_at
ENSRNOG00000003506	ENSRNOT00000005046	rc_AI175208_at
ENSRNOG00000028983	ENSRNOT00000045884	M83567_s_at
ENSRNOG00000017127	ENSRNOT00000058943	X52619_at
ENSRNOG00000008575	ENSRNOT00000059136	X73911_at
ENSRNOG00000008575	ENSRNOT00000082905	X73911_at
ENSRNOG00000011582	ENSRNOT00000015609	M83681_at
ENSRNOG00000018795	ENSRNOT00000025421	X14181cds_s_at
ENSRNOG00000018795	ENSRNOT00000025421	X14181cds_r_at
ENSRNOG00000018795	ENSRNOT00000025421	rc_AA799899_i_at
ENSRNOG00000027468	ENSRNOT00000029208	S56141_s_at
ENSRNOG00000027468	ENSRNOT00000090641	S56141_s_at
ENSRNOG00000007029	ENSRNOT00000010061	U53922_at
ENSRNOG00000008237	ENSRNOT00000043216	U24071_at
ENSRNOG00000008237	ENSRNOT00000067281	U24071_at
ENSRNOG00000008237	ENSRNOT00000078274	U24071_at
ENSRNOG00000008237	ENSRNOT00000064755	U24071_at
ENSRNOG00000033824	ENSRNOT00000044419	X78593_at
ENSRNOG00000033824	ENSRNOT00000044419	X78593_g_at
ENSRNOG00000033824	ENSRNOT00000088589	U83880UTR#1_g_at
ENSRNOG00000033824	ENSRNOT00000088589	X78593_at
ENSRNOG00000033824	ENSRNOT00000088589	X78593_g_at
ENSRNOG00000033824	ENSRNOT00000088589	U83880UTR#1_at
ENSRNOG00000033824	ENSRNOT00000090323	X78593_at
ENSRNOG00000033824	ENSRNOT00000090323	X78593_g_at
ENSRNOG00000059947	ENSRNOT00000086633	X60651mRNA_s_at
ENSRNOG00000059947	ENSRNOT00000086633	S61865_s_at
ENSRNOG00000000800	ENSRNOT00000087342	rc_AA892549_at
ENSRNOG00000000800	ENSRNOT00000057422	rc_AA892549_at
ENSRNOG00000060530	ENSRNOT00000088330	L38482_g_at
ENSRNOG00000060530	ENSRNOT00000088330	rc_AA799788_s_at
ENSRNOG00000021276	ENSRNOT00000028904	L20678_at
ENSRNOG00000021276	ENSRNOT00000028904	rc_AA997410_s_at
ENSRNOG00000055221	ENSRNOT00000080859	AB010428_s_at
ENSRNOG00000055221	ENSRNOT00000080859	Y09333_g_at
ENSRNOG00000048967	ENSRNOT00000073595	rc_AI639395_at
ENSRNOG00000048635	ENSRNOT00000036807	AF016182_at
ENSRNOG00000033748	ENSRNOT00000041683	X53504cds_g_at
ENSRNOG00000033748	ENSRNOT00000041683	X53504cds_at
ENSRNOG00000024181	ENSRNOT00000024767	U67910_at
ENSRNOG00000027271	ENSRNOT00000029782	X58389cds_s_at
ENSRNOG00000027271	ENSRNOT00000029782	X60212_i_at
ENSRNOG00000014079	ENSRNOT00000019465	rc_AA893777_at
ENSRNOG00000014079	ENSRNOT00000020032	AF055291mRNA_at
ENSRNOG00000014079	ENSRNOT00000083514	AF055291mRNA_at
ENSRNOG00000024309	ENSRNOT00000032026	rc_AA946040_at
ENSRNOG00000024309	ENSRNOT00000032026	rc_AI104035_s_at
ENSRNOG00000046297	ENSRNOT00000045756	S48142_at
ENSRNOG00000033835	ENSRNOT00000064039	X54531mRNA_at
ENSRNOG00000033835	ENSRNOT00000047921	X54531mRNA_at
ENSRNOG00000020294	ENSRNOT00000027492	J00774cds_s_at
ENSRNOG00000020294	ENSRNOT00000027492	V01255_at
ENSRNOG00000006217	ENSRNOT00000008303	rc_AA874791_at
ENSRNOG00000000903	ENSRNOT00000001211	D13978_s_at
ENSRNOG00000000903	ENSRNOT00000001211	AB016536_s_at
ENSRNOG00000020305	ENSRNOT00000027502	J00777_at
ENSRNOG00000020305	ENSRNOT00000027502	J00772_s_at
ENSRNOG00000020305	ENSRNOT00000072584	J00777_at
ENSRNOG00000020305	ENSRNOT00000072584	J00772_s_at
ENSRNOG00000015550	ENSRNOT00000020926	J04488_at
ENSRNOG00000017170	ENSRNOT00000023195	rc_AA800290_g_at
ENSRNOG00000017170	ENSRNOT00000023195	rc_AA800290_at
ENSRNOG00000058365	ENSRNOT00000045433	X00336_at
ENSRNOG00000046636	ENSRNOT00000074109	M27433_at
ENSRNOG00000023622	ENSRNOT00000039271	AJ012482_at
ENSRNOG00000032070	ENSRNOT00000044174	D26495_at
ENSRNOG00000007023	ENSRNOT00000009221	rc_AA892666_at
ENSRNOG00000032845	ENSRNOT00000064243	D21103_i_at
ENSRNOG00000032845	ENSRNOT00000064243	rc_AI179075_s_at
ENSRNOG00000054838	ENSRNOT00000082470	rc_AA875263_at
ENSRNOG00000001130	ENSRNOT00000066810	X59949cds_s_at
ENSRNOG00000001130	ENSRNOT00000001493	X59949cds_s_at
ENSRNOG00000008941	ENSRNOT00000011925	rc_AI175900_g_at
ENSRNOG00000008941	ENSRNOT00000011925	L20682mRNA#1_g_at
ENSRNOG00000008941	ENSRNOT00000011925	L20681_at
ENSRNOG00000008941	ENSRNOT00000011925	L20682mRNA#1_at
ENSRNOG00000018847	ENSRNOT00000025664	L20822_at
ENSRNOG00000018847	ENSRNOT00000025664	U87971_at
ENSRNOG00000018847	ENSRNOT00000025664	U87971_g_at
ENSRNOG00000048389	ENSRNOT00000072297	AB004638_at
ENSRNOG00000036659	ENSRNOT00000054915	rc_AA891965_at
ENSRNOG00000019441	ENSRNOT00000026306	rc_AI235576_s_at
ENSRNOG00000019441	ENSRNOT00000026306	L17138_at
ENSRNOG00000049151	ENSRNOT00000075648	U00964_at
ENSRNOG00000010934	ENSRNOT00000014866	AJ131888_at
ENSRNOG00000013413	ENSRNOT00000091814	L14610_at
ENSRNOG00000013413	ENSRNOT00000018137	L14610_at
ENSRNOG00000005620	ENSRNOT00000046135	rc_AA892316_at
ENSRNOG00000034106	ENSRNOT00000047079	S73424_s_at
ENSRNOG00000007081	ENSRNOT00000009634	rc_AI172247_at
ENSRNOG00000032832	ENSRNOT00000013119	M65253_at
ENSRNOG00000000542	ENSRNOT00000000651	D26499_at
ENSRNOG00000001492	ENSRNOT00000047289	U08141_at
ENSRNOG00000011756	ENSRNOT00000015638	rc_AA894168_at
ENSRNOG00000058645	ENSRNOT00000084563	U09401_s_at
ENSRNOG00000058645	ENSRNOT00000084563	U09361_s_at
ENSRNOG00000058645	ENSRNOT00000084563	U15550_at
ENSRNOG00000001324	ENSRNOT00000001791	L78306_at
ENSRNOG00000000164	ENSRNOT00000000177	D90211_s_at
ENSRNOG00000000164	ENSRNOT00000000177	M32016_at
ENSRNOG00000042503	ENSRNOT00000016965	M22756_at
ENSRNOG00000031651	ENSRNOT00000051584	rc_AA893212_at
ENSRNOG00000010610	ENSRNOT00000014229	U44750_at
ENSRNOG00000011635	ENSRNOT00000015724	D50580_at
ENSRNOG00000013203	ENSRNOT00000017673	X59012mRNA_s_at
ENSRNOG00000019749	ENSRNOT00000026752	rc_AA875146_s_at
ENSRNOG00000019749	ENSRNOT00000077602	rc_AA875146_s_at
ENSRNOG00000010681	ENSRNOT00000044232	AF039832_at
ENSRNOG00000010681	ENSRNOT00000044232	AF039832_g_at
ENSRNOG00000010681	ENSRNOT00000051009	AF039832_at
ENSRNOG00000010681	ENSRNOT00000051009	AF039832_g_at
ENSRNOG00000019760	ENSRNOT00000026751	rc_AA891742_at
ENSRNOG00000019760	ENSRNOT00000079609	rc_AA891742_at
ENSRNOG00000034236	ENSRNOT00000043006	rc_AA875197_at
ENSRNOG00000060723	ENSRNOT00000080434	U75400_s_at
ENSRNOG00000007650	ENSRNOT00000090381	X61654_at
ENSRNOG00000007650	ENSRNOT00000010180	X61654_at
ENSRNOG00000025602	ENSRNOT00000031796	L11007_at
ENSRNOG00000030910	ENSRNOT00000048347	U08257_at
ENSRNOG00000030910	ENSRNOT00000048347	X59996mRNA_s_at
ENSRNOG00000031743	ENSRNOT00000068683	M80367_at
ENSRNOG00000039997	ENSRNOT00000061482	J03969_at
ENSRNOG00000009552	ENSRNOT00000013445	rc_AA799641_at
ENSRNOG00000008030	ENSRNOT00000010714	AB001452_at
ENSRNOG00000008030	ENSRNOT00000010714	rc_AA859760_at
ENSRNOG00000009862	ENSRNOT00000013443	U03416_at
ENSRNOG00000009862	ENSRNOT00000065953	U03414_s_at
ENSRNOG00000001164	ENSRNOT00000001538	D83231_at
ENSRNOG00000033916	ENSRNOT00000051693	rc_AI178207_at
ENSRNOG00000017226	ENSRNOT00000023256	D28561_s_at
ENSRNOG00000005138	ENSRNOT00000067774	AF030558_at
ENSRNOG00000005138	ENSRNOT00000079327	AF030558_at
ENSRNOG00000006360	ENSRNOT00000008468	D23676_at
ENSRNOG00000020347	ENSRNOT00000027575	L39991_at
ENSRNOG00000020347	ENSRNOT00000027575	rc_AA799609_at
ENSRNOG00000020347	ENSRNOT00000027575	rc_AA799609_g_at
ENSRNOG00000020347	ENSRNOT00000027590	L39991_at
ENSRNOG00000020817	ENSRNOT00000085008	M33312cds_s_at
ENSRNOG00000020817	ENSRNOT00000085008	J04187_at
ENSRNOG00000020817	ENSRNOT00000085008	J02669_s_at
ENSRNOG00000020817	ENSRNOT00000090071	J02852_g_at
ENSRNOG00000020817	ENSRNOT00000090071	J02852_at
ENSRNOG00000020817	ENSRNOT00000084230	J02852_g_at
ENSRNOG00000020817	ENSRNOT00000084230	J02852_at
ENSRNOG00000020817	ENSRNOT00000028237	M33312cds_s_at
ENSRNOG00000020817	ENSRNOT00000028237	J02669_s_at
ENSRNOG00000020817	ENSRNOT00000092008	J04187_at
ENSRNOG00000020817	ENSRNOT00000092008	J02669_s_at
ENSRNOG00000020817	ENSRNOT00000085245	J04187_at
ENSRNOG00000020817	ENSRNOT00000085245	J02669_s_at
ENSRNOG00000020817	ENSRNOT00000028249	J04187_at
ENSRNOG00000020817	ENSRNOT00000028249	J02669_s_at
ENSRNOG00000000394	ENSRNOT00000000443	rc_AA818894_at
ENSRNOG00000000394	ENSRNOT00000078140	rc_AA818894_at
ENSRNOG00000056701	ENSRNOT00000084148	rc_AI012534_at
ENSRNOG00000056701	ENSRNOT00000085496	rc_AI012534_at
ENSRNOG00000050570	ENSRNOT00000074938	rc_AA800232_at
ENSRNOG00000005790	ENSRNOT00000007610	rc_AI639105_at
ENSRNOG00000020552	ENSRNOT00000027891	M19651_at
ENSRNOG00000000562	ENSRNOT00000000681	M33605_at
ENSRNOG00000008141	ENSRNOT00000010779	rc_AA799498_at
ENSRNOG00000000543	ENSRNOT00000000653	U09583_at
ENSRNOG00000001849	ENSRNOT00000002533	M64300_at
ENSRNOG00000033426	ENSRNOT00000079949	D26564_at
ENSRNOG00000033426	ENSRNOT00000042314	D26564_g_at
ENSRNOG00000033426	ENSRNOT00000042314	D26564_at
ENSRNOG00000014574	ENSRNOT00000054719	rc_AI104500_at
ENSRNOG00000025889	ENSRNOT00000035916	L10326_at
ENSRNOG00000010966	ENSRNOT00000014785	rc_AI177366_at
ENSRNOG00000007743	ENSRNOT00000010579	J03752_at
ENSRNOG00000008543	ENSRNOT00000011663	rc_AA893726_at
ENSRNOG00000016325	ENSRNOT00000022233	M81397_at
ENSRNOG00000055323	ENSRNOT00000084558	rc_AA893870_at
ENSRNOG00000055323	ENSRNOT00000084558	rc_AA893870_g_at
ENSRNOG00000013137	ENSRNOT00000017643	M55532_at
ENSRNOG00000014429	ENSRNOT00000057161	rc_AA893741_at
ENSRNOG00000011785	ENSRNOT00000016351	rc_AA891938_at
ENSRNOG00000012174	ENSRNOT00000016204	X13549_s_at
ENSRNOG00000012972	ENSRNOT00000082907	J03960_at
ENSRNOG00000012972	ENSRNOT00000017633	J03960_at
ENSRNOG00000046308	ENSRNOT00000002890	rc_AA866248_at
ENSRNOG00000058040	ENSRNOT00000090113	AF091572_s_at
ENSRNOG00000052549	ENSRNOT00000090857	X06832cds#2_s_at
ENSRNOG00000008908	ENSRNOT00000011969	rc_AA891848_at
ENSRNOG00000012378	ENSRNOT00000017375	rc_AA800743_at
ENSRNOG00000020475	ENSRNOT00000027811	AB014722_g_at
ENSRNOG00000020475	ENSRNOT00000027811	AB014722_at
ENSRNOG00000042250	ENSRNOT00000037086	M32475cds_g_at
ENSRNOG00000042250	ENSRNOT00000037086	M32475cds_at
ENSRNOG00000001037	ENSRNOT00000001371	rc_AA892960_at
ENSRNOG00000028235	ENSRNOT00000031768	M36410_g_at
ENSRNOG00000028235	ENSRNOT00000031768	M36410_at
ENSRNOG00000018824	ENSRNOT00000025784	AB015432_s_at
ENSRNOG00000018346	ENSRNOT00000038532	X62295cds_s_at
ENSRNOG00000018346	ENSRNOT00000038532	M86912exon_at
ENSRNOG00000018346	ENSRNOT00000038532	M86912exon_g_at
ENSRNOG00000018346	ENSRNOT00000038532	M74054_s_at
ENSRNOG00000053756	ENSRNOT00000047109	rc_AI235364_at
ENSRNOG00000023363	ENSRNOT00000024116	rc_AA892937_at
ENSRNOG00000055038	ENSRNOT00000041479	X15216cds_s_at
ENSRNOG00000011068	ENSRNOT00000014979	rc_AA893244_at
ENSRNOG00000004482	ENSRNOT00000005908	rc_AA859577_at
ENSRNOG00000031560	ENSRNOT00000048373	X15216cds_s_at
ENSRNOG00000006235	ENSRNOT00000008985	U48245_at
ENSRNOG00000006235	ENSRNOT00000087376	U48245_at
ENSRNOG00000006997	ENSRNOT00000048854	X07648cds_g_at
ENSRNOG00000006997	ENSRNOT00000048854	X07648cds_at
ENSRNOG00000006997	ENSRNOT00000044081	X07648cds_g_at
ENSRNOG00000006997	ENSRNOT00000044081	X07648cds_at
ENSRNOG00000060054	ENSRNOT00000090461	rc_H31734_at
