Gene stable ID	Transcript stable ID	AFFY MG U74Bv2 probe
ENSMUSG00000047428	ENSMUST00000166617	114215_at
ENSMUSG00000047428	ENSMUST00000170271	114215_at
ENSMUSG00000047428	ENSMUST00000061722	114215_at
ENSMUSG00000021961	ENSMUST00000224600	163449_at
ENSMUSG00000021961	ENSMUST00000022532	163449_at
ENSMUSG00000021961	ENSMUST00000225544	163449_at
ENSMUSG00000032305	ENSMUST00000093833	110463_at
ENSMUSG00000032305	ENSMUST00000093833	116480_at
ENSMUSG00000032305	ENSMUST00000114200	110463_at
ENSMUSG00000032305	ENSMUST00000114200	116480_at
ENSMUSG00000022761	ENSMUST00000023444	111849_at
ENSMUSG00000022761	ENSMUST00000232379	111849_at
ENSMUSG00000022761	ENSMUST00000231994	111849_at
ENSMUSG00000022761	ENSMUST00000231292	111849_at
ENSMUSG00000022761	ENSMUST00000231307	111849_at
ENSMUSG00000022761	ENSMUST00000231684	111849_at
ENSMUSG00000022761	ENSMUST00000232438	111849_at
ENSMUSG00000022761	ENSMUST00000231230	111849_at
ENSMUSG00000022761	ENSMUST00000231746	111849_at
ENSMUSG00000042590	ENSMUST00000190794	116380_at
ENSMUSG00000042590	ENSMUST00000191312	116380_at
ENSMUSG00000034518	ENSMUST00000041759	106654_at
ENSMUSG00000034518	ENSMUST00000041759	116179_at
ENSMUSG00000034518	ENSMUST00000041759	110570_at
ENSMUSG00000034518	ENSMUST00000151062	116179_at
ENSMUSG00000034518	ENSMUST00000145919	106654_at
ENSMUSG00000034518	ENSMUST00000145919	116179_at
ENSMUSG00000034518	ENSMUST00000145919	110570_at
ENSMUSG00000034518	ENSMUST00000211863	110072_at
ENSMUSG00000034518	ENSMUST00000211863	116179_at
ENSMUSG00000034518	ENSMUST00000133585	110072_at
ENSMUSG00000034518	ENSMUST00000133585	116179_at
ENSMUSG00000034518	ENSMUST00000212372	110072_at
ENSMUSG00000034518	ENSMUST00000212372	116179_at
ENSMUSG00000034518	ENSMUST00000109940	106654_at
ENSMUSG00000034518	ENSMUST00000109940	110570_at
ENSMUSG00000031537	ENSMUST00000033939	111615_at
ENSMUSG00000031537	ENSMUST00000033939	162716_at
ENSMUSG00000031537	ENSMUST00000135326	111615_at
ENSMUSG00000031537	ENSMUST00000135326	162716_at
ENSMUSG00000031537	ENSMUST00000125314	111615_at
ENSMUSG00000031537	ENSMUST00000125314	162716_at
ENSMUSG00000031537	ENSMUST00000063401	111615_at
ENSMUSG00000031537	ENSMUST00000063401	162716_at
ENSMUSG00000031537	ENSMUST00000132279	111615_at
ENSMUSG00000031537	ENSMUST00000146212	111615_at
ENSMUSG00000031537	ENSMUST00000146212	106506_at
ENSMUSG00000031537	ENSMUST00000146212	162716_at
ENSMUSG00000028688	ENSMUST00000030451	110329_at
ENSMUSG00000028688	ENSMUST00000154195	110329_at
ENSMUSG00000028688	ENSMUST00000134612	110329_at
ENSMUSG00000028688	ENSMUST00000149895	110329_at
ENSMUSG00000028688	ENSMUST00000146246	110329_at
ENSMUSG00000055065	ENSMUST00000054014	107788_at
ENSMUSG00000055065	ENSMUST00000229877	107788_at
ENSMUSG00000055065	ENSMUST00000231053	107788_at
ENSMUSG00000055065	ENSMUST00000231053	115184_at
ENSMUSG00000023147	ENSMUST00000023913	115497_at
ENSMUSG00000023147	ENSMUST00000232832	115497_at
ENSMUSG00000023147	ENSMUST00000233566	115497_at
ENSMUSG00000062309	ENSMUST00000080514	117246_at
ENSMUSG00000022965	ENSMUST00000023687	115695_r_at
ENSMUSG00000022965	ENSMUST00000130404	115695_r_at
ENSMUSG00000079011	ENSMUST00000137218	114966_at
ENSMUSG00000079011	ENSMUST00000127757	114966_at
ENSMUSG00000023927	ENSMUST00000144331	111449_r_at
ENSMUSG00000023927	ENSMUST00000144331	111448_f_at
ENSMUSG00000023927	ENSMUST00000144331	112432_at
ENSMUSG00000023927	ENSMUST00000133574	111449_r_at
ENSMUSG00000023927	ENSMUST00000133574	111448_f_at
ENSMUSG00000023927	ENSMUST00000176669	111449_r_at
ENSMUSG00000023927	ENSMUST00000129667	111449_r_at
ENSMUSG00000023927	ENSMUST00000152830	111449_r_at
ENSMUSG00000023927	ENSMUST00000140979	111449_r_at
ENSMUSG00000023927	ENSMUST00000137697	111449_r_at
ENSMUSG00000023927	ENSMUST00000137697	111448_f_at
ENSMUSG00000023927	ENSMUST00000169480	111449_r_at
ENSMUSG00000023927	ENSMUST00000169480	111448_f_at
ENSMUSG00000023927	ENSMUST00000169480	112432_at
ENSMUSG00000020674	ENSMUST00000220271	107575_at
ENSMUSG00000020674	ENSMUST00000122328	107575_at
ENSMUSG00000020674	ENSMUST00000218620	107575_at
ENSMUSG00000006221	ENSMUST00000102486	113966_at
ENSMUSG00000021188	ENSMUST00000021605	112034_f_at
ENSMUSG00000021188	ENSMUST00000021605	112035_r_at
ENSMUSG00000021188	ENSMUST00000021605	111699_at
ENSMUSG00000021188	ENSMUST00000021605	110547_at
ENSMUSG00000021188	ENSMUST00000177183	110547_at
ENSMUSG00000021188	ENSMUST00000177536	111699_at
ENSMUSG00000021188	ENSMUST00000176728	111699_at
ENSMUSG00000040390	ENSMUST00000036453	115233_at
ENSMUSG00000040390	ENSMUST00000108341	115233_at
ENSMUSG00000039427	ENSMUST00000100196	111437_at
ENSMUSG00000039427	ENSMUST00000049207	111437_at
ENSMUSG00000039427	ENSMUST00000142902	111437_at
ENSMUSG00000070637	ENSMUST00000094544	114819_at
ENSMUSG00000021973	ENSMUST00000225961	107127_at
ENSMUSG00000021973	ENSMUST00000225961	111721_at
ENSMUSG00000021973	ENSMUST00000022543	107127_at
ENSMUSG00000021973	ENSMUST00000022543	111721_at
ENSMUSG00000023433	ENSMUST00000102522	162530_at
ENSMUSG00000042831	ENSMUST00000060834	112813_at
ENSMUSG00000042831	ENSMUST00000136887	112813_at
ENSMUSG00000042831	ENSMUST00000137550	112813_at
ENSMUSG00000042831	ENSMUST00000132193	112934_at
ENSMUSG00000042831	ENSMUST00000132193	112813_at
ENSMUSG00000042831	ENSMUST00000144951	112813_at
ENSMUSG00000042831	ENSMUST00000135319	112813_at
ENSMUSG00000042831	ENSMUST00000139121	112813_at
ENSMUSG00000042831	ENSMUST00000143369	112813_at
ENSMUSG00000042831	ENSMUST00000137870	112813_at
ENSMUSG00000042831	ENSMUST00000148858	112813_at
ENSMUSG00000042831	ENSMUST00000135882	112813_at
ENSMUSG00000029276	ENSMUST00000078021	110576_at
ENSMUSG00000029276	ENSMUST00000100949	110576_at
ENSMUSG00000029276	ENSMUST00000082121	110576_at
ENSMUSG00000029276	ENSMUST00000124546	110576_at
ENSMUSG00000029276	ENSMUST00000148505	110576_at
ENSMUSG00000029276	ENSMUST00000143113	110576_at
ENSMUSG00000029276	ENSMUST00000124140	110576_at
ENSMUSG00000007944	ENSMUST00000008088	163656_at
ENSMUSG00000018412	ENSMUST00000018556	113519_r_at
ENSMUSG00000018412	ENSMUST00000018556	113518_f_at
ENSMUSG00000018412	ENSMUST00000106972	113519_r_at
ENSMUSG00000018412	ENSMUST00000106972	114594_at
ENSMUSG00000018412	ENSMUST00000106972	113518_f_at
ENSMUSG00000018412	ENSMUST00000106971	113519_r_at
ENSMUSG00000018412	ENSMUST00000106971	113518_f_at
ENSMUSG00000018412	ENSMUST00000069188	113519_r_at
ENSMUSG00000018412	ENSMUST00000069188	113518_f_at
ENSMUSG00000018412	ENSMUST00000106977	113519_r_at
ENSMUSG00000018412	ENSMUST00000106977	114594_at
ENSMUSG00000018412	ENSMUST00000106977	113518_f_at
ENSMUSG00000031101	ENSMUST00000033427	113734_at
ENSMUSG00000024502	ENSMUST00000082254	106463_at
ENSMUSG00000024502	ENSMUST00000237288	106463_at
ENSMUSG00000024502	ENSMUST00000238185	106463_at
ENSMUSG00000040600	ENSMUST00000037375	162830_at
ENSMUSG00000034456	ENSMUST00000046128	115221_at
ENSMUSG00000034456	ENSMUST00000164761	115221_at
ENSMUSG00000029817	ENSMUST00000204189	109169_at
ENSMUSG00000029817	ENSMUST00000203820	109169_at
ENSMUSG00000029817	ENSMUST00000203820	114694_at
ENSMUSG00000029817	ENSMUST00000031841	109169_at
ENSMUSG00000029817	ENSMUST00000204818	109169_at
ENSMUSG00000029817	ENSMUST00000204013	114694_at
ENSMUSG00000043346	ENSMUST00000057074	116327_at
ENSMUSG00000038576	ENSMUST00000085724	106184_at
ENSMUSG00000029153	ENSMUST00000200830	112392_at
ENSMUSG00000029153	ENSMUST00000200830	108753_at
ENSMUSG00000029153	ENSMUST00000087195	112392_at
ENSMUSG00000029153	ENSMUST00000087195	108753_at
ENSMUSG00000029153	ENSMUST00000201908	112392_at
ENSMUSG00000029153	ENSMUST00000201908	108753_at
ENSMUSG00000029153	ENSMUST00000200776	112392_at
ENSMUSG00000029153	ENSMUST00000200776	108753_at
ENSMUSG00000029153	ENSMUST00000202012	112392_at
ENSMUSG00000029153	ENSMUST00000200821	112392_at
ENSMUSG00000004110	ENSMUST00000187541	108891_at
ENSMUSG00000004110	ENSMUST00000004214	108891_at
ENSMUSG00000025404	ENSMUST00000166820	109681_at
ENSMUSG00000025404	ENSMUST00000064793	109681_at
ENSMUSG00000025404	ENSMUST00000170336	109681_at
ENSMUSG00000025404	ENSMUST00000164831	109681_at
ENSMUSG00000025404	ENSMUST00000164161	109681_at
ENSMUSG00000025404	ENSMUST00000105251	109681_at
ENSMUSG00000025404	ENSMUST00000105249	109681_at
ENSMUSG00000025404	ENSMUST00000169888	109681_at
ENSMUSG00000025404	ENSMUST00000171426	109681_at
ENSMUSG00000025404	ENSMUST00000077046	109681_at
ENSMUSG00000025404	ENSMUST00000105250	109681_at
ENSMUSG00000044465	ENSMUST00000179474	162787_at
ENSMUSG00000044465	ENSMUST00000211549	162787_at
ENSMUSG00000044465	ENSMUST00000137158	162787_at
ENSMUSG00000044465	ENSMUST00000048079	162787_at
ENSMUSG00000044465	ENSMUST00000118726	162787_at
ENSMUSG00000044465	ENSMUST00000122327	162787_at
ENSMUSG00000044465	ENSMUST00000210448	162787_at
ENSMUSG00000044465	ENSMUST00000142559	162787_at
ENSMUSG00000044465	ENSMUST00000074686	162787_at
ENSMUSG00000079455	ENSMUST00000163068	115080_f_at
ENSMUSG00000079455	ENSMUST00000163068	115081_r_at
ENSMUSG00000079455	ENSMUST00000162652	115080_f_at
ENSMUSG00000079455	ENSMUST00000162652	115081_r_at
ENSMUSG00000079455	ENSMUST00000159849	113838_at
ENSMUSG00000079455	ENSMUST00000094774	115080_f_at
ENSMUSG00000079455	ENSMUST00000094774	115081_r_at
ENSMUSG00000087475	ENSMUST00000124673	115687_at
ENSMUSG00000079737	ENSMUST00000225585	116601_at
ENSMUSG00000079737	ENSMUST00000223666	116601_at
ENSMUSG00000079737	ENSMUST00000035426	116601_at
ENSMUSG00000022684	ENSMUST00000023365	116682_g_at
ENSMUSG00000022684	ENSMUST00000023365	111031_at
ENSMUSG00000022684	ENSMUST00000023365	116681_at
ENSMUSG00000022684	ENSMUST00000023365	116117_at
ENSMUSG00000022684	ENSMUST00000127973	116682_g_at
ENSMUSG00000022684	ENSMUST00000127973	116681_at
ENSMUSG00000022684	ENSMUST00000069281	116682_g_at
ENSMUSG00000022684	ENSMUST00000069281	111031_at
ENSMUSG00000022684	ENSMUST00000069281	116681_at
ENSMUSG00000022684	ENSMUST00000069281	116117_at
ENSMUSG00000022684	ENSMUST00000154568	116682_g_at
ENSMUSG00000022684	ENSMUST00000154568	116681_at
ENSMUSG00000033589	ENSMUST00000226563	114287_at
ENSMUSG00000033589	ENSMUST00000047218	114287_at
ENSMUSG00000033589	ENSMUST00000226556	114287_at
ENSMUSG00000033589	ENSMUST00000228444	114287_at
ENSMUSG00000033589	ENSMUST00000227013	114287_at
ENSMUSG00000033589	ENSMUST00000226592	114287_at
ENSMUSG00000040557	ENSMUST00000047196	115150_at
ENSMUSG00000040557	ENSMUST00000111221	115150_at
ENSMUSG00000040557	ENSMUST00000111219	115150_at
ENSMUSG00000040557	ENSMUST00000068617	115150_at
ENSMUSG00000040557	ENSMUST00000111218	115150_at
ENSMUSG00000040557	ENSMUST00000201847	115150_at
ENSMUSG00000040557	ENSMUST00000148286	115150_at
ENSMUSG00000039238	ENSMUST00000092298	162551_at
ENSMUSG00000033342	ENSMUST00000239347	106466_at
ENSMUSG00000033342	ENSMUST00000039564	106466_at
ENSMUSG00000033342	ENSMUST00000238937	106466_at
ENSMUSG00000033342	ENSMUST00000106473	106466_at
ENSMUSG00000042938	ENSMUST00000122417	109718_at
ENSMUSG00000037110	ENSMUST00000109986	115121_at
ENSMUSG00000037110	ENSMUST00000228797	115121_at
ENSMUSG00000050312	ENSMUST00000063089	113330_at
ENSMUSG00000050312	ENSMUST00000143314	113330_at
ENSMUSG00000049154	ENSMUST00000094156	163954_at
ENSMUSG00000042302	ENSMUST00000045167	163264_at
ENSMUSG00000042302	ENSMUST00000180360	163264_at
ENSMUSG00000042302	ENSMUST00000109563	163264_at
ENSMUSG00000018449	ENSMUST00000018593	107561_at
ENSMUSG00000018449	ENSMUST00000018593	107562_g_at
ENSMUSG00000018449	ENSMUST00000126815	107561_at
ENSMUSG00000018449	ENSMUST00000136665	107561_at
ENSMUSG00000018449	ENSMUST00000129531	107561_at
ENSMUSG00000018449	ENSMUST00000178822	107561_at
ENSMUSG00000018449	ENSMUST00000171254	107561_at
ENSMUSG00000018449	ENSMUST00000171254	107562_g_at
ENSMUSG00000018449	ENSMUST00000108529	107562_g_at
ENSMUSG00000018449	ENSMUST00000169965	107561_at
ENSMUSG00000018449	ENSMUST00000167509	107561_at
ENSMUSG00000018449	ENSMUST00000167509	107562_g_at
ENSMUSG00000018449	ENSMUST00000151608	107561_at
ENSMUSG00000018449	ENSMUST00000146788	107562_g_at
ENSMUSG00000018449	ENSMUST00000129540	107562_g_at
ENSMUSG00000030671	ENSMUST00000032909	164258_at
ENSMUSG00000030671	ENSMUST00000032909	116936_f_at
ENSMUSG00000030671	ENSMUST00000032909	116270_at
ENSMUSG00000030671	ENSMUST00000032909	116935_i_at
ENSMUSG00000030671	ENSMUST00000140007	116270_at
ENSMUSG00000030671	ENSMUST00000210411	116270_at
ENSMUSG00000031133	ENSMUST00000151768	111718_at
ENSMUSG00000031133	ENSMUST00000151768	113761_at
ENSMUSG00000031133	ENSMUST00000033468	111718_at
ENSMUSG00000031133	ENSMUST00000033468	113761_at
ENSMUSG00000024614	ENSMUST00000025515	114567_at
ENSMUSG00000024614	ENSMUST00000025515	114513_at
ENSMUSG00000024614	ENSMUST00000025515	113005_at
ENSMUSG00000024614	ENSMUST00000235634	113005_at
ENSMUSG00000024614	ENSMUST00000236081	113005_at
ENSMUSG00000029397	ENSMUST00000140670	106647_at
ENSMUSG00000029397	ENSMUST00000031345	106647_at
ENSMUSG00000029397	ENSMUST00000169948	106647_at
ENSMUSG00000028136	ENSMUST00000029783	108075_at
ENSMUSG00000028136	ENSMUST00000029783	108872_at
ENSMUSG00000028136	ENSMUST00000107283	108075_at
ENSMUSG00000028136	ENSMUST00000199462	108872_at
ENSMUSG00000028136	ENSMUST00000200642	108872_at
ENSMUSG00000013858	ENSMUST00000132080	112353_at
ENSMUSG00000013858	ENSMUST00000126383	112353_at
ENSMUSG00000013858	ENSMUST00000052885	112353_at
ENSMUSG00000013858	ENSMUST00000124536	112353_at
ENSMUSG00000013858	ENSMUST00000124889	112353_at
ENSMUSG00000041879	ENSMUST00000041023	116965_at
ENSMUSG00000041879	ENSMUST00000041023	111509_at
ENSMUSG00000041879	ENSMUST00000041023	111508_at
ENSMUSG00000041879	ENSMUST00000161032	116965_at
ENSMUSG00000041879	ENSMUST00000161032	111509_at
ENSMUSG00000041879	ENSMUST00000161032	111508_at
ENSMUSG00000041879	ENSMUST00000161189	116965_at
ENSMUSG00000041879	ENSMUST00000161189	111509_at
ENSMUSG00000041879	ENSMUST00000161189	111508_at
ENSMUSG00000041879	ENSMUST00000161934	111509_at
ENSMUSG00000041879	ENSMUST00000161750	111509_at
ENSMUSG00000041879	ENSMUST00000161750	111508_at
ENSMUSG00000041879	ENSMUST00000162858	111509_at
ENSMUSG00000041879	ENSMUST00000162858	111508_at
ENSMUSG00000041879	ENSMUST00000159487	111509_at
ENSMUSG00000041879	ENSMUST00000159487	111508_at
ENSMUSG00000040715	ENSMUST00000105782	163137_at
ENSMUSG00000045377	ENSMUST00000050140	113141_at
ENSMUSG00000078515	ENSMUST00000102484	111804_at
ENSMUSG00000078515	ENSMUST00000102484	117098_at
ENSMUSG00000078515	ENSMUST00000102484	163137_at
ENSMUSG00000078515	ENSMUST00000177592	163137_at
ENSMUSG00000017421	ENSMUST00000178665	110712_at
ENSMUSG00000017421	ENSMUST00000178665	109937_f_at
ENSMUSG00000017421	ENSMUST00000178665	109936_i_at
ENSMUSG00000017421	ENSMUST00000123726	110712_at
ENSMUSG00000017421	ENSMUST00000123726	109937_f_at
ENSMUSG00000017421	ENSMUST00000123726	109936_i_at
ENSMUSG00000017421	ENSMUST00000123726	163647_at
ENSMUSG00000017421	ENSMUST00000188489	110712_at
ENSMUSG00000017421	ENSMUST00000188489	109937_f_at
ENSMUSG00000017421	ENSMUST00000188489	109936_i_at
ENSMUSG00000052033	ENSMUST00000075087	162745_at
ENSMUSG00000052033	ENSMUST00000063682	162745_at
ENSMUSG00000052033	ENSMUST00000136839	162745_at
ENSMUSG00000052033	ENSMUST00000109148	162745_at
ENSMUSG00000052033	ENSMUST00000170167	162745_at
ENSMUSG00000052033	ENSMUST00000109147	162745_at
ENSMUSG00000021974	ENSMUST00000165526	163672_at
ENSMUSG00000021974	ENSMUST00000165526	112077_at
ENSMUSG00000021974	ENSMUST00000022545	163672_at
ENSMUSG00000021974	ENSMUST00000074654	163672_at
ENSMUSG00000021974	ENSMUST00000166770	163672_at
ENSMUSG00000044566	ENSMUST00000110233	162586_at
ENSMUSG00000044566	ENSMUST00000074969	162586_at
ENSMUSG00000001229	ENSMUST00000223616	114469_at
ENSMUSG00000001229	ENSMUST00000038794	114469_at
ENSMUSG00000040502	ENSMUST00000040307	105469_at
ENSMUSG00000040502	ENSMUST00000040307	105740_at
ENSMUSG00000058290	ENSMUST00000064924	106031_at
ENSMUSG00000058290	ENSMUST00000229050	106031_at
ENSMUSG00000058290	ENSMUST00000231207	106031_at
ENSMUSG00000058290	ENSMUST00000230222	106031_at
ENSMUSG00000038485	ENSMUST00000238729	115169_at
ENSMUSG00000038485	ENSMUST00000238729	164232_at
ENSMUSG00000038485	ENSMUST00000045540	115169_at
ENSMUSG00000038485	ENSMUST00000045540	164232_at
ENSMUSG00000102644	ENSMUST00000192174	116293_at
ENSMUSG00000102644	ENSMUST00000191860	116293_at
ENSMUSG00000031626	ENSMUST00000132139	163402_at
ENSMUSG00000031626	ENSMUST00000171337	163402_at
ENSMUSG00000031626	ENSMUST00000067107	163402_at
ENSMUSG00000031626	ENSMUST00000135336	163402_at
ENSMUSG00000031626	ENSMUST00000139869	163402_at
ENSMUSG00000031626	ENSMUST00000211095	163402_at
ENSMUSG00000031626	ENSMUST00000130011	163402_at
ENSMUSG00000031626	ENSMUST00000125295	163402_at
ENSMUSG00000031626	ENSMUST00000238803	163402_at
ENSMUSG00000031626	ENSMUST00000067065	163402_at
ENSMUSG00000050786	ENSMUST00000055559	109374_at
ENSMUSG00000050786	ENSMUST00000055559	114106_at
ENSMUSG00000050786	ENSMUST00000114491	109374_at
ENSMUSG00000050786	ENSMUST00000114491	114106_at
ENSMUSG00000038871	ENSMUST00000045372	165145_s_at
ENSMUSG00000022911	ENSMUST00000089289	164238_at
ENSMUSG00000024044	ENSMUST00000239167	117011_at
ENSMUSG00000024044	ENSMUST00000239167	115369_at
ENSMUSG00000024044	ENSMUST00000239167	117012_g_at
ENSMUSG00000024044	ENSMUST00000225740	117011_at
ENSMUSG00000024044	ENSMUST00000225740	115369_at
ENSMUSG00000024044	ENSMUST00000225740	117012_g_at
ENSMUSG00000024044	ENSMUST00000080208	117011_at
ENSMUSG00000024044	ENSMUST00000080208	115369_at
ENSMUSG00000024044	ENSMUST00000080208	117012_g_at
ENSMUSG00000024044	ENSMUST00000225977	117011_at
ENSMUSG00000024044	ENSMUST00000225977	115369_at
ENSMUSG00000024044	ENSMUST00000225977	117012_g_at
ENSMUSG00000024044	ENSMUST00000238898	117011_at
ENSMUSG00000024044	ENSMUST00000238898	115369_at
ENSMUSG00000024044	ENSMUST00000238898	117012_g_at
ENSMUSG00000024044	ENSMUST00000233509	117011_at
ENSMUSG00000024044	ENSMUST00000233509	117012_g_at
ENSMUSG00000024044	ENSMUST00000232706	117011_at
ENSMUSG00000024044	ENSMUST00000232706	117012_g_at
ENSMUSG00000024044	ENSMUST00000233964	117011_at
ENSMUSG00000024044	ENSMUST00000233964	117012_g_at
ENSMUSG00000024044	ENSMUST00000223703	117011_at
ENSMUSG00000024044	ENSMUST00000223703	115369_at
ENSMUSG00000024044	ENSMUST00000223703	117012_g_at
ENSMUSG00000024044	ENSMUST00000224523	117011_at
ENSMUSG00000024044	ENSMUST00000224523	117012_g_at
ENSMUSG00000024044	ENSMUST00000224951	117011_at
ENSMUSG00000024044	ENSMUST00000225695	117011_at
ENSMUSG00000024044	ENSMUST00000223565	117011_at
ENSMUSG00000024044	ENSMUST00000223565	115369_at
ENSMUSG00000024044	ENSMUST00000223565	117012_g_at
ENSMUSG00000024044	ENSMUST00000112680	117011_at
ENSMUSG00000024044	ENSMUST00000112680	115369_at
ENSMUSG00000024044	ENSMUST00000112680	117012_g_at
ENSMUSG00000034064	ENSMUST00000036210	163096_at
ENSMUSG00000034064	ENSMUST00000153187	163096_at
ENSMUSG00000043909	ENSMUST00000110647	164141_at
ENSMUSG00000043909	ENSMUST00000110648	164141_at
ENSMUSG00000043909	ENSMUST00000147540	164141_at
ENSMUSG00000038271	ENSMUST00000119527	110756_at
ENSMUSG00000038271	ENSMUST00000144364	110756_at
ENSMUSG00000038271	ENSMUST00000139071	110756_at
ENSMUSG00000038271	ENSMUST00000117675	110756_at
ENSMUSG00000038271	ENSMUST00000141230	110756_at
ENSMUSG00000038271	ENSMUST00000148835	110756_at
ENSMUSG00000038271	ENSMUST00000135559	110756_at
ENSMUSG00000038271	ENSMUST00000150474	110756_at
ENSMUSG00000037210	ENSMUST00000180376	107795_at
ENSMUSG00000037210	ENSMUST00000180376	112402_at
ENSMUSG00000037210	ENSMUST00000094867	107795_at
ENSMUSG00000037210	ENSMUST00000094867	112402_at
ENSMUSG00000049904	ENSMUST00000059319	115378_at
ENSMUSG00000024968	ENSMUST00000066646	108736_at
ENSMUSG00000024968	ENSMUST00000113369	108736_at
ENSMUSG00000014329	ENSMUST00000143791	108384_g_at
ENSMUSG00000014329	ENSMUST00000143791	108382_at
ENSMUSG00000014329	ENSMUST00000143791	107063_at
ENSMUSG00000014329	ENSMUST00000131445	108384_g_at
ENSMUSG00000014329	ENSMUST00000131445	108383_at
ENSMUSG00000014329	ENSMUST00000131445	108382_at
ENSMUSG00000014329	ENSMUST00000014473	108384_g_at
ENSMUSG00000014329	ENSMUST00000014473	108383_at
ENSMUSG00000014329	ENSMUST00000014473	108382_at
ENSMUSG00000028007	ENSMUST00000029639	110848_at
ENSMUSG00000028007	ENSMUST00000169812	110848_at
ENSMUSG00000028007	ENSMUST00000198499	110848_at
ENSMUSG00000028007	ENSMUST00000167877	110848_at
ENSMUSG00000111375	ENSMUST00000060553	105601_at
ENSMUSG00000062203	ENSMUST00000167571	110389_at
ENSMUSG00000062203	ENSMUST00000167571	110390_g_at
ENSMUSG00000028035	ENSMUST00000134701	116528_at
ENSMUSG00000028035	ENSMUST00000050073	114288_at
ENSMUSG00000028035	ENSMUST00000144950	114288_at
ENSMUSG00000040706	ENSMUST00000038161	110287_at
ENSMUSG00000074652	ENSMUST00000092995	111144_at
ENSMUSG00000074652	ENSMUST00000154656	111144_at
ENSMUSG00000032059	ENSMUST00000034561	116678_at
ENSMUSG00000032059	ENSMUST00000162073	116678_at
ENSMUSG00000032059	ENSMUST00000175728	116678_at
ENSMUSG00000032059	ENSMUST00000161200	116678_at
ENSMUSG00000032059	ENSMUST00000162596	116678_at
ENSMUSG00000000959	ENSMUST00000000985	109683_at
ENSMUSG00000000959	ENSMUST00000228719	109683_at
ENSMUSG00000050188	ENSMUST00000055575	113550_at
ENSMUSG00000050188	ENSMUST00000151831	113550_at
ENSMUSG00000050188	ENSMUST00000179323	113550_at
ENSMUSG00000089628	ENSMUST00000161387	108962_at
ENSMUSG00000033773	ENSMUST00000112650	163417_at
ENSMUSG00000033773	ENSMUST00000112651	163601_at
ENSMUSG00000033773	ENSMUST00000112654	163417_at
ENSMUSG00000033773	ENSMUST00000065422	163601_at
ENSMUSG00000033773	ENSMUST00000112655	163417_at
ENSMUSG00000043683	ENSMUST00000060253	111278_at
ENSMUSG00000043683	ENSMUST00000060253	112200_at
ENSMUSG00000038324	ENSMUST00000041059	113534_at
ENSMUSG00000038324	ENSMUST00000103140	113534_at
ENSMUSG00000038324	ENSMUST00000152548	113534_at
ENSMUSG00000038324	ENSMUST00000130755	113534_at
ENSMUSG00000058624	ENSMUST00000087600	115573_at
ENSMUSG00000058624	ENSMUST00000087600	164069_at
ENSMUSG00000058624	ENSMUST00000237823	115573_at
ENSMUSG00000058624	ENSMUST00000237823	164069_at
ENSMUSG00000058624	ENSMUST00000121725	164069_at
ENSMUSG00000025201	ENSMUST00000183232	116591_at
ENSMUSG00000025201	ENSMUST00000183232	116592_at
ENSMUSG00000085315	ENSMUST00000124210	111205_at
ENSMUSG00000085315	ENSMUST00000143821	111205_at
ENSMUSG00000017412	ENSMUST00000102760	162723_at
ENSMUSG00000017412	ENSMUST00000102761	162723_at
ENSMUSG00000017412	ENSMUST00000078324	162723_at
ENSMUSG00000017412	ENSMUST00000178799	162723_at
ENSMUSG00000030172	ENSMUST00000183703	110857_at
ENSMUSG00000030172	ENSMUST00000185139	110857_at
ENSMUSG00000030172	ENSMUST00000032279	110857_at
ENSMUSG00000005886	ENSMUST00000081713	113448_at
ENSMUSG00000005886	ENSMUST00000081713	112049_at
ENSMUSG00000005886	ENSMUST00000068304	113448_at
ENSMUSG00000005886	ENSMUST00000068304	112049_at
ENSMUSG00000018008	ENSMUST00000043069	114422_at
ENSMUSG00000018008	ENSMUST00000231168	114422_at
ENSMUSG00000027618	ENSMUST00000125449	105328_at
ENSMUSG00000038831	ENSMUST00000131298	105167_at
ENSMUSG00000038831	ENSMUST00000042615	105167_at
ENSMUSG00000038831	ENSMUST00000113165	105167_at
ENSMUSG00000031511	ENSMUST00000110909	106830_at
ENSMUSG00000087177	ENSMUST00000129191	112942_at
ENSMUSG00000087177	ENSMUST00000151921	112942_at
ENSMUSG00000087177	ENSMUST00000143651	112942_at
ENSMUSG00000087177	ENSMUST00000139356	112942_at
ENSMUSG00000087177	ENSMUST00000133302	112942_at
ENSMUSG00000087177	ENSMUST00000139429	112942_at
ENSMUSG00000087177	ENSMUST00000153261	112942_at
ENSMUSG00000052707	ENSMUST00000205514	113001_at
ENSMUSG00000052707	ENSMUST00000094053	113001_at
ENSMUSG00000052707	ENSMUST00000205760	113001_at
ENSMUSG00000052707	ENSMUST00000206126	113001_at
ENSMUSG00000050619	ENSMUST00000146243	164095_i_at
ENSMUSG00000037280	ENSMUST00000159715	108734_at
ENSMUSG00000037280	ENSMUST00000052069	108734_at
ENSMUSG00000027263	ENSMUST00000039541	117252_at
ENSMUSG00000027263	ENSMUST00000110658	117252_at
ENSMUSG00000027263	ENSMUST00000138601	117252_at
ENSMUSG00000027263	ENSMUST00000144076	117252_at
ENSMUSG00000027263	ENSMUST00000143305	117252_at
ENSMUSG00000027263	ENSMUST00000154318	117252_at
