Gene stable ID	Transcript stable ID	AFFY MG U74Av2 probe
ENSMUSG00000000731	ENSMUST00000145975	97159_at
ENSMUSG00000000731	ENSMUST00000130972	97159_at
ENSMUSG00000000731	ENSMUST00000128241	97159_at
ENSMUSG00000000731	ENSMUST00000143548	97159_at
ENSMUSG00000000731	ENSMUST00000131028	97159_at
ENSMUSG00000000731	ENSMUST00000155021	97159_at
ENSMUSG00000000731	ENSMUST00000019257	97159_at
ENSMUSG00000000731	ENSMUST00000105396	97159_at
ENSMUSG00000000731	ENSMUST00000143735	97159_at
ENSMUSG00000000731	ENSMUST00000154374	97159_at
ENSMUSG00000022144	ENSMUST00000022744	92738_at
ENSMUSG00000057863	ENSMUST00000080492	92628_at
ENSMUSG00000031441	ENSMUST00000033818	103899_at
ENSMUSG00000031441	ENSMUST00000091237	103899_at
ENSMUSG00000031441	ENSMUST00000132974	103899_at
ENSMUSG00000042258	ENSMUST00000036060	92515_at
ENSMUSG00000042258	ENSMUST00000176044	92515_at
ENSMUSG00000042258	ENSMUST00000176444	92515_at
ENSMUSG00000042258	ENSMUST00000176812	92515_at
ENSMUSG00000112850	ENSMUST00000219955	100213_f_at
ENSMUSG00000028127	ENSMUST00000197383	93045_at
ENSMUSG00000028127	ENSMUST00000029770	93045_at
ENSMUSG00000028127	ENSMUST00000197662	93045_at
ENSMUSG00000022948	ENSMUST00000123756	101952_at
ENSMUSG00000022948	ENSMUST00000023669	101952_at
ENSMUSG00000022948	ENSMUST00000140619	101952_at
ENSMUSG00000022948	ENSMUST00000233981	101952_at
ENSMUSG00000022948	ENSMUST00000233453	101952_at
ENSMUSG00000022948	ENSMUST00000152520	101952_at
ENSMUSG00000022948	ENSMUST00000233324	101952_at
ENSMUSG00000022948	ENSMUST00000232870	101952_at
ENSMUSG00000022948	ENSMUST00000232835	101952_at
ENSMUSG00000022948	ENSMUST00000233912	101952_at
ENSMUSG00000022948	ENSMUST00000233517	101952_at
ENSMUSG00000022948	ENSMUST00000233931	101952_at
ENSMUSG00000000838	ENSMUST00000088546	98441_at
ENSMUSG00000000838	ENSMUST00000127954	160866_at
ENSMUSG00000000838	ENSMUST00000114656	98441_at
ENSMUSG00000000838	ENSMUST00000114657	98441_at
ENSMUSG00000000838	ENSMUST00000114653	98441_at
ENSMUSG00000000838	ENSMUST00000114654	98441_at
ENSMUSG00000000838	ENSMUST00000114655	98441_at
ENSMUSG00000032184	ENSMUST00000034702	103560_at
ENSMUSG00000032184	ENSMUST00000214961	103560_at
ENSMUSG00000032184	ENSMUST00000213292	103560_at
ENSMUSG00000031256	ENSMUST00000033609	104399_at
ENSMUSG00000031256	ENSMUST00000113287	104399_at
ENSMUSG00000031256	ENSMUST00000149658	104399_at
ENSMUSG00000018001	ENSMUST00000116456	103434_at
ENSMUSG00000018001	ENSMUST00000116456	103433_at
ENSMUSG00000018001	ENSMUST00000110727	103434_at
ENSMUSG00000026527	ENSMUST00000194555	93645_at
ENSMUSG00000026527	ENSMUST00000195324	93645_at
ENSMUSG00000026527	ENSMUST00000192227	93645_at
ENSMUSG00000025810	ENSMUST00000026917	95016_at
ENSMUSG00000033793	ENSMUST00000192847	96610_at
ENSMUSG00000033793	ENSMUST00000044369	96610_at
ENSMUSG00000033793	ENSMUST00000192698	96610_at
ENSMUSG00000024096	ENSMUST00000024905	93255_at
ENSMUSG00000024096	ENSMUST00000166543	93255_at
ENSMUSG00000029089	ENSMUST00000196950	104446_f_at
ENSMUSG00000029089	ENSMUST00000196950	104447_r_at
ENSMUSG00000029089	ENSMUST00000030968	104446_f_at
ENSMUSG00000029089	ENSMUST00000030968	104447_r_at
ENSMUSG00000029089	ENSMUST00000200566	104446_f_at
ENSMUSG00000029089	ENSMUST00000200566	104447_r_at
ENSMUSG00000029089	ENSMUST00000197915	104446_f_at
ENSMUSG00000029089	ENSMUST00000197915	104447_r_at
ENSMUSG00000019916	ENSMUST00000009789	104139_at
ENSMUSG00000019916	ENSMUST00000092512	104139_at
ENSMUSG00000019916	ENSMUST00000105466	104139_at
ENSMUSG00000030282	ENSMUST00000032419	98593_at
ENSMUSG00000030282	ENSMUST00000144920	98593_at
ENSMUSG00000032181	ENSMUST00000034699	104564_at
ENSMUSG00000032181	ENSMUST00000213324	104564_at
ENSMUSG00000028597	ENSMUST00000030332	103607_at
ENSMUSG00000028597	ENSMUST00000184609	103607_at
ENSMUSG00000031284	ENSMUST00000112863	161021_at
ENSMUSG00000031284	ENSMUST00000112864	161021_at
ENSMUSG00000031284	ENSMUST00000112865	161021_at
ENSMUSG00000031284	ENSMUST00000112868	161021_at
ENSMUSG00000031284	ENSMUST00000033640	161021_at
ENSMUSG00000031284	ENSMUST00000172330	161021_at
ENSMUSG00000026520	ENSMUST00000027802	160339_at
ENSMUSG00000026520	ENSMUST00000194026	160339_at
ENSMUSG00000026520	ENSMUST00000194253	160339_at
ENSMUSG00000026520	ENSMUST00000195270	160339_at
ENSMUSG00000009545	ENSMUST00000009689	99322_at
ENSMUSG00000015451	ENSMUST00000160657	103033_at
ENSMUSG00000015451	ENSMUST00000160679	103033_at
ENSMUSG00000015451	ENSMUST00000159669	103033_at
ENSMUSG00000015451	ENSMUST00000161797	103033_at
ENSMUSG00000015451	ENSMUST00000162133	103033_at
ENSMUSG00000015451	ENSMUST00000015595	103033_at
ENSMUSG00000020669	ENSMUST00000142693	103813_at
ENSMUSG00000020669	ENSMUST00000020997	103813_at
ENSMUSG00000020669	ENSMUST00000110880	103813_at
ENSMUSG00000020669	ENSMUST00000128814	103813_at
ENSMUSG00000030750	ENSMUST00000033006	100057_at
ENSMUSG00000041168	ENSMUST00000233732	160328_at
ENSMUSG00000041168	ENSMUST00000047226	160328_at
ENSMUSG00000032892	ENSMUST00000138362	100562_at
ENSMUSG00000032892	ENSMUST00000132093	100562_at
ENSMUSG00000032892	ENSMUST00000038644	100562_at
ENSMUSG00000032892	ENSMUST00000150017	100562_at
ENSMUSG00000032892	ENSMUST00000143444	100562_at
ENSMUSG00000032892	ENSMUST00000144271	100562_at
ENSMUSG00000032892	ENSMUST00000156178	100562_at
ENSMUSG00000032892	ENSMUST00000133099	100562_at
ENSMUSG00000038347	ENSMUST00000130033	103541_at
ENSMUSG00000038347	ENSMUST00000127032	103541_at
ENSMUSG00000038347	ENSMUST00000148430	103541_at
ENSMUSG00000038347	ENSMUST00000232858	103541_at
ENSMUSG00000116090	ENSMUST00000229131	97483_at
ENSMUSG00000022054	ENSMUST00000022638	92346_at
ENSMUSG00000022055	ENSMUST00000022639	103575_at
ENSMUSG00000102869	ENSMUST00000192863	95848_at
ENSMUSG00000102869	ENSMUST00000192863	96299_at
ENSMUSG00000032179	ENSMUST00000012281	99393_at
ENSMUSG00000047407	ENSMUST00000059775	101502_at
ENSMUSG00000047407	ENSMUST00000186358	101502_at
ENSMUSG00000047407	ENSMUST00000166395	101502_at
ENSMUSG00000047407	ENSMUST00000118283	101502_at
ENSMUSG00000047407	ENSMUST00000127719	101502_at
ENSMUSG00000047407	ENSMUST00000156484	101502_at
ENSMUSG00000047407	ENSMUST00000135007	101502_at
ENSMUSG00000047407	ENSMUST00000134654	101502_at
ENSMUSG00000047407	ENSMUST00000172229	101502_at
ENSMUSG00000025809	ENSMUST00000090006	100123_f_at
ENSMUSG00000025809	ENSMUST00000090006	100124_r_at
ENSMUSG00000025809	ENSMUST00000124826	100123_f_at
ENSMUSG00000025809	ENSMUST00000124826	100124_r_at
ENSMUSG00000004661	ENSMUST00000171444	103970_at
ENSMUSG00000004661	ENSMUST00000004780	103970_at
ENSMUSG00000005803	ENSMUST00000005953	94515_at
ENSMUSG00000005803	ENSMUST00000110506	94515_at
ENSMUSG00000005803	ENSMUST00000126403	94515_at
ENSMUSG00000026353	ENSMUST00000027592	104311_at
ENSMUSG00000026353	ENSMUST00000189895	104311_at
ENSMUSG00000030283	ENSMUST00000032421	94164_at
ENSMUSG00000030283	ENSMUST00000205149	94164_at
ENSMUSG00000030283	ENSMUST00000147058	94164_at
ENSMUSG00000048537	ENSMUST00000147495	96206_at
ENSMUSG00000048537	ENSMUST00000144251	96206_at
ENSMUSG00000048537	ENSMUST00000156918	96206_at
ENSMUSG00000048537	ENSMUST00000128326	96206_at
ENSMUSG00000048537	ENSMUST00000138356	96206_at
ENSMUSG00000048537	ENSMUST00000034611	96206_at
ENSMUSG00000048537	ENSMUST00000135436	96206_at
ENSMUSG00000048537	ENSMUST00000148344	96206_at
ENSMUSG00000048537	ENSMUST00000134465	96206_at
ENSMUSG00000048537	ENSMUST00000129806	96206_at
ENSMUSG00000038793	ENSMUST00000037361	102345_at
ENSMUSG00000038793	ENSMUST00000132087	102345_at
ENSMUSG00000022758	ENSMUST00000171002	94631_at
ENSMUSG00000022758	ENSMUST00000023441	94631_at
ENSMUSG00000022758	ENSMUST00000231806	94631_at
ENSMUSG00000017119	ENSMUST00000103099	101484_at
ENSMUSG00000017119	ENSMUST00000103098	101484_at
ENSMUSG00000017119	ENSMUST00000107213	101484_at
ENSMUSG00000017119	ENSMUST00000123558	101484_at
ENSMUSG00000017119	ENSMUST00000107208	101484_at
ENSMUSG00000017119	ENSMUST00000107212	101484_at
ENSMUSG00000017119	ENSMUST00000149019	101484_at
ENSMUSG00000017119	ENSMUST00000141170	101484_at
ENSMUSG00000039263	ENSMUST00000044415	160732_at
ENSMUSG00000039263	ENSMUST00000153957	160732_at
ENSMUSG00000022889	ENSMUST00000116584	93062_at
ENSMUSG00000035399	ENSMUST00000046908	160200_at
ENSMUSG00000035399	ENSMUST00000140454	160200_at
ENSMUSG00000035399	ENSMUST00000139142	160200_at
ENSMUSG00000035399	ENSMUST00000141301	160200_at
ENSMUSG00000035399	ENSMUST00000127038	160200_at
ENSMUSG00000035399	ENSMUST00000104954	160200_at
ENSMUSG00000004651	ENSMUST00000004770	102666_at
ENSMUSG00000031938	ENSMUST00000180339	96089_at
ENSMUSG00000031938	ENSMUST00000180339	96090_g_at
ENSMUSG00000031938	ENSMUST00000180339	96091_at
ENSMUSG00000031938	ENSMUST00000034414	96089_at
ENSMUSG00000031938	ENSMUST00000034414	96090_g_at
ENSMUSG00000031938	ENSMUST00000034414	96091_at
ENSMUSG00000031938	ENSMUST00000178977	96089_at
ENSMUSG00000031938	ENSMUST00000178977	96090_g_at
ENSMUSG00000031938	ENSMUST00000178977	96091_at
ENSMUSG00000031938	ENSMUST00000216955	96089_at
ENSMUSG00000031938	ENSMUST00000216955	96090_g_at
ENSMUSG00000031938	ENSMUST00000216955	96091_at
ENSMUSG00000022635	ENSMUST00000162160	104060_at
ENSMUSG00000022635	ENSMUST00000076070	104060_at
ENSMUSG00000022635	ENSMUST00000160407	104060_at
ENSMUSG00000022635	ENSMUST00000159723	104060_at
ENSMUSG00000022635	ENSMUST00000159105	104060_at
ENSMUSG00000022635	ENSMUST00000161955	104060_at
ENSMUSG00000111339	ENSMUST00000214560	97888_at
ENSMUSG00000056342	ENSMUST00000137823	102647_g_at
ENSMUSG00000056342	ENSMUST00000137823	102646_at
ENSMUSG00000056342	ENSMUST00000125701	102646_at
ENSMUSG00000056342	ENSMUST00000129368	102647_g_at
ENSMUSG00000056342	ENSMUST00000129368	102646_at
ENSMUSG00000056342	ENSMUST00000180046	102647_g_at
ENSMUSG00000056342	ENSMUST00000180046	102646_at
ENSMUSG00000030990	ENSMUST00000120879	97888_at
ENSMUSG00000030990	ENSMUST00000127804	97888_at
ENSMUSG00000030990	ENSMUST00000153020	97888_at
ENSMUSG00000030990	ENSMUST00000156529	97888_at
ENSMUSG00000030990	ENSMUST00000138479	97888_at
ENSMUSG00000030990	ENSMUST00000129340	97888_at
ENSMUSG00000030990	ENSMUST00000133311	97888_at
ENSMUSG00000030990	ENSMUST00000143759	97888_at
ENSMUSG00000030990	ENSMUST00000145352	97888_at
ENSMUSG00000030990	ENSMUST00000119816	97888_at
ENSMUSG00000030990	ENSMUST00000150891	97888_at
ENSMUSG00000030990	ENSMUST00000120119	97888_at
ENSMUSG00000030990	ENSMUST00000134621	97888_at
ENSMUSG00000039952	ENSMUST00000191899	101109_at
ENSMUSG00000039952	ENSMUST00000080435	101109_at
ENSMUSG00000039952	ENSMUST00000166905	101109_at
ENSMUSG00000039952	ENSMUST00000171412	101109_at
ENSMUSG00000028842	ENSMUST00000069097	103684_at
ENSMUSG00000061897	ENSMUST00000118761	94346_at
ENSMUSG00000025892	ENSMUST00000063508	101710_at
ENSMUSG00000025892	ENSMUST00000212533	101710_at
ENSMUSG00000025892	ENSMUST00000027020	101710_at
ENSMUSG00000044562	ENSMUST00000057927	104146_at
ENSMUSG00000024098	ENSMUST00000024906	102032_at
ENSMUSG00000034259	ENSMUST00000059045	97517_at
ENSMUSG00000034259	ENSMUST00000230512	97517_at
ENSMUSG00000034259	ENSMUST00000167515	97517_at
ENSMUSG00000021981	ENSMUST00000022553	97482_at
ENSMUSG00000058392	ENSMUST00000081339	93130_at
ENSMUSG00000058392	ENSMUST00000147076	93130_at
ENSMUSG00000024981	ENSMUST00000043150	97456_at
ENSMUSG00000024981	ENSMUST00000224414	97456_at
ENSMUSG00000039536	ENSMUST00000109235	103872_r_at
ENSMUSG00000039536	ENSMUST00000142481	103872_r_at
ENSMUSG00000039536	ENSMUST00000049412	103872_r_at
ENSMUSG00000039536	ENSMUST00000109238	103872_r_at
ENSMUSG00000039536	ENSMUST00000109236	103872_r_at
ENSMUSG00000039536	ENSMUST00000149454	103872_r_at
ENSMUSG00000039536	ENSMUST00000134664	103872_r_at
ENSMUSG00000031939	ENSMUST00000214054	104639_i_at
ENSMUSG00000031939	ENSMUST00000214054	104640_f_at
ENSMUSG00000031939	ENSMUST00000213235	94476_at
ENSMUSG00000031939	ENSMUST00000216825	94476_at
ENSMUSG00000056121	ENSMUST00000234029	101934_at
ENSMUSG00000056121	ENSMUST00000234530	101934_at
ENSMUSG00000056121	ENSMUST00000070039	101934_at
ENSMUSG00000056121	ENSMUST00000112487	101934_at
ENSMUSG00000056121	ENSMUST00000234601	101934_at
ENSMUSG00000071714	ENSMUST00000096356	94748_g_at
ENSMUSG00000071714	ENSMUST00000096356	94747_at
ENSMUSG00000071714	ENSMUST00000096356	103210_at
ENSMUSG00000071714	ENSMUST00000230115	94748_g_at
ENSMUSG00000071714	ENSMUST00000230115	94747_at
ENSMUSG00000071714	ENSMUST00000230115	103210_at
ENSMUSG00000071714	ENSMUST00000230753	94748_g_at
ENSMUSG00000071714	ENSMUST00000230753	94747_at
ENSMUSG00000021982	ENSMUST00000056997	103251_at
ENSMUSG00000018566	ENSMUST00000178809	102314_at
ENSMUSG00000018566	ENSMUST00000018710	102314_at
ENSMUSG00000024982	ENSMUST00000225963	104582_g_at
ENSMUSG00000024982	ENSMUST00000226103	104582_g_at
ENSMUSG00000024982	ENSMUST00000226103	104583_at
ENSMUSG00000024982	ENSMUST00000225495	104582_g_at
ENSMUSG00000024982	ENSMUST00000224897	104582_g_at
ENSMUSG00000024982	ENSMUST00000224897	104583_at
ENSMUSG00000024982	ENSMUST00000076891	104582_g_at
ENSMUSG00000024982	ENSMUST00000076891	104583_at
ENSMUSG00000024982	ENSMUST00000225032	104583_at
ENSMUSG00000024982	ENSMUST00000224291	104582_g_at
ENSMUSG00000024982	ENSMUST00000223807	104582_g_at
ENSMUSG00000024982	ENSMUST00000223807	104583_at
ENSMUSG00000024982	ENSMUST00000223743	104582_g_at
ENSMUSG00000036139	ENSMUST00000001706	92891_f_at
ENSMUSG00000038024	ENSMUST00000082026	104670_at
ENSMUSG00000001657	ENSMUST00000001703	93378_at
ENSMUSG00000001657	ENSMUST00000189484	93378_at
ENSMUSG00000022485	ENSMUST00000174869	95312_at
ENSMUSG00000022485	ENSMUST00000001709	95312_at
ENSMUSG00000069622	ENSMUST00000092511	95441_at
ENSMUSG00000020485	ENSMUST00000093955	95796_g_at
ENSMUSG00000020485	ENSMUST00000093955	95795_at
ENSMUSG00000020485	ENSMUST00000152700	95796_g_at
ENSMUSG00000020485	ENSMUST00000152700	95795_at
ENSMUSG00000020485	ENSMUST00000141169	95796_g_at
ENSMUSG00000020485	ENSMUST00000141169	95795_at
ENSMUSG00000032606	ENSMUST00000035227	102059_at
ENSMUSG00000032606	ENSMUST00000192035	102059_at
ENSMUSG00000078291	ENSMUST00000105087	94823_at
ENSMUSG00000029910	ENSMUST00000116605	99632_at
ENSMUSG00000029910	ENSMUST00000125430	99632_at
ENSMUSG00000029910	ENSMUST00000101343	99632_at
ENSMUSG00000028583	ENSMUST00000030317	104469_at
ENSMUSG00000026413	ENSMUST00000027667	99996_at
ENSMUSG00000026413	ENSMUST00000189805	99996_at
ENSMUSG00000026104	ENSMUST00000070968	101465_at
ENSMUSG00000026104	ENSMUST00000186857	101465_at
ENSMUSG00000026104	ENSMUST00000186057	101465_at
ENSMUSG00000026104	ENSMUST00000189244	101465_at
ENSMUSG00000026104	ENSMUST00000189336	101465_at
ENSMUSG00000056429	ENSMUST00000070524	99143_at
ENSMUSG00000056429	ENSMUST00000070524	93881_i_at
ENSMUSG00000056429	ENSMUST00000070524	99144_s_at
ENSMUSG00000056429	ENSMUST00000070524	93882_f_at
ENSMUSG00000026203	ENSMUST00000188931	98451_at
ENSMUSG00000026203	ENSMUST00000188346	98451_at
ENSMUSG00000026203	ENSMUST00000188290	98451_at
ENSMUSG00000026203	ENSMUST00000185403	98451_at
ENSMUSG00000026203	ENSMUST00000187058	98451_at
ENSMUSG00000026203	ENSMUST00000055223	98451_at
ENSMUSG00000026203	ENSMUST00000082158	98451_at
ENSMUSG00000028156	ENSMUST00000029803	99097_at
ENSMUSG00000056666	ENSMUST00000070597	95026_at
ENSMUSG00000056666	ENSMUST00000176364	95026_at
ENSMUSG00000056666	ENSMUST00000176168	95026_at
ENSMUSG00000056666	ENSMUST00000175824	95026_at
ENSMUSG00000056666	ENSMUST00000205878	95026_at
ENSMUSG00000007815	ENSMUST00000007959	101113_at
ENSMUSG00000007815	ENSMUST00000007959	101112_g_at
ENSMUSG00000007815	ENSMUST00000194701	101113_at
ENSMUSG00000007815	ENSMUST00000194701	101112_g_at
ENSMUSG00000007815	ENSMUST00000193424	101113_at
ENSMUSG00000007815	ENSMUST00000193424	101112_g_at
ENSMUSG00000086537	ENSMUST00000143738	160097_at
ENSMUSG00000031516	ENSMUST00000033913	160327_at
ENSMUSG00000031516	ENSMUST00000117243	160327_at
ENSMUSG00000031516	ENSMUST00000118811	160327_at
ENSMUSG00000031516	ENSMUST00000131839	160327_at
ENSMUSG00000031516	ENSMUST00000155296	160327_at
ENSMUSG00000031516	ENSMUST00000152422	160327_at
ENSMUSG00000031516	ENSMUST00000123113	160327_at
ENSMUSG00000039461	ENSMUST00000044725	104739_at
ENSMUSG00000039461	ENSMUST00000192886	104739_at
ENSMUSG00000034486	ENSMUST00000036954	94200_at
ENSMUSG00000034486	ENSMUST00000187633	94200_at
ENSMUSG00000075394	ENSMUST00000165375	102660_at
ENSMUSG00000075394	ENSMUST00000100164	102660_at
ENSMUSG00000044349	ENSMUST00000239262	97752_at
ENSMUSG00000044349	ENSMUST00000239310	97752_at
ENSMUSG00000044349	ENSMUST00000109488	97752_at
ENSMUSG00000028020	ENSMUST00000135043	104449_at
ENSMUSG00000028020	ENSMUST00000029654	104449_at
ENSMUSG00000027523	ENSMUST00000109096	93271_s_at
ENSMUSG00000027523	ENSMUST00000080493	93271_s_at
ENSMUSG00000027523	ENSMUST00000154658	93271_s_at
ENSMUSG00000027523	ENSMUST00000109088	93271_s_at
ENSMUSG00000027523	ENSMUST00000087876	93271_s_at
ENSMUSG00000027523	ENSMUST00000124935	93271_s_at
ENSMUSG00000027523	ENSMUST00000156623	93271_s_at
ENSMUSG00000027523	ENSMUST00000087871	93271_s_at
ENSMUSG00000027523	ENSMUST00000148640	93271_s_at
ENSMUSG00000027523	ENSMUST00000109085	93271_s_at
ENSMUSG00000027523	ENSMUST00000238318	93271_s_at
ENSMUSG00000027523	ENSMUST00000109084	93271_s_at
ENSMUSG00000027523	ENSMUST00000131125	93271_s_at
ENSMUSG00000027523	ENSMUST00000238660	93271_s_at
ENSMUSG00000027523	ENSMUST00000238267	93271_s_at
ENSMUSG00000027523	ENSMUST00000129534	93271_s_at
ENSMUSG00000027523	ENSMUST00000185956	93271_s_at
ENSMUSG00000027523	ENSMUST00000186907	93271_s_at
ENSMUSG00000027523	ENSMUST00000109087	93271_s_at
ENSMUSG00000037664	ENSMUST00000167912	95471_at
ENSMUSG00000037664	ENSMUST00000037287	95471_at
ENSMUSG00000037664	ENSMUST00000208118	95471_at
ENSMUSG00000037664	ENSMUST00000207910	95471_at
ENSMUSG00000037664	ENSMUST00000208137	95471_at
ENSMUSG00000000305	ENSMUST00000000314	95371_g_at
ENSMUSG00000000305	ENSMUST00000000314	95898_at
ENSMUSG00000000305	ENSMUST00000108911	95370_at
ENSMUSG00000000305	ENSMUST00000108911	95371_g_at
ENSMUSG00000000305	ENSMUST00000129659	95898_at
ENSMUSG00000000305	ENSMUST00000098996	95898_at
ENSMUSG00000030748	ENSMUST00000033004	102021_at
ENSMUSG00000030748	ENSMUST00000206846	102021_at
ENSMUSG00000075279	ENSMUST00000173086	92646_at
ENSMUSG00000040138	ENSMUST00000040134	92976_at
ENSMUSG00000053289	ENSMUST00000065630	99878_at
ENSMUSG00000031774	ENSMUST00000034226	95103_at
ENSMUSG00000031774	ENSMUST00000212262	95103_at
ENSMUSG00000031774	ENSMUST00000212485	95103_at
ENSMUSG00000031774	ENSMUST00000212696	95103_at
ENSMUSG00000031774	ENSMUST00000212791	95103_at
ENSMUSG00000026354	ENSMUST00000073490	104018_at
ENSMUSG00000027533	ENSMUST00000029046	160544_at
ENSMUSG00000027533	ENSMUST00000123744	160544_at
ENSMUSG00000060279	ENSMUST00000166972	101357_at
ENSMUSG00000060279	ENSMUST00000107857	101357_at
ENSMUSG00000060279	ENSMUST00000209067	101357_at
ENSMUSG00000060279	ENSMUST00000208472	101357_at
ENSMUSG00000060279	ENSMUST00000167930	101357_at
ENSMUSG00000060279	ENSMUST00000085399	101357_at
ENSMUSG00000032402	ENSMUST00000034973	93613_at
ENSMUSG00000063856	ENSMUST00000192401	94132_at
ENSMUSG00000063856	ENSMUST00000082429	94132_at
ENSMUSG00000022214	ENSMUST00000117236	102356_at
ENSMUSG00000022214	ENSMUST00000150019	102356_at
ENSMUSG00000022214	ENSMUST00000129310	102356_at
ENSMUSG00000022214	ENSMUST00000121622	102356_at
ENSMUSG00000022214	ENSMUST00000152681	102356_at
ENSMUSG00000022214	ENSMUST00000072530	102356_at
ENSMUSG00000022214	ENSMUST00000128490	102356_at
ENSMUSG00000022214	ENSMUST00000153638	102356_at
ENSMUSG00000022214	ENSMUST00000117701	102356_at
ENSMUSG00000022214	ENSMUST00000143375	102356_at
ENSMUSG00000022214	ENSMUST00000145983	102356_at
ENSMUSG00000033128	ENSMUST00000041587	98445_at
ENSMUSG00000033128	ENSMUST00000230192	98445_at
ENSMUSG00000033128	ENSMUST00000229353	98445_at
ENSMUSG00000110644	ENSMUST00000212452	101959_r_at
ENSMUSG00000032612	ENSMUST00000035237	99064_at
ENSMUSG00000032612	ENSMUST00000194959	99064_at
ENSMUSG00000032612	ENSMUST00000193288	99064_at
ENSMUSG00000032612	ENSMUST00000194939	99064_at
ENSMUSG00000028495	ENSMUST00000102814	101577_at
ENSMUSG00000028495	ENSMUST00000136174	101577_at
ENSMUSG00000028495	ENSMUST00000123229	101577_at
ENSMUSG00000028495	ENSMUST00000130001	101577_at
ENSMUSG00000081792	ENSMUST00000122215	96891_at
ENSMUSG00000001815	ENSMUST00000001867	96507_at
ENSMUSG00000001815	ENSMUST00000173623	96507_at
ENSMUSG00000021998	ENSMUST00000134114	101327_at
ENSMUSG00000021998	ENSMUST00000125833	101327_at
ENSMUSG00000021998	ENSMUST00000145303	94278_at
ENSMUSG00000021998	ENSMUST00000145303	101327_at
ENSMUSG00000021998	ENSMUST00000122840	101327_at
ENSMUSG00000021998	ENSMUST00000148609	101327_at
ENSMUSG00000021998	ENSMUST00000149883	101327_at
ENSMUSG00000021998	ENSMUST00000131802	94278_at
ENSMUSG00000022814	ENSMUST00000023510	101455_at
ENSMUSG00000022814	ENSMUST00000023510	161092_at
ENSMUSG00000022814	ENSMUST00000131990	101455_at
ENSMUSG00000022814	ENSMUST00000131990	161092_at
ENSMUSG00000091509	ENSMUST00000165350	160600_at
ENSMUSG00000091509	ENSMUST00000164319	160600_at
ENSMUSG00000047534	ENSMUST00000052201	103308_at
ENSMUSG00000047534	ENSMUST00000140391	103308_at
ENSMUSG00000002372	ENSMUST00000002445	160348_at
ENSMUSG00000002372	ENSMUST00000233319	160348_at
ENSMUSG00000002372	ENSMUST00000233029	160348_at
ENSMUSG00000022037	ENSMUST00000022616	95286_at
ENSMUSG00000013973	ENSMUST00000111300	160160_at
ENSMUSG00000013973	ENSMUST00000111299	160160_at
ENSMUSG00000013973	ENSMUST00000064950	160160_at
ENSMUSG00000013973	ENSMUST00000142063	160160_at
ENSMUSG00000013973	ENSMUST00000129116	160160_at
ENSMUSG00000013973	ENSMUST00000097467	160160_at
ENSMUSG00000013973	ENSMUST00000127830	160160_at
ENSMUSG00000038776	ENSMUST00000036928	101587_at
ENSMUSG00000038776	ENSMUST00000111068	101587_at
ENSMUSG00000051306	ENSMUST00000129606	97780_at
ENSMUSG00000117098	ENSMUST00000233357	94536_s_at
ENSMUSG00000117098	ENSMUST00000233357	94537_at
ENSMUSG00000117098	ENSMUST00000233417	94536_s_at
ENSMUSG00000038366	ENSMUST00000043843	93930_at
ENSMUSG00000038366	ENSMUST00000043843	93793_at
ENSMUSG00000038366	ENSMUST00000148280	93930_at
ENSMUSG00000038366	ENSMUST00000127575	93930_at
ENSMUSG00000034868	ENSMUST00000038446	94536_s_at
ENSMUSG00000034868	ENSMUST00000038446	94537_at
ENSMUSG00000034868	ENSMUST00000233004	94536_s_at
ENSMUSG00000034868	ENSMUST00000233004	94537_at
ENSMUSG00000034868	ENSMUST00000137537	94536_s_at
ENSMUSG00000034868	ENSMUST00000137537	94537_at
ENSMUSG00000001819	ENSMUST00000001872	102567_at
ENSMUSG00000024048	ENSMUST00000148960	94536_s_at
ENSMUSG00000024048	ENSMUST00000233089	94536_s_at
ENSMUSG00000024048	ENSMUST00000232766	94536_s_at
ENSMUSG00000024048	ENSMUST00000233798	94536_s_at
ENSMUSG00000024048	ENSMUST00000024846	94536_s_at
ENSMUSG00000024048	ENSMUST00000126529	94536_s_at
ENSMUSG00000024048	ENSMUST00000123686	94536_s_at
ENSMUSG00000024048	ENSMUST00000150456	94536_s_at
ENSMUSG00000024048	ENSMUST00000129093	94536_s_at
ENSMUSG00000104280	ENSMUST00000195283	100686_at
ENSMUSG00000003731	ENSMUST00000102590	92405_at
ENSMUSG00000003731	ENSMUST00000102590	160624_at
ENSMUSG00000003731	ENSMUST00000003828	92405_at
ENSMUSG00000062939	ENSMUST00000168302	102994_at
ENSMUSG00000062939	ENSMUST00000027277	102994_at
ENSMUSG00000055108	ENSMUST00000060761	101699_at
ENSMUSG00000002379	ENSMUST00000002452	96611_at
ENSMUSG00000002379	ENSMUST00000233832	96611_at
ENSMUSG00000002379	ENSMUST00000233233	96611_at
ENSMUSG00000090035	ENSMUST00000161240	161016_at
ENSMUSG00000090035	ENSMUST00000161240	101333_at
ENSMUSG00000025888	ENSMUST00000027015	102064_at
ENSMUSG00000025888	ENSMUST00000238348	102064_at
ENSMUSG00000025888	ENSMUST00000238546	102064_at
ENSMUSG00000025888	ENSMUST00000238505	102064_at
ENSMUSG00000025888	ENSMUST00000238730	102064_at
ENSMUSG00000019952	ENSMUST00000220019	101333_at
ENSMUSG00000009575	ENSMUST00000118152	104259_at
