Gene stable ID	Transcript stable ID	AFFY MG U74Cv2 probe
ENSMUSG00000097451	ENSMUST00000238774	129202_r_at
ENSMUSG00000097451	ENSMUST00000238763	129202_r_at
ENSMUSG00000097451	ENSMUST00000181253	129202_r_at
ENSMUSG00000097451	ENSMUST00000238384	129202_r_at
ENSMUSG00000097451	ENSMUST00000182981	129202_r_at
ENSMUSG00000097451	ENSMUST00000182737	129202_r_at
ENSMUSG00000097451	ENSMUST00000238357	129202_r_at
ENSMUSG00000097451	ENSMUST00000238473	129202_r_at
ENSMUSG00000097451	ENSMUST00000238513	129202_r_at
ENSMUSG00000097451	ENSMUST00000238226	129202_r_at
ENSMUSG00000097451	ENSMUST00000238532	129202_r_at
ENSMUSG00000097451	ENSMUST00000238541	129202_r_at
ENSMUSG00000054640	ENSMUST00000234131	135364_at
ENSMUSG00000022052	ENSMUST00000089230	170949_at
ENSMUSG00000022052	ENSMUST00000225380	170949_at
ENSMUSG00000022052	ENSMUST00000225251	170949_at
ENSMUSG00000004591	ENSMUST00000043812	140939_at
ENSMUSG00000004591	ENSMUST00000173913	140939_at
ENSMUSG00000004591	ENSMUST00000174422	140939_at
ENSMUSG00000004591	ENSMUST00000173830	140939_at
ENSMUSG00000004591	ENSMUST00000166330	140939_at
ENSMUSG00000004591	ENSMUST00000172521	140939_at
ENSMUSG00000004591	ENSMUST00000172521	135668_at
ENSMUSG00000004591	ENSMUST00000174099	140939_at
ENSMUSG00000062444	ENSMUST00000147624	131020_at
ENSMUSG00000062444	ENSMUST00000082090	139173_at
ENSMUSG00000062444	ENSMUST00000082090	131020_at
ENSMUSG00000062444	ENSMUST00000238438	139173_at
ENSMUSG00000062444	ENSMUST00000238438	131020_at
ENSMUSG00000062444	ENSMUST00000238711	139173_at
ENSMUSG00000062444	ENSMUST00000238711	131020_at
ENSMUSG00000104960	ENSMUST00000196466	165862_f_at
ENSMUSG00000104960	ENSMUST00000198509	165862_f_at
ENSMUSG00000104960	ENSMUST00000199645	165862_f_at
ENSMUSG00000027977	ENSMUST00000137404	137704_at
ENSMUSG00000027977	ENSMUST00000132112	137704_at
ENSMUSG00000027977	ENSMUST00000154668	137704_at
ENSMUSG00000027977	ENSMUST00000029602	137704_at
ENSMUSG00000029505	ENSMUST00000041558	128784_f_at
ENSMUSG00000029505	ENSMUST00000112436	128784_f_at
ENSMUSG00000029505	ENSMUST00000112435	128784_f_at
ENSMUSG00000031425	ENSMUST00000033800	139236_at
ENSMUSG00000031425	ENSMUST00000113085	139236_at
ENSMUSG00000024227	ENSMUST00000177108	166028_s_at
ENSMUSG00000024227	ENSMUST00000025064	166028_s_at
ENSMUSG00000024227	ENSMUST00000177360	166028_s_at
ENSMUSG00000044528	ENSMUST00000058994	135813_at
ENSMUSG00000044528	ENSMUST00000058994	166275_i_at
ENSMUSG00000022019	ENSMUST00000169504	129464_at
ENSMUSG00000022019	ENSMUST00000168275	165706_r_at
ENSMUSG00000022019	ENSMUST00000170865	165706_r_at
ENSMUSG00000022019	ENSMUST00000227304	165706_r_at
ENSMUSG00000024228	ENSMUST00000025065	136626_r_at
ENSMUSG00000024228	ENSMUST00000174108	136626_r_at
ENSMUSG00000072955	ENSMUST00000127404	129151_s_at
ENSMUSG00000089996	ENSMUST00000069803	129151_s_at
ENSMUSG00000089996	ENSMUST00000180194	129151_s_at
ENSMUSG00000089768	ENSMUST00000113071	129151_s_at
ENSMUSG00000044348	ENSMUST00000145842	138960_f_at
ENSMUSG00000044348	ENSMUST00000123516	138960_f_at
ENSMUSG00000044348	ENSMUST00000125747	138960_f_at
ENSMUSG00000044348	ENSMUST00000154484	138960_f_at
ENSMUSG00000044348	ENSMUST00000148253	141053_at
ENSMUSG00000044348	ENSMUST00000136300	138960_f_at
ENSMUSG00000039174	ENSMUST00000180033	165896_i_at
ENSMUSG00000055421	ENSMUST00000195826	166821_r_at
ENSMUSG00000055421	ENSMUST00000193901	166821_r_at
ENSMUSG00000055421	ENSMUST00000192221	166821_r_at
ENSMUSG00000055421	ENSMUST00000195376	166821_r_at
ENSMUSG00000055421	ENSMUST00000192817	129028_at
ENSMUSG00000055421	ENSMUST00000194056	129028_at
ENSMUSG00000055421	ENSMUST00000068992	166821_r_at
ENSMUSG00000031384	ENSMUST00000033756	166248_at
ENSMUSG00000061778	ENSMUST00000112248	165631_r_at
ENSMUSG00000061778	ENSMUST00000112247	165631_r_at
ENSMUSG00000039163	ENSMUST00000044220	165940_at
ENSMUSG00000039163	ENSMUST00000044220	166646_at
ENSMUSG00000048915	ENSMUST00000076840	139594_at
ENSMUSG00000034689	ENSMUST00000228913	167699_at
ENSMUSG00000034689	ENSMUST00000045892	167699_at
ENSMUSG00000090565	ENSMUST00000164605	171246_at
ENSMUSG00000090565	ENSMUST00000171379	171246_at
ENSMUSG00000032087	ENSMUST00000213919	138169_at
ENSMUSG00000032087	ENSMUST00000239471	138169_at
ENSMUSG00000032087	ENSMUST00000034592	138169_at
ENSMUSG00000032087	ENSMUST00000239429	138169_at
ENSMUSG00000032854	ENSMUST00000057944	138069_at
ENSMUSG00000032854	ENSMUST00000198610	138069_at
ENSMUSG00000036737	ENSMUST00000040853	166696_at
ENSMUSG00000036737	ENSMUST00000128880	166696_at
ENSMUSG00000036737	ENSMUST00000136902	166696_at
ENSMUSG00000070280	ENSMUST00000093775	139397_at
ENSMUSG00000070280	ENSMUST00000152061	139397_at
ENSMUSG00000070280	ENSMUST00000170400	139397_at
ENSMUSG00000042498	ENSMUST00000046763	131636_at
ENSMUSG00000042498	ENSMUST00000113030	131636_at
ENSMUSG00000097223	ENSMUST00000180676	171069_at
ENSMUSG00000072294	ENSMUST00000228216	166658_at
ENSMUSG00000040586	ENSMUST00000049501	135642_at
ENSMUSG00000000402	ENSMUST00000000412	166787_i_at
ENSMUSG00000032514	ENSMUST00000035100	165558_at
ENSMUSG00000032514	ENSMUST00000159128	165558_at
ENSMUSG00000032514	ENSMUST00000161967	165558_at
ENSMUSG00000084920	ENSMUST00000153701	133685_at
ENSMUSG00000025742	ENSMUST00000026839	167174_at
ENSMUSG00000102143	ENSMUST00000195551	129096_at
ENSMUSG00000052336	ENSMUST00000064165	130459_at
ENSMUSG00000052336	ENSMUST00000215016	130459_at
ENSMUSG00000052336	ENSMUST00000177637	130459_at
ENSMUSG00000032228	ENSMUST00000183784	137487_at
ENSMUSG00000032228	ENSMUST00000184029	137487_at
ENSMUSG00000111028	ENSMUST00000214963	167929_at
ENSMUSG00000111028	ENSMUST00000216043	167929_at
ENSMUSG00000038685	ENSMUST00000098971	165546_at
ENSMUSG00000038685	ENSMUST00000139608	165546_at
ENSMUSG00000038685	ENSMUST00000054622	165546_at
ENSMUSG00000038685	ENSMUST00000108814	165546_at
ENSMUSG00000038685	ENSMUST00000048608	165546_at
ENSMUSG00000038685	ENSMUST00000108815	165546_at
ENSMUSG00000038685	ENSMUST00000148252	165546_at
ENSMUSG00000038685	ENSMUST00000130772	165546_at
ENSMUSG00000038685	ENSMUST00000147266	165546_at
ENSMUSG00000038685	ENSMUST00000139601	165546_at
ENSMUSG00000038685	ENSMUST00000124149	165546_at
ENSMUSG00000038685	ENSMUST00000137700	165546_at
ENSMUSG00000038685	ENSMUST00000134651	165546_at
ENSMUSG00000041794	ENSMUST00000048121	138537_at
ENSMUSG00000041794	ENSMUST00000048121	138134_at
ENSMUSG00000041608	ENSMUST00000047687	131792_s_at
ENSMUSG00000041608	ENSMUST00000047687	135705_at
ENSMUSG00000031355	ENSMUST00000033721	166723_at
ENSMUSG00000031355	ENSMUST00000139146	166723_at
ENSMUSG00000031355	ENSMUST00000112131	166723_at
ENSMUSG00000031355	ENSMUST00000112127	166723_at
ENSMUSG00000099190	ENSMUST00000184383	135957_at
ENSMUSG00000047394	ENSMUST00000227203	165924_at
ENSMUSG00000047394	ENSMUST00000049968	165924_at
ENSMUSG00000047394	ENSMUST00000238996	165924_at
ENSMUSG00000047394	ENSMUST00000227834	165924_at
ENSMUSG00000047394	ENSMUST00000228005	165924_at
ENSMUSG00000047394	ENSMUST00000226267	165924_at
ENSMUSG00000047394	ENSMUST00000227854	165924_at
ENSMUSG00000047394	ENSMUST00000228111	165924_at
ENSMUSG00000078937	ENSMUST00000109313	165701_f_at
ENSMUSG00000116461	ENSMUST00000052315	165701_f_at
ENSMUSG00000037674	ENSMUST00000163401	134685_at
ENSMUSG00000037674	ENSMUST00000093820	134685_at
ENSMUSG00000032216	ENSMUST00000184450	133832_at
ENSMUSG00000032216	ENSMUST00000184333	133832_at
ENSMUSG00000036030	ENSMUST00000055535	129228_f_at
ENSMUSG00000089865	ENSMUST00000149692	166439_at
ENSMUSG00000034563	ENSMUST00000037977	166439_at
ENSMUSG00000034563	ENSMUST00000085350	166439_at
ENSMUSG00000034563	ENSMUST00000124008	166439_at
ENSMUSG00000092192	ENSMUST00000098567	134646_at
ENSMUSG00000092192	ENSMUST00000034734	134646_at
ENSMUSG00000022621	ENSMUST00000023294	165579_at
ENSMUSG00000022621	ENSMUST00000094056	165579_at
ENSMUSG00000022621	ENSMUST00000165747	165579_at
ENSMUSG00000022621	ENSMUST00000172053	165579_at
ENSMUSG00000022621	ENSMUST00000172074	165579_at
ENSMUSG00000022621	ENSMUST00000171826	165579_at
ENSMUSG00000075470	ENSMUST00000100309	129017_at
ENSMUSG00000075470	ENSMUST00000231200	129017_at
ENSMUSG00000042425	ENSMUST00000208130	136260_at
ENSMUSG00000068099	ENSMUST00000136948	137180_at
ENSMUSG00000068099	ENSMUST00000136948	166624_r_at
ENSMUSG00000068099	ENSMUST00000143238	137180_at
ENSMUSG00000068099	ENSMUST00000143238	166624_r_at
ENSMUSG00000022111	ENSMUST00000002289	129267_at
ENSMUSG00000022111	ENSMUST00000228773	129267_at
ENSMUSG00000022111	ENSMUST00000226340	129267_at
ENSMUSG00000031430	ENSMUST00000033806	167536_at
ENSMUSG00000031430	ENSMUST00000127629	167536_at
ENSMUSG00000085028	ENSMUST00000127559	167982_i_at
ENSMUSG00000085028	ENSMUST00000176590	167982_i_at
ENSMUSG00000032254	ENSMUST00000034815	129059_at
ENSMUSG00000032254	ENSMUST00000216812	129059_at
ENSMUSG00000032254	ENSMUST00000216717	129059_at
ENSMUSG00000032254	ENSMUST00000214940	129059_at
ENSMUSG00000032254	ENSMUST00000216746	129059_at
ENSMUSG00000032254	ENSMUST00000214295	129059_at
ENSMUSG00000022456	ENSMUST00000238416	138963_r_at
ENSMUSG00000022456	ENSMUST00000239048	138963_r_at
ENSMUSG00000022456	ENSMUST00000116423	138963_r_at
ENSMUSG00000022456	ENSMUST00000023095	138963_r_at
ENSMUSG00000032278	ENSMUST00000034817	166878_at
ENSMUSG00000032278	ENSMUST00000034817	130510_at
ENSMUSG00000032278	ENSMUST00000113990	166878_at
ENSMUSG00000032278	ENSMUST00000113990	130510_at
ENSMUSG00000032278	ENSMUST00000135050	166878_at
ENSMUSG00000032278	ENSMUST00000135050	130510_at
ENSMUSG00000000826	ENSMUST00000072334	137715_at
ENSMUSG00000000826	ENSMUST00000116365	137715_at
ENSMUSG00000000826	ENSMUST00000108797	137715_at
ENSMUSG00000079834	ENSMUST00000115964	138802_at
ENSMUSG00000064982	ENSMUST00000083048	131226_at
ENSMUSG00000104767	ENSMUST00000197610	135584_at
ENSMUSG00000098836	ENSMUST00000183702	134295_at
ENSMUSG00000080542	ENSMUST00000116892	166999_at
ENSMUSG00000095666	ENSMUST00000178466	130548_at
ENSMUSG00000096756	ENSMUST00000177719	130548_at
ENSMUSG00000074065	ENSMUST00000098368	167946_i_at
ENSMUSG00000094722	ENSMUST00000180291	130548_at
ENSMUSG00000099235	ENSMUST00000184904	139503_at
ENSMUSG00000053706	ENSMUST00000066298	140455_at
ENSMUSG00000108313	ENSMUST00000206457	133898_at
ENSMUSG00000021188	ENSMUST00000021605	133686_at
ENSMUSG00000021188	ENSMUST00000177183	133686_at
ENSMUSG00000061111	ENSMUST00000135515	165970_i_at
ENSMUSG00000021973	ENSMUST00000225961	167968_f_at
ENSMUSG00000021973	ENSMUST00000022543	167968_f_at
ENSMUSG00000021973	ENSMUST00000224607	136214_at
ENSMUSG00000021973	ENSMUST00000224607	134490_at
ENSMUSG00000018412	ENSMUST00000018556	166701_at
ENSMUSG00000018412	ENSMUST00000106972	166701_at
ENSMUSG00000018412	ENSMUST00000106971	166701_at
ENSMUSG00000018412	ENSMUST00000134266	166701_at
ENSMUSG00000018412	ENSMUST00000106977	166701_at
ENSMUSG00000078554	ENSMUST00000106043	167604_f_at
ENSMUSG00000078554	ENSMUST00000135698	167604_f_at
ENSMUSG00000022544	ENSMUST00000064635	140005_at
ENSMUSG00000022544	ENSMUST00000132225	140005_at
ENSMUSG00000032300	ENSMUST00000034846	168424_f_at
ENSMUSG00000032300	ENSMUST00000214583	168424_f_at
ENSMUSG00000025129	ENSMUST00000026121	165970_i_at
ENSMUSG00000053460	ENSMUST00000207012	133436_at
ENSMUSG00000044465	ENSMUST00000179474	129433_at
ENSMUSG00000079455	ENSMUST00000159695	136557_at
ENSMUSG00000094876	ENSMUST00000105019	166032_f_at
ENSMUSG00000022684	ENSMUST00000023365	168400_i_at
ENSMUSG00000022684	ENSMUST00000069281	168400_i_at
ENSMUSG00000022684	ENSMUST00000148079	135226_at
ENSMUSG00000044469	ENSMUST00000077788	167178_at
ENSMUSG00000050248	ENSMUST00000056365	166653_at
ENSMUSG00000033342	ENSMUST00000239347	167637_i_at
ENSMUSG00000033342	ENSMUST00000239347	136773_f_at
ENSMUSG00000033342	ENSMUST00000039564	167637_i_at
ENSMUSG00000033342	ENSMUST00000039564	136773_f_at
ENSMUSG00000033342	ENSMUST00000238937	167637_i_at
ENSMUSG00000033342	ENSMUST00000238937	136773_f_at
ENSMUSG00000033342	ENSMUST00000106473	167637_i_at
ENSMUSG00000033342	ENSMUST00000106473	136773_f_at
ENSMUSG00000086336	ENSMUST00000145488	136088_at
ENSMUSG00000037110	ENSMUST00000109986	137058_at
ENSMUSG00000037110	ENSMUST00000228797	137058_at
ENSMUSG00000050312	ENSMUST00000063089	166665_i_at
ENSMUSG00000050312	ENSMUST00000143314	166665_i_at
ENSMUSG00000050312	ENSMUST00000156676	166665_i_at
ENSMUSG00000097303	ENSMUST00000180534	133237_g_at
ENSMUSG00000097303	ENSMUST00000180534	133236_at
ENSMUSG00000097303	ENSMUST00000224786	133237_g_at
ENSMUSG00000097303	ENSMUST00000224786	133236_at
ENSMUSG00000000791	ENSMUST00000211936	135076_at
ENSMUSG00000000791	ENSMUST00000212251	135076_at
ENSMUSG00000000791	ENSMUST00000212826	135076_at
ENSMUSG00000047361	ENSMUST00000190490	130150_f_at
ENSMUSG00000047361	ENSMUST00000190490	130149_i_at
ENSMUSG00000020251	ENSMUST00000020485	167217_at
ENSMUSG00000020251	ENSMUST00000128142	167217_at
ENSMUSG00000020251	ENSMUST00000065815	167217_at
ENSMUSG00000024614	ENSMUST00000025515	138995_at
ENSMUSG00000024614	ENSMUST00000025515	167996_r_at
ENSMUSG00000041879	ENSMUST00000159017	168085_at
ENSMUSG00000019579	ENSMUST00000019723	134595_at
ENSMUSG00000026896	ENSMUST00000175964	133277_at
ENSMUSG00000037843	ENSMUST00000109523	130721_r_at
ENSMUSG00000110353	ENSMUST00000209662	133804_at
ENSMUSG00000110353	ENSMUST00000211096	133804_at
ENSMUSG00000110353	ENSMUST00000210336	133804_at
ENSMUSG00000028691	ENSMUST00000135573	136105_at
ENSMUSG00000028691	ENSMUST00000030454	136105_at
ENSMUSG00000024044	ENSMUST00000239167	130667_at
ENSMUSG00000024044	ENSMUST00000225740	130667_at
ENSMUSG00000024044	ENSMUST00000080208	130667_at
ENSMUSG00000024044	ENSMUST00000225977	130667_at
ENSMUSG00000024044	ENSMUST00000238898	130667_at
ENSMUSG00000024044	ENSMUST00000233509	130667_at
ENSMUSG00000024044	ENSMUST00000232706	130667_at
ENSMUSG00000024044	ENSMUST00000224523	130667_at
ENSMUSG00000024044	ENSMUST00000112680	130667_at
ENSMUSG00000043909	ENSMUST00000110647	130753_at
ENSMUSG00000043909	ENSMUST00000110648	130753_at
ENSMUSG00000043909	ENSMUST00000147540	130753_at
ENSMUSG00000038271	ENSMUST00000119527	128666_at
ENSMUSG00000038271	ENSMUST00000144364	128666_at
ENSMUSG00000038271	ENSMUST00000139071	128666_at
ENSMUSG00000038271	ENSMUST00000117675	128666_at
ENSMUSG00000038271	ENSMUST00000141230	128666_at
ENSMUSG00000038271	ENSMUST00000148835	128666_at
ENSMUSG00000038271	ENSMUST00000135559	128666_at
ENSMUSG00000038271	ENSMUST00000150474	128666_at
ENSMUSG00000107704	ENSMUST00000203752	137489_at
ENSMUSG00000097537	ENSMUST00000181526	135534_at
ENSMUSG00000097537	ENSMUST00000230166	135534_at
ENSMUSG00000097537	ENSMUST00000229756	135534_at
ENSMUSG00000097537	ENSMUST00000230245	135534_at
ENSMUSG00000074673	ENSMUST00000099197	166902_at
ENSMUSG00000074673	ENSMUST00000109801	166902_at
ENSMUSG00000074673	ENSMUST00000165343	166902_at
ENSMUSG00000074673	ENSMUST00000150218	166902_at
ENSMUSG00000002910	ENSMUST00000213095	165605_at
ENSMUSG00000002910	ENSMUST00000002989	165605_at
ENSMUSG00000002910	ENSMUST00000212898	165605_at
ENSMUSG00000002910	ENSMUST00000212770	165605_at
ENSMUSG00000085187	ENSMUST00000125185	134803_at
ENSMUSG00000032561	ENSMUST00000062723	133997_at
ENSMUSG00000058624	ENSMUST00000087600	139512_at
ENSMUSG00000058624	ENSMUST00000237823	139512_at
ENSMUSG00000058624	ENSMUST00000121725	139512_at
ENSMUSG00000031241	ENSMUST00000168174	167771_r_at
ENSMUSG00000031241	ENSMUST00000068451	167771_r_at
ENSMUSG00000017412	ENSMUST00000102760	138381_at
ENSMUSG00000017412	ENSMUST00000102760	166840_r_at
ENSMUSG00000017412	ENSMUST00000102761	138381_at
ENSMUSG00000017412	ENSMUST00000102761	166840_r_at
ENSMUSG00000017412	ENSMUST00000078324	138381_at
ENSMUSG00000017412	ENSMUST00000078324	166840_r_at
ENSMUSG00000017412	ENSMUST00000178799	138381_at
ENSMUSG00000017412	ENSMUST00000178799	166840_r_at
ENSMUSG00000095716	ENSMUST00000178621	166032_f_at
ENSMUSG00000027303	ENSMUST00000028769	138497_at
ENSMUSG00000072825	ENSMUST00000101018	131216_f_at
ENSMUSG00000072825	ENSMUST00000222711	131216_f_at
ENSMUSG00000072825	ENSMUST00000221853	131216_f_at
ENSMUSG00000072825	ENSMUST00000221125	131216_f_at
ENSMUSG00000072825	ENSMUST00000179041	131216_f_at
ENSMUSG00000072825	ENSMUST00000092279	131216_f_at
ENSMUSG00000047115	ENSMUST00000060561	165708_i_at
ENSMUSG00000047115	ENSMUST00000060561	132142_at
ENSMUSG00000047115	ENSMUST00000121903	165708_i_at
ENSMUSG00000047115	ENSMUST00000121903	132142_at
ENSMUSG00000047115	ENSMUST00000141910	165708_i_at
ENSMUSG00000047115	ENSMUST00000141910	132142_at
ENSMUSG00000047115	ENSMUST00000203182	165708_i_at
ENSMUSG00000047115	ENSMUST00000203182	132142_at
ENSMUSG00000040918	ENSMUST00000044021	166751_at
ENSMUSG00000040918	ENSMUST00000159230	166751_at
ENSMUSG00000101381	ENSMUST00000185755	166032_f_at
ENSMUSG00000030507	ENSMUST00000032717	129205_at
ENSMUSG00000118152	ENSMUST00000237194	165465_at
ENSMUSG00000028893	ENSMUST00000030724	165600_i_at
ENSMUSG00000078218	ENSMUST00000140300	166032_f_at
ENSMUSG00000029154	ENSMUST00000031040	138788_f_at
ENSMUSG00000029154	ENSMUST00000065543	138788_f_at
ENSMUSG00000090062	ENSMUST00000229209	167068_at
ENSMUSG00000028060	ENSMUST00000200364	136134_at
ENSMUSG00000028060	ENSMUST00000200438	136134_at
ENSMUSG00000019802	ENSMUST00000019937	166266_i_at
ENSMUSG00000022433	ENSMUST00000117786	166555_f_at
ENSMUSG00000032564	ENSMUST00000098443	167962_at
ENSMUSG00000032564	ENSMUST00000157006	167962_at
ENSMUSG00000097035	ENSMUST00000180428	133472_at
ENSMUSG00000073007	ENSMUST00000101292	166026_r_at
ENSMUSG00000073007	ENSMUST00000167154	166026_r_at
ENSMUSG00000031242	ENSMUST00000120722	130649_at
ENSMUSG00000085087	ENSMUST00000139288	136213_at
ENSMUSG00000104388	ENSMUST00000193199	133445_at
ENSMUSG00000044783	ENSMUST00000054674	128809_at
ENSMUSG00000044783	ENSMUST00000147393	128809_at
ENSMUSG00000025949	ENSMUST00000081154	166598_r_at
ENSMUSG00000060029	ENSMUST00000136793	133823_at
ENSMUSG00000060029	ENSMUST00000079964	133823_at
ENSMUSG00000049436	ENSMUST00000057767	129321_at
ENSMUSG00000027560	ENSMUST00000029075	137134_f_at
ENSMUSG00000010067	ENSMUST00000125080	133469_at
ENSMUSG00000010067	ENSMUST00000191832	133469_at
ENSMUSG00000034863	ENSMUST00000093450	138983_r_at
ENSMUSG00000034863	ENSMUST00000213382	138983_r_at
ENSMUSG00000034863	ENSMUST00000212768	138983_r_at
ENSMUSG00000034863	ENSMUST00000213016	138983_r_at
ENSMUSG00000044206	ENSMUST00000050707	132172_at
ENSMUSG00000030604	ENSMUST00000205671	133970_at
ENSMUSG00000042133	ENSMUST00000090858	135437_r_at
ENSMUSG00000042133	ENSMUST00000040915	135437_r_at
ENSMUSG00000031698	ENSMUST00000122452	135143_at
ENSMUSG00000031698	ENSMUST00000138825	135143_at
ENSMUSG00000030691	ENSMUST00000145802	129002_r_at
ENSMUSG00000066057	ENSMUST00000234189	166856_f_at
ENSMUSG00000066057	ENSMUST00000182639	166856_f_at
ENSMUSG00000066057	ENSMUST00000084298	166856_f_at
ENSMUSG00000097350	ENSMUST00000181774	167614_at
ENSMUSG00000097350	ENSMUST00000181774	169809_at
ENSMUSG00000020024	ENSMUST00000220352	130269_r_at
ENSMUSG00000035067	ENSMUST00000176510	133465_at
ENSMUSG00000028580	ENSMUST00000030315	165532_r_at
ENSMUSG00000028580	ENSMUST00000105992	165532_r_at
ENSMUSG00000028580	ENSMUST00000105991	165532_r_at
ENSMUSG00000027894	ENSMUST00000169449	138059_at
ENSMUSG00000027894	ENSMUST00000029499	138059_at
ENSMUSG00000027894	ENSMUST00000168211	138059_at
ENSMUSG00000004894	ENSMUST00000160737	135243_at
ENSMUSG00000020420	ENSMUST00000205715	129439_at
ENSMUSG00000020420	ENSMUST00000205534	129439_at
ENSMUSG00000020420	ENSMUST00000053722	129439_at
ENSMUSG00000094307	ENSMUST00000105015	166032_f_at
ENSMUSG00000032621	ENSMUST00000210489	141158_r_at
ENSMUSG00000047694	ENSMUST00000054697	134075_at
ENSMUSG00000033554	ENSMUST00000197561	136401_at
ENSMUSG00000033554	ENSMUST00000199970	136401_at
ENSMUSG00000032563	ENSMUST00000035177	139162_at
ENSMUSG00000068966	ENSMUST00000113158	136263_at
ENSMUSG00000068966	ENSMUST00000091037	136263_at
ENSMUSG00000007610	ENSMUST00000007754	165528_i_at
ENSMUSG00000007610	ENSMUST00000095259	165528_i_at
ENSMUSG00000007610	ENSMUST00000150969	165528_i_at
ENSMUSG00000007610	ENSMUST00000124349	165528_i_at
ENSMUSG00000007610	ENSMUST00000127741	165528_i_at
ENSMUSG00000007610	ENSMUST00000146551	165528_i_at
ENSMUSG00000007610	ENSMUST00000168847	165528_i_at
ENSMUSG00000023951	ENSMUST00000024747	141073_at
ENSMUSG00000023951	ENSMUST00000071648	141073_at
ENSMUSG00000023951	ENSMUST00000142351	141073_at
ENSMUSG00000074212	ENSMUST00000090178	168478_s_at
ENSMUSG00000074212	ENSMUST00000090178	135884_at
ENSMUSG00000074212	ENSMUST00000195903	168478_s_at
ENSMUSG00000020230	ENSMUST00000020452	165433_at
ENSMUSG00000020230	ENSMUST00000128099	165433_at
ENSMUSG00000020230	ENSMUST00000099572	165433_at
ENSMUSG00000020230	ENSMUST00000137857	165433_at
ENSMUSG00000020230	ENSMUST00000144670	165433_at
ENSMUSG00000020230	ENSMUST00000128048	165433_at
ENSMUSG00000020230	ENSMUST00000220116	165433_at
ENSMUSG00000020230	ENSMUST00000099571	165433_at
ENSMUSG00000054426	ENSMUST00000188260	165909_at
ENSMUSG00000054426	ENSMUST00000185681	165909_at
ENSMUSG00000054426	ENSMUST00000185424	165909_at
ENSMUSG00000054426	ENSMUST00000187055	165909_at
ENSMUSG00000054426	ENSMUST00000191182	165909_at
ENSMUSG00000054426	ENSMUST00000191182	133427_r_at
ENSMUSG00000054426	ENSMUST00000185512	165909_at
ENSMUSG00000054426	ENSMUST00000185512	133427_r_at
ENSMUSG00000054426	ENSMUST00000067500	165909_at
ENSMUSG00000094596	ENSMUST00000179325	166032_f_at
ENSMUSG00000095193	ENSMUST00000234295	140565_f_at
ENSMUSG00000095193	ENSMUST00000108007	140565_f_at
ENSMUSG00000042202	ENSMUST00000105608	130557_at
ENSMUSG00000042202	ENSMUST00000043829	130557_at
ENSMUSG00000042202	ENSMUST00000151425	130557_at
ENSMUSG00000032566	ENSMUST00000035180	165591_f_at
ENSMUSG00000023828	ENSMUST00000233535	169300_at
ENSMUSG00000023828	ENSMUST00000024595	169300_at
ENSMUSG00000022095	ENSMUST00000022690	129075_at
ENSMUSG00000028391	ENSMUST00000120095	167207_at
ENSMUSG00000028391	ENSMUST00000132263	167207_at
ENSMUSG00000028391	ENSMUST00000030087	167207_at
ENSMUSG00000028391	ENSMUST00000107452	167207_at
ENSMUSG00000094273	ENSMUST00000105014	166032_f_at
ENSMUSG00000022811	ENSMUST00000165418	139484_r_at
ENSMUSG00000101268	ENSMUST00000190889	169727_i_at
ENSMUSG00000101268	ENSMUST00000187172	169727_i_at
ENSMUSG00000018363	ENSMUST00000103067	166962_at
ENSMUSG00000018363	ENSMUST00000139297	166962_at
ENSMUSG00000018363	ENSMUST00000092517	166962_at
ENSMUSG00000018363	ENSMUST00000167787	166962_at
ENSMUSG00000024731	ENSMUST00000072748	165930_f_at
ENSMUSG00000024731	ENSMUST00000072748	165931_i_at
ENSMUSG00000024731	ENSMUST00000191343	165930_f_at
ENSMUSG00000024731	ENSMUST00000191343	165931_i_at
ENSMUSG00000024731	ENSMUST00000190246	165930_f_at
ENSMUSG00000027651	ENSMUST00000109519	134161_at
ENSMUSG00000086682	ENSMUST00000137752	134847_at
ENSMUSG00000031385	ENSMUST00000149478	134718_at
ENSMUSG00000031385	ENSMUST00000146812	134718_at
ENSMUSG00000031385	ENSMUST00000147127	134718_at
ENSMUSG00000031385	ENSMUST00000002079	134718_at
ENSMUSG00000032567	ENSMUST00000190934	166770_at
ENSMUSG00000030269	ENSMUST00000113146	167041_at
ENSMUSG00000030269	ENSMUST00000129883	167041_at
ENSMUSG00000030269	ENSMUST00000137772	167041_at
ENSMUSG00000021620	ENSMUST00000022120	140022_at
ENSMUSG00000021620	ENSMUST00000159214	140022_at
ENSMUSG00000043843	ENSMUST00000119703	138160_f_at
ENSMUSG00000043843	ENSMUST00000119703	138159_i_at
ENSMUSG00000043843	ENSMUST00000205639	138160_f_at
ENSMUSG00000043843	ENSMUST00000205639	138159_i_at
ENSMUSG00000043843	ENSMUST00000108409	138160_f_at
ENSMUSG00000043843	ENSMUST00000108409	138159_i_at
ENSMUSG00000111425	ENSMUST00000213690	165721_f_at
ENSMUSG00000040483	ENSMUST00000146233	129005_at
ENSMUSG00000086629	ENSMUST00000123040	129142_at
ENSMUSG00000086629	ENSMUST00000152089	130602_at
ENSMUSG00000086629	ENSMUST00000151166	130602_at
ENSMUSG00000086629	ENSMUST00000124329	129142_at
ENSMUSG00000039672	ENSMUST00000047383	165816_at
ENSMUSG00000039672	ENSMUST00000113971	165816_at
ENSMUSG00000053141	ENSMUST00000109445	138395_at
