Gene stable ID	Transcript stable ID	AFFY Mu11KsubA probe
ENSMUSG00000022807	ENSMUST00000039733	aa245262_s_at
ENSMUSG00000030144	ENSMUST00000204826	C76739_rc_at
ENSMUSG00000030144	ENSMUST00000032240	C76739_rc_at
ENSMUSG00000030144	ENSMUST00000203421	C76739_rc_at
ENSMUSG00000010045	ENSMUST00000010189	aa261047_s_at
ENSMUSG00000074643	ENSMUST00000184265	AA154646_s_at
ENSMUSG00000074643	ENSMUST00000142975	AA154646_s_at
ENSMUSG00000074643	ENSMUST00000109607	AA154646_s_at
ENSMUSG00000074643	ENSMUST00000109608	AA154646_s_at
ENSMUSG00000074643	ENSMUST00000126513	AA154646_s_at
ENSMUSG00000074643	ENSMUST00000184933	AA154646_s_at
ENSMUSG00000030513	ENSMUST00000055576	D50060_s_at
ENSMUSG00000030513	ENSMUST00000098391	D50060_s_at
ENSMUSG00000030513	ENSMUST00000176209	D50060_s_at
ENSMUSG00000032015	ENSMUST00000176636	l14677_s_at
ENSMUSG00000032015	ENSMUST00000034513	l14677_s_at
ENSMUSG00000032015	ENSMUST00000213862	l14677_s_at
ENSMUSG00000035478	ENSMUST00000142997	aa242328_g_at
ENSMUSG00000035478	ENSMUST00000142997	aa242328_at
ENSMUSG00000035478	ENSMUST00000092295	aa242328_g_at
ENSMUSG00000035478	ENSMUST00000092295	aa242328_at
ENSMUSG00000035478	ENSMUST00000105349	aa242328_g_at
ENSMUSG00000035478	ENSMUST00000105349	aa242328_at
ENSMUSG00000035478	ENSMUST00000105348	aa242328_g_at
ENSMUSG00000035478	ENSMUST00000125618	aa242328_g_at
ENSMUSG00000035478	ENSMUST00000125618	aa242328_at
ENSMUSG00000027475	ENSMUST00000028977	D26077_s_at
ENSMUSG00000019802	ENSMUST00000019937	c76104_rc_at
ENSMUSG00000019802	ENSMUST00000155410	c76104_rc_at
ENSMUSG00000019802	ENSMUST00000144228	c76104_rc_at
ENSMUSG00000078429	ENSMUST00000105256	c77340_rc_s_at
ENSMUSG00000078429	ENSMUST00000105255	c77340_rc_s_at
ENSMUSG00000042548	ENSMUST00000227428	aa273306_at
ENSMUSG00000042548	ENSMUST00000227428	aa273306_g_at
ENSMUSG00000042548	ENSMUST00000109790	aa273306_at
ENSMUSG00000042548	ENSMUST00000109790	aa273306_g_at
ENSMUSG00000002064	ENSMUST00000002133	D50646_s_at
ENSMUSG00000002064	ENSMUST00000154080	D50646_s_at
ENSMUSG00000002064	ENSMUST00000133020	D50646_s_at
ENSMUSG00000020307	ENSMUST00000020550	aa608177_s_at
ENSMUSG00000020307	ENSMUST00000220133	aa608177_s_at
ENSMUSG00000020307	ENSMUST00000219791	aa608177_s_at
ENSMUSG00000020307	ENSMUST00000218964	aa608177_s_at
ENSMUSG00000020307	ENSMUST00000218938	aa608177_s_at
ENSMUSG00000020307	ENSMUST00000166603	aa608177_s_at
ENSMUSG00000068289	ENSMUST00000228263	m68899_s_at
ENSMUSG00000068289	ENSMUST00000089555	m68899_s_at
ENSMUSG00000002052	ENSMUST00000002121	U40375_s_at
ENSMUSG00000002052	ENSMUST00000108314	U40375_s_at
ENSMUSG00000054428	ENSMUST00000152993	AF002718_s_at
ENSMUSG00000054428	ENSMUST00000067496	AF002718_s_at
ENSMUSG00000026797	ENSMUST00000050000	D45903_s_at
ENSMUSG00000026797	ENSMUST00000113222	D45903_s_at
ENSMUSG00000026797	ENSMUST00000077458	D45903_s_at
ENSMUSG00000024734	ENSMUST00000168708	U24230_s_at
ENSMUSG00000024734	ENSMUST00000025641	U24230_s_at
ENSMUSG00000006215	ENSMUST00000006377	u22396_s_at
ENSMUSG00000006215	ENSMUST00000142438	u22396_s_at
ENSMUSG00000006215	ENSMUST00000142020	u22396_s_at
ENSMUSG00000006215	ENSMUST00000123477	u22396_s_at
ENSMUSG00000006215	ENSMUST00000130482	u22396_s_at
ENSMUSG00000044783	ENSMUST00000054674	aa198618_s_at
ENSMUSG00000044783	ENSMUST00000147393	aa198618_s_at
ENSMUSG00000038855	ENSMUST00000070181	aa170321_s_at
ENSMUSG00000074247	ENSMUST00000124745	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000135052	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000130098	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000146677	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000138892	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000098645	aa285970_s_at
ENSMUSG00000074247	ENSMUST00000147642	aa285970_s_at
ENSMUSG00000010047	ENSMUST00000195752	aj000060_s_at
ENSMUSG00000010047	ENSMUST00000195681	aj000060_s_at
ENSMUSG00000010047	ENSMUST00000195667	aj000060_s_at
ENSMUSG00000010047	ENSMUST00000010191	aj000060_s_at
ENSMUSG00000006728	ENSMUST00000006911	L01640_s_at
ENSMUSG00000006728	ENSMUST00000120226	L01640_s_at
ENSMUSG00000006728	ENSMUST00000133115	L01640_s_at
ENSMUSG00000006728	ENSMUST00000142558	L01640_s_at
ENSMUSG00000006728	ENSMUST00000140254	L01640_s_at
ENSMUSG00000006728	ENSMUST00000135179	L01640_s_at
ENSMUSG00000006728	ENSMUST00000125682	L01640_s_at
ENSMUSG00000006728	ENSMUST00000123456	L01640_s_at
ENSMUSG00000006728	ENSMUST00000145670	L01640_s_at
ENSMUSG00000041359	ENSMUST00000041316	af031956_s_at
ENSMUSG00000041359	ENSMUST00000101071	af031956_s_at
ENSMUSG00000041359	ENSMUST00000176579	af031956_s_at
ENSMUSG00000041359	ENSMUST00000177521	af031956_s_at
ENSMUSG00000041359	ENSMUST00000176952	af031956_s_at
ENSMUSG00000005447	ENSMUST00000140093	U57746_s_at
ENSMUSG00000005447	ENSMUST00000108410	U57746_s_at
ENSMUSG00000005447	ENSMUST00000005583	U57746_s_at
ENSMUSG00000005447	ENSMUST00000148150	U57746_s_at
ENSMUSG00000005447	ENSMUST00000148828	U57746_s_at
ENSMUSG00000069922	ENSMUST00000093222	L11333_s_at
ENSMUSG00000069922	ENSMUST00000093223	L11333_s_at
ENSMUSG00000069922	ENSMUST00000212481	L11333_s_at
ENSMUSG00000021886	ENSMUST00000075072	U39827_s_at
ENSMUSG00000043439	ENSMUST00000052281	aa409164_rc_s_at
ENSMUSG00000037474	ENSMUST00000195650	aa222772_s_at
ENSMUSG00000037474	ENSMUST00000027933	aa222772_s_at
ENSMUSG00000037474	ENSMUST00000195765	aa222772_s_at
ENSMUSG00000022324	ENSMUST00000022947	U69262_s_at
ENSMUSG00000022324	ENSMUST00000227759	U69262_s_at
ENSMUSG00000022324	ENSMUST00000163455	U69262_s_at
ENSMUSG00000035171	ENSMUST00000038830	aa177595_s_at
ENSMUSG00000035171	ENSMUST00000179553	aa177595_s_at
ENSMUSG00000035171	ENSMUST00000177605	aa177595_s_at
ENSMUSG00000098090	ENSMUST00000182402	aa267955_s_at
ENSMUSG00000098090	ENSMUST00000182475	aa267955_s_at
ENSMUSG00000098090	ENSMUST00000183133	aa267955_s_at
ENSMUSG00000033122	ENSMUST00000222783	U66827_s_at
ENSMUSG00000033122	ENSMUST00000221513	U66827_s_at
ENSMUSG00000033122	ENSMUST00000039832	U66827_s_at
ENSMUSG00000033122	ENSMUST00000166224	U66827_s_at
ENSMUSG00000030361	ENSMUST00000032512	m77753_s_at
ENSMUSG00000030361	ENSMUST00000171306	m77753_s_at
ENSMUSG00000030361	ENSMUST00000203275	m77753_s_at
ENSMUSG00000030361	ENSMUST00000204819	m77753_s_at
ENSMUSG00000070501	ENSMUST00000139092	aa174777_s_at
ENSMUSG00000022587	ENSMUST00000188866	u04268_s_at
ENSMUSG00000022587	ENSMUST00000189186	u04268_s_at
ENSMUSG00000022587	ENSMUST00000190810	u04268_s_at
ENSMUSG00000022587	ENSMUST00000185863	u04268_s_at
ENSMUSG00000022587	ENSMUST00000191127	u04268_s_at
ENSMUSG00000022587	ENSMUST00000191436	u04268_s_at
ENSMUSG00000022587	ENSMUST00000186927	u04268_s_at
ENSMUSG00000022587	ENSMUST00000188503	u04268_s_at
ENSMUSG00000022587	ENSMUST00000191145	u04268_s_at
ENSMUSG00000022587	ENSMUST00000051698	u04268_s_at
ENSMUSG00000022587	ENSMUST00000169343	u04268_s_at
ENSMUSG00000024732	ENSMUST00000025639	aa672312_s_at
ENSMUSG00000024732	ENSMUST00000189018	aa672312_s_at
ENSMUSG00000059326	ENSMUST00000235172	M85078_s_at
ENSMUSG00000059326	ENSMUST00000237386	M85078_s_at
ENSMUSG00000059326	ENSMUST00000236872	M85078_s_at
ENSMUSG00000059326	ENSMUST00000237877	M85078_s_at
ENSMUSG00000059326	ENSMUST00000235483	M85078_s_at
ENSMUSG00000059326	ENSMUST00000076046	M85078_s_at
ENSMUSG00000028800	ENSMUST00000102597	u80780_s_at
ENSMUSG00000028800	ENSMUST00000145628	u80780_s_at
ENSMUSG00000078779	ENSMUST00000205701	L16904_s_at
ENSMUSG00000078779	ENSMUST00000108331	L16904_s_at
ENSMUSG00000052180	ENSMUST00000110273	c76171_rc_at
ENSMUSG00000052180	ENSMUST00000172184	c76171_rc_at
ENSMUSG00000045092	ENSMUST00000055676	U40811_s_at
ENSMUSG00000028163	ENSMUST00000029812	L28117_s_at
ENSMUSG00000028163	ENSMUST00000132668	L28117_s_at
ENSMUSG00000028163	ENSMUST00000184550	L28117_s_at
ENSMUSG00000028163	ENSMUST00000129428	L28117_s_at
ENSMUSG00000028163	ENSMUST00000196469	L28117_s_at
ENSMUSG00000029062	ENSMUST00000067081	l37092_s_at
ENSMUSG00000029062	ENSMUST00000105600	l37092_s_at
ENSMUSG00000029062	ENSMUST00000105598	l37092_s_at
ENSMUSG00000029062	ENSMUST00000155100	l37092_s_at
ENSMUSG00000029062	ENSMUST00000143196	l37092_s_at
ENSMUSG00000031165	ENSMUST00000033505	u54788_s_at
ENSMUSG00000118197	ENSMUST00000237261	D25213_f_at
ENSMUSG00000050910	ENSMUST00000053288	AA285490_at
ENSMUSG00000071497	ENSMUST00000095978	aa117476_s_at
ENSMUSG00000029430	ENSMUST00000031383	l32751_f_at
ENSMUSG00000029430	ENSMUST00000111343	l32751_f_at
ENSMUSG00000026577	ENSMUST00000027866	aa177332_s_at
ENSMUSG00000026577	ENSMUST00000120447	aa177332_s_at
ENSMUSG00000033554	ENSMUST00000189799	AA183138_f_at
ENSMUSG00000033554	ENSMUST00000189799	C80186_rc_at
ENSMUSG00000033554	ENSMUST00000043342	AA183138_f_at
ENSMUSG00000033554	ENSMUST00000043342	C80186_rc_at
ENSMUSG00000032563	ENSMUST00000149243	aa103292_s_at
ENSMUSG00000032563	ENSMUST00000035177	aa103292_s_at
ENSMUSG00000032563	ENSMUST00000142424	aa103292_s_at
ENSMUSG00000081402	ENSMUST00000117459	aa733764_s_at
ENSMUSG00000078440	ENSMUST00000072751	aa000750_s_at
ENSMUSG00000078440	ENSMUST00000142346	aa000750_s_at
ENSMUSG00000018286	ENSMUST00000145503	u13393_s_at
ENSMUSG00000018286	ENSMUST00000018430	u13393_s_at
ENSMUSG00000018286	ENSMUST00000148535	u13393_s_at
ENSMUSG00000018286	ENSMUST00000128870	u13393_s_at
ENSMUSG00000021253	ENSMUST00000003687	M32745_s_at
ENSMUSG00000037820	ENSMUST00000103122	M55154_s_at
ENSMUSG00000036499	ENSMUST00000053484	aa174748_at
ENSMUSG00000021721	ENSMUST00000022235	U39391_s_at
ENSMUSG00000000214	ENSMUST00000000219	M69200_s_at
ENSMUSG00000000214	ENSMUST00000105929	M69200_s_at
ENSMUSG00000000214	ENSMUST00000124951	M69200_s_at
ENSMUSG00000004933	ENSMUST00000128576	aa016364_g_at
ENSMUSG00000043263	ENSMUST00000056071	aa174777_s_at
ENSMUSG00000022964	ENSMUST00000023686	aa684097_at
ENSMUSG00000022964	ENSMUST00000023686	aa684097_g_at
ENSMUSG00000043445	ENSMUST00000053024	aa003157_at
ENSMUSG00000043445	ENSMUST00000234216	aa003157_at
ENSMUSG00000022683	ENSMUST00000115807	aa512293_at
ENSMUSG00000022683	ENSMUST00000023364	aa512293_at
ENSMUSG00000022683	ENSMUST00000127780	aa512293_at
ENSMUSG00000054206	ENSMUST00000020549	L76741_s_at
ENSMUSG00000054206	ENSMUST00000151213	L76741_s_at
ENSMUSG00000022811	ENSMUST00000165418	u80078_s_at
ENSMUSG00000022811	ENSMUST00000232023	u80078_s_at
ENSMUSG00000022811	ENSMUST00000089677	u80078_s_at
ENSMUSG00000020849	ENSMUST00000067664	d87663_s_at
ENSMUSG00000117244	ENSMUST00000233156	l21027_s_at
ENSMUSG00000059481	ENSMUST00000014578	J04766_s_at
ENSMUSG00000030744	ENSMUST00000032998	aa265222_s_at
ENSMUSG00000030744	ENSMUST00000107096	aa265222_s_at
ENSMUSG00000030744	ENSMUST00000128725	aa265222_s_at
ENSMUSG00000030744	ENSMUST00000128174	aa265222_s_at
ENSMUSG00000027651	ENSMUST00000103123	aa408316_rc_at
ENSMUSG00000027651	ENSMUST00000156552	aa408316_rc_at
ENSMUSG00000027651	ENSMUST00000109518	aa408316_rc_at
ENSMUSG00000027651	ENSMUST00000029180	aa408316_rc_at
ENSMUSG00000027496	ENSMUST00000109140	u80932_s_at
ENSMUSG00000027496	ENSMUST00000109139	u80932_s_at
ENSMUSG00000027496	ENSMUST00000128004	u80932_s_at
ENSMUSG00000027496	ENSMUST00000028997	u80932_s_at
ENSMUSG00000024974	ENSMUST00000025930	aa209705_s_at
ENSMUSG00000024974	ENSMUST00000171083	aa209705_s_at
ENSMUSG00000089935	ENSMUST00000162027	AA177484_at
ENSMUSG00000021972	ENSMUST00000022544	AA203803_s_at
ENSMUSG00000030269	ENSMUST00000113146	aa168373_s_at
ENSMUSG00000030269	ENSMUST00000129883	aa168373_s_at
ENSMUSG00000030269	ENSMUST00000148523	aa168373_s_at
ENSMUSG00000030269	ENSMUST00000134945	aa168373_s_at
ENSMUSG00000030269	ENSMUST00000151149	aa168373_s_at
ENSMUSG00000025132	ENSMUST00000106197	aa529001_g_at
ENSMUSG00000025132	ENSMUST00000067936	aa529001_g_at
ENSMUSG00000022560	ENSMUST00000023220	aa273856_s_at
ENSMUSG00000022560	ENSMUST00000230994	aa273856_s_at
ENSMUSG00000021701	ENSMUST00000022212	M96163_s_at
ENSMUSG00000021701	ENSMUST00000225156	M96163_s_at
ENSMUSG00000047501	ENSMUST00000051401	AB000713_g_at
ENSMUSG00000047501	ENSMUST00000051401	AB000713_at
ENSMUSG00000010048	ENSMUST00000010192	aa470234_s_at
ENSMUSG00000010048	ENSMUST00000194932	aa470234_s_at
ENSMUSG00000010048	ENSMUST00000193153	aa470234_s_at
ENSMUSG00000010048	ENSMUST00000193140	aa470234_s_at
ENSMUSG00000044017	ENSMUST00000056617	AA544993_at
ENSMUSG00000044017	ENSMUST00000156437	AA544993_at
ENSMUSG00000027379	ENSMUST00000028858	af002823_s_at
ENSMUSG00000063785	ENSMUST00000080713	AA266395_s_at
ENSMUSG00000003992	ENSMUST00000004094	aa189279_s_at
ENSMUSG00000003992	ENSMUST00000042122	aa189279_s_at
ENSMUSG00000094910	ENSMUST00000178224	aa220788_s_at
ENSMUSG00000070473	ENSMUST00000094245	aa616229_at
ENSMUSG00000006442	ENSMUST00000006611	l19311_f_at
ENSMUSG00000006442	ENSMUST00000152701	l19311_f_at
ENSMUSG00000028914	ENSMUST00000030747	aa189345_s_at
ENSMUSG00000028914	ENSMUST00000124161	aa189345_s_at
ENSMUSG00000110619	ENSMUST00000212909	aa670807_s_at
ENSMUSG00000063663	ENSMUST00000150434	c79531_rc_at
ENSMUSG00000063663	ENSMUST00000041866	c79531_rc_at
ENSMUSG00000063663	ENSMUST00000144521	c79531_rc_at
ENSMUSG00000000439	ENSMUST00000000449	C81377_rc_g_at
ENSMUSG00000000439	ENSMUST00000000449	C81377_rc_at
ENSMUSG00000023175	ENSMUST00000179781	d82019_f_at
ENSMUSG00000023175	ENSMUST00000067036	d82019_f_at
ENSMUSG00000023175	ENSMUST00000179201	d82019_f_at
ENSMUSG00000023175	ENSMUST00000178383	d82019_f_at
ENSMUSG00000023175	ENSMUST00000105381	d82019_f_at
ENSMUSG00000023175	ENSMUST00000180235	d82019_f_at
ENSMUSG00000071361	ENSMUST00000095798	m68899_s_at
ENSMUSG00000030060	ENSMUST00000204614	aa182321_s_at
ENSMUSG00000030060	ENSMUST00000132651	aa182321_s_at
ENSMUSG00000032570	ENSMUST00000112558	AA218068_at
ENSMUSG00000032570	ENSMUST00000038118	AA218068_at
ENSMUSG00000032570	ENSMUST00000085133	AA218068_at
ENSMUSG00000032570	ENSMUST00000112557	AA218068_at
ENSMUSG00000022962	ENSMUST00000023684	u01024_s_at
ENSMUSG00000022962	ENSMUST00000156713	u01024_s_at
ENSMUSG00000022962	ENSMUST00000232640	u01024_s_at
ENSMUSG00000022962	ENSMUST00000232643	u01024_s_at
ENSMUSG00000022962	ENSMUST00000232289	u01024_s_at
ENSMUSG00000022962	ENSMUST00000232620	u01024_s_at
ENSMUSG00000025134	ENSMUST00000026125	U89876_s_at
ENSMUSG00000025134	ENSMUST00000155325	U89876_s_at
ENSMUSG00000025134	ENSMUST00000156685	U89876_s_at
ENSMUSG00000035778	ENSMUST00000079424	m85153_s_at
ENSMUSG00000035778	ENSMUST00000113002	m85153_s_at
ENSMUSG00000035778	ENSMUST00000113001	m85153_s_at
ENSMUSG00000035778	ENSMUST00000102794	m85153_s_at
ENSMUSG00000086583	ENSMUST00000071641	AA409561_rc_f_at
ENSMUSG00000086583	ENSMUST00000071523	AA409561_rc_f_at
ENSMUSG00000030058	ENSMUST00000113607	aa182321_s_at
ENSMUSG00000030058	ENSMUST00000149907	aa182321_s_at
ENSMUSG00000023048	ENSMUST00000023810	aa261246_s_at
ENSMUSG00000023048	ENSMUST00000164957	aa261246_s_at
ENSMUSG00000023048	ENSMUST00000171245	aa261246_s_at
ENSMUSG00000023048	ENSMUST00000164688	aa261246_s_at
ENSMUSG00000016206	ENSMUST00000038580	u18797_s_at
ENSMUSG00000060419	ENSMUST00000140155	M11408_f_at
ENSMUSG00000064289	ENSMUST00000112502	u51907_s_at
ENSMUSG00000064289	ENSMUST00000112495	u51907_s_at
ENSMUSG00000064289	ENSMUST00000141544	u51907_s_at
ENSMUSG00000064289	ENSMUST00000136688	u51907_s_at
ENSMUSG00000064289	ENSMUST00000112501	u51907_s_at
ENSMUSG00000064289	ENSMUST00000078074	u51907_s_at
ENSMUSG00000000244	ENSMUST00000009396	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000207211	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000075172	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000145212	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000105923	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000082008	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000105925	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000105924	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000143512	aa407468_rc_s_at
ENSMUSG00000000244	ENSMUST00000154264	aa407468_rc_s_at
ENSMUSG00000091512	ENSMUST00000168345	aa616370_s_at
ENSMUSG00000091512	ENSMUST00000196632	aa616370_s_at
ENSMUSG00000091512	ENSMUST00000200269	aa616370_s_at
ENSMUSG00000091512	ENSMUST00000200107	aa616370_s_at
ENSMUSG00000091512	ENSMUST00000200656	aa616370_s_at
ENSMUSG00000027498	ENSMUST00000116375	aa260455_s_at
ENSMUSG00000027301	ENSMUST00000028764	M88355_s_at
ENSMUSG00000044216	ENSMUST00000057801	U11075_s_at
ENSMUSG00000029363	ENSMUST00000086461	aa549665_g_at
ENSMUSG00000029363	ENSMUST00000150962	aa549665_g_at
ENSMUSG00000098950	ENSMUST00000127956	AA154646_s_at
ENSMUSG00000098950	ENSMUST00000132494	AA154646_s_at
ENSMUSG00000075010	ENSMUST00000238097	aa163876_s_at
ENSMUSG00000075010	ENSMUST00000099676	aa163876_s_at
ENSMUSG00000108314	ENSMUST00000206136	M94632_s_at
ENSMUSG00000022226	ENSMUST00000015576	J05177_s_at
ENSMUSG00000032080	ENSMUST00000034585	m13966_f_at
ENSMUSG00000037727	ENSMUST00000046001	M88354_s_at
ENSMUSG00000026113	ENSMUST00000027287	R74740_rc_at
ENSMUSG00000028367	ENSMUST00000030051	d21859_f_at
ENSMUSG00000060475	ENSMUST00000159986	aa238056_s_at
ENSMUSG00000060475	ENSMUST00000160781	aa238056_s_at
ENSMUSG00000060475	ENSMUST00000233867	aa238056_s_at
ENSMUSG00000059835	ENSMUST00000079960	U28917_f_at
ENSMUSG00000084383	ENSMUST00000121309	U93863_s_at
ENSMUSG00000067847	ENSMUST00000088610	aa616685_s_at
ENSMUSG00000067847	ENSMUST00000109597	aa616685_s_at
ENSMUSG00000067847	ENSMUST00000109598	aa616685_s_at
ENSMUSG00000067847	ENSMUST00000119950	aa616685_s_at
ENSMUSG00000061068	ENSMUST00000043249	m55616_f_at
ENSMUSG00000062181	ENSMUST00000093221	L11333_s_at
ENSMUSG00000062181	ENSMUST00000074403	L11333_s_at
ENSMUSG00000031930	ENSMUST00000166615	aa217474_at
ENSMUSG00000031930	ENSMUST00000212993	aa217474_at
ENSMUSG00000030739	ENSMUST00000107899	AA688923_at
ENSMUSG00000030739	ENSMUST00000048102	AA688923_at
ENSMUSG00000030739	ENSMUST00000208200	AA688923_at
ENSMUSG00000030739	ENSMUST00000208044	AA688923_at
ENSMUSG00000030739	ENSMUST00000207775	AA688923_at
ENSMUSG00000030739	ENSMUST00000107900	AA688923_at
ENSMUSG00000002963	ENSMUST00000107876	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000107876	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000003044	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000003044	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000145850	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000145850	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000098478	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000098478	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000123015	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000123015	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000155050	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000155050	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000201882	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000201882	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000208666	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000208666	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000152747	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000152747	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000126860	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000126860	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000208385	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000208385	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000202646	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000200892	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000200892	aa682096_rc_at
ENSMUSG00000002963	ENSMUST00000144669	aa682096_rc_g_at
ENSMUSG00000002963	ENSMUST00000144669	aa682096_rc_at
ENSMUSG00000023967	ENSMUST00000024763	aa260824_s_at
ENSMUSG00000023967	ENSMUST00000134237	aa260824_s_at
ENSMUSG00000023967	ENSMUST00000147672	aa260824_s_at
ENSMUSG00000023967	ENSMUST00000146255	aa260824_s_at
ENSMUSG00000030223	ENSMUST00000167679	u37465_s_at
ENSMUSG00000030223	ENSMUST00000077115	u37465_s_at
ENSMUSG00000030223	ENSMUST00000167002	u37465_s_at
ENSMUSG00000030223	ENSMUST00000203914	u37465_s_at
ENSMUSG00000030223	ENSMUST00000203255	u37465_s_at
ENSMUSG00000030223	ENSMUST00000203127	u37465_s_at
ENSMUSG00000022053	ENSMUST00000022637	u92703_s_at
ENSMUSG00000022053	ENSMUST00000176161	u92703_s_at
ENSMUSG00000078771	ENSMUST00000103236	m34896_s_at
ENSMUSG00000078771	ENSMUST00000154415	m34896_s_at
ENSMUSG00000078771	ENSMUST00000146611	m34896_s_at
ENSMUSG00000078771	ENSMUST00000133148	m34896_s_at
ENSMUSG00000078771	ENSMUST00000170799	m34896_s_at
ENSMUSG00000049649	ENSMUST00000105911	D21062_s_at
ENSMUSG00000049649	ENSMUST00000052090	D21062_s_at
ENSMUSG00000049649	ENSMUST00000151025	D21062_s_at
ENSMUSG00000020716	ENSMUST00000108251	d30731_s_at
ENSMUSG00000020716	ENSMUST00000071325	d30731_s_at
ENSMUSG00000020716	ENSMUST00000122917	d30731_s_at
ENSMUSG00000020716	ENSMUST00000130979	d30731_s_at
ENSMUSG00000005354	ENSMUST00000005487	U85089_s_at
ENSMUSG00000005354	ENSMUST00000109748	U85089_s_at
ENSMUSG00000004221	ENSMUST00000114133	AA198384_at
ENSMUSG00000004221	ENSMUST00000114127	AA198384_at
ENSMUSG00000004221	ENSMUST00000064407	AA198384_at
ENSMUSG00000004221	ENSMUST00000004330	AA198384_at
ENSMUSG00000004221	ENSMUST00000164101	AA198384_at
ENSMUSG00000004221	ENSMUST00000114130	AA198384_at
ENSMUSG00000004221	ENSMUST00000180230	AA198384_at
ENSMUSG00000059498	ENSMUST00000168817	m14215_s_at
ENSMUSG00000059498	ENSMUST00000164044	m14215_s_at
ENSMUSG00000059498	ENSMUST00000169017	m14215_s_at
ENSMUSG00000042215	ENSMUST00000044691	aa407204_rc_s_at
ENSMUSG00000042215	ENSMUST00000155484	aa407204_rc_s_at
ENSMUSG00000067591	ENSMUST00000111998	u10305_f_at
ENSMUSG00000067591	ENSMUST00000088017	u10305_f_at
ENSMUSG00000041220	ENSMUST00000199910	c76452_rc_at
ENSMUSG00000041220	ENSMUST00000197070	c76452_rc_at
ENSMUSG00000041220	ENSMUST00000071402	c76452_rc_at
ENSMUSG00000041220	ENSMUST00000071402	aa561252_s_at
ENSMUSG00000041220	ENSMUST00000197235	c76452_rc_at
ENSMUSG00000024750	ENSMUST00000237651	aa510137_s_at
ENSMUSG00000024750	ENSMUST00000025659	aa510137_s_at
ENSMUSG00000024750	ENSMUST00000141568	aa510137_s_at
ENSMUSG00000024750	ENSMUST00000133175	aa510137_s_at
ENSMUSG00000037095	ENSMUST00000041357	aa172851_s_at
ENSMUSG00000057400	ENSMUST00000034189	M57960_s_at
ENSMUSG00000044148	ENSMUST00000060108	aa562096_at
ENSMUSG00000028488	ENSMUST00000030212	U58886_s_at
ENSMUSG00000083199	ENSMUST00000117810	aa607833_at
ENSMUSG00000082319	ENSMUST00000118948	aa122805_s_at
ENSMUSG00000110761	ENSMUST00000215964	aa546639_at
ENSMUSG00000110761	ENSMUST00000215964	aa546639_g_at
ENSMUSG00000047657	ENSMUST00000079090	m34173_g_at
ENSMUSG00000032112	ENSMUST00000213747	aa051641_s_at
ENSMUSG00000032112	ENSMUST00000034623	aa051641_s_at
ENSMUSG00000032112	ENSMUST00000217163	aa051641_s_at
ENSMUSG00000032112	ENSMUST00000217084	aa051641_s_at
ENSMUSG00000032112	ENSMUST00000215072	aa051641_s_at
ENSMUSG00000032959	ENSMUST00000036951	u43206_s_at
ENSMUSG00000032959	ENSMUST00000111973	u43206_s_at
ENSMUSG00000080902	ENSMUST00000120944	d87662_s_at
ENSMUSG00000030754	ENSMUST00000033012	AA269805_s_at
ENSMUSG00000030754	ENSMUST00000209394	AA269805_s_at
ENSMUSG00000051669	ENSMUST00000050160	c76225_rc_at
