Gene stable ID	Transcript stable ID	AFFY MG U74C probe
ENSMUSG00000031425	ENSMUST00000113085	139236_at
ENSMUSG00000044528	ENSMUST00000058994	135813_at
ENSMUSG00000022019	ENSMUST00000169504	129464_at
ENSMUSG00000024228	ENSMUST00000025065	136626_r_at
ENSMUSG00000024228	ENSMUST00000174108	136626_r_at
ENSMUSG00000072955	ENSMUST00000127404	129151_s_at
ENSMUSG00000089996	ENSMUST00000069803	129151_s_at
ENSMUSG00000089996	ENSMUST00000180194	129151_s_at
ENSMUSG00000089768	ENSMUST00000113071	129151_s_at
ENSMUSG00000044348	ENSMUST00000145842	138960_f_at
ENSMUSG00000044348	ENSMUST00000123516	138960_f_at
ENSMUSG00000044348	ENSMUST00000125747	138960_f_at
ENSMUSG00000044348	ENSMUST00000154484	138960_f_at
ENSMUSG00000044348	ENSMUST00000148253	141053_at
ENSMUSG00000044348	ENSMUST00000136300	138960_f_at
ENSMUSG00000055421	ENSMUST00000192817	129028_at
ENSMUSG00000055421	ENSMUST00000194056	129028_at
ENSMUSG00000039285	ENSMUST00000044454	130060_at
ENSMUSG00000039285	ENSMUST00000044454	129292_r_at
ENSMUSG00000048915	ENSMUST00000076840	139594_at
ENSMUSG00000032087	ENSMUST00000213919	138169_at
ENSMUSG00000032087	ENSMUST00000239471	138169_at
ENSMUSG00000032087	ENSMUST00000034592	138169_at
ENSMUSG00000032087	ENSMUST00000239429	138169_at
ENSMUSG00000032854	ENSMUST00000057944	138069_at
ENSMUSG00000032854	ENSMUST00000198610	138069_at
ENSMUSG00000070280	ENSMUST00000093775	139397_at
ENSMUSG00000070280	ENSMUST00000152061	139397_at
ENSMUSG00000070280	ENSMUST00000170400	139397_at
ENSMUSG00000042498	ENSMUST00000046763	131636_at
ENSMUSG00000042498	ENSMUST00000113030	131636_at
ENSMUSG00000040586	ENSMUST00000049501	135642_at
ENSMUSG00000084920	ENSMUST00000153701	133685_at
ENSMUSG00000098761	ENSMUST00000184135	128858_r_at
ENSMUSG00000102143	ENSMUST00000195551	129096_at
ENSMUSG00000052336	ENSMUST00000064165	130459_at
ENSMUSG00000052336	ENSMUST00000215016	130459_at
ENSMUSG00000052336	ENSMUST00000177637	130459_at
ENSMUSG00000032228	ENSMUST00000183784	137487_at
ENSMUSG00000032228	ENSMUST00000184029	137487_at
ENSMUSG00000111028	ENSMUST00000214963	132528_at
ENSMUSG00000111028	ENSMUST00000216043	132528_at
ENSMUSG00000041794	ENSMUST00000048121	138537_at
ENSMUSG00000041794	ENSMUST00000048121	138134_at
ENSMUSG00000041608	ENSMUST00000047687	135705_at
ENSMUSG00000041608	ENSMUST00000047687	131792_s_at
ENSMUSG00000099190	ENSMUST00000184383	135957_at
ENSMUSG00000037674	ENSMUST00000163401	134685_at
ENSMUSG00000037674	ENSMUST00000093820	134685_at
ENSMUSG00000032216	ENSMUST00000184450	133832_at
ENSMUSG00000032216	ENSMUST00000184333	133832_at
ENSMUSG00000036030	ENSMUST00000055535	129228_f_at
ENSMUSG00000079469	ENSMUST00000183746	128808_at
ENSMUSG00000079469	ENSMUST00000098566	128808_at
ENSMUSG00000079469	ENSMUST00000093819	128808_at
ENSMUSG00000092192	ENSMUST00000098567	134646_at
ENSMUSG00000092192	ENSMUST00000034734	134646_at
ENSMUSG00000075470	ENSMUST00000100309	129017_at
ENSMUSG00000075470	ENSMUST00000231200	129017_at
ENSMUSG00000042425	ENSMUST00000208130	136260_at
ENSMUSG00000038671	ENSMUST00000185118	131421_at
ENSMUSG00000038671	ENSMUST00000170190	131421_at
ENSMUSG00000068099	ENSMUST00000136948	137180_at
ENSMUSG00000068099	ENSMUST00000143238	137180_at
ENSMUSG00000022111	ENSMUST00000002289	129267_at
ENSMUSG00000022111	ENSMUST00000228773	129267_at
ENSMUSG00000022111	ENSMUST00000226340	129267_at
ENSMUSG00000027583	ENSMUST00000029106	133655_at
ENSMUSG00000032254	ENSMUST00000034815	129059_at
ENSMUSG00000032254	ENSMUST00000216812	129059_at
ENSMUSG00000032254	ENSMUST00000216717	129059_at
ENSMUSG00000032254	ENSMUST00000214940	129059_at
ENSMUSG00000032254	ENSMUST00000216746	129059_at
ENSMUSG00000032254	ENSMUST00000214295	129059_at
ENSMUSG00000022456	ENSMUST00000238416	138963_r_at
ENSMUSG00000022456	ENSMUST00000239048	138963_r_at
ENSMUSG00000022456	ENSMUST00000116423	138963_r_at
ENSMUSG00000022456	ENSMUST00000023095	138963_r_at
ENSMUSG00000032278	ENSMUST00000034817	130510_at
ENSMUSG00000032278	ENSMUST00000113990	130510_at
ENSMUSG00000032278	ENSMUST00000135050	130510_at
ENSMUSG00000000826	ENSMUST00000072334	137715_at
ENSMUSG00000000826	ENSMUST00000116365	137715_at
ENSMUSG00000000826	ENSMUST00000108797	137715_at
ENSMUSG00000079834	ENSMUST00000115964	138802_at
ENSMUSG00000064982	ENSMUST00000083048	131226_at
ENSMUSG00000104767	ENSMUST00000197610	135584_at
ENSMUSG00000098836	ENSMUST00000183702	134295_at
ENSMUSG00000092741	ENSMUST00000175000	131231_r_at
ENSMUSG00000095666	ENSMUST00000178466	130548_at
ENSMUSG00000096756	ENSMUST00000177719	130548_at
ENSMUSG00000094722	ENSMUST00000180291	130548_at
ENSMUSG00000099235	ENSMUST00000184904	139503_at
ENSMUSG00000053706	ENSMUST00000066298	140455_at
ENSMUSG00000023147	ENSMUST00000023913	131182_r_at
ENSMUSG00000023147	ENSMUST00000023913	131181_i_at
ENSMUSG00000023147	ENSMUST00000232832	131182_r_at
ENSMUSG00000023147	ENSMUST00000232832	131181_i_at
ENSMUSG00000023147	ENSMUST00000233566	131182_r_at
ENSMUSG00000023147	ENSMUST00000233566	131181_i_at
ENSMUSG00000108313	ENSMUST00000206457	133898_at
ENSMUSG00000021188	ENSMUST00000021605	133686_at
ENSMUSG00000021188	ENSMUST00000177183	133686_at
ENSMUSG00000005846	ENSMUST00000129962	128954_f_at
ENSMUSG00000021973	ENSMUST00000224607	134490_at
ENSMUSG00000021973	ENSMUST00000224607	136214_at
ENSMUSG00000022544	ENSMUST00000064635	140005_at
ENSMUSG00000022544	ENSMUST00000132225	140005_at
ENSMUSG00000053460	ENSMUST00000207012	133436_at
ENSMUSG00000044465	ENSMUST00000179474	129433_at
ENSMUSG00000079455	ENSMUST00000159695	136557_at
ENSMUSG00000022684	ENSMUST00000148079	135226_at
ENSMUSG00000033342	ENSMUST00000239347	136773_f_at
ENSMUSG00000033342	ENSMUST00000039564	136773_f_at
ENSMUSG00000033342	ENSMUST00000238937	136773_f_at
ENSMUSG00000033342	ENSMUST00000106473	136773_f_at
ENSMUSG00000086336	ENSMUST00000145488	140905_i_at
ENSMUSG00000086336	ENSMUST00000145488	140906_r_at
ENSMUSG00000086336	ENSMUST00000145488	136088_at
ENSMUSG00000037110	ENSMUST00000109986	137058_at
ENSMUSG00000037110	ENSMUST00000228797	137058_at
ENSMUSG00000097303	ENSMUST00000180534	133236_at
ENSMUSG00000097303	ENSMUST00000180534	133237_g_at
ENSMUSG00000097303	ENSMUST00000224786	133236_at
ENSMUSG00000097303	ENSMUST00000224786	133237_g_at
ENSMUSG00000000791	ENSMUST00000211936	135076_at
ENSMUSG00000000791	ENSMUST00000212251	135076_at
ENSMUSG00000000791	ENSMUST00000212826	135076_at
ENSMUSG00000047361	ENSMUST00000190490	130149_i_at
ENSMUSG00000047361	ENSMUST00000190490	130150_f_at
ENSMUSG00000024614	ENSMUST00000025515	138995_at
ENSMUSG00000019579	ENSMUST00000019723	134595_at
ENSMUSG00000026896	ENSMUST00000175964	133277_at
ENSMUSG00000034674	ENSMUST00000092266	140253_i_at
ENSMUSG00000034674	ENSMUST00000092266	140254_f_at
ENSMUSG00000034674	ENSMUST00000151390	140253_i_at
ENSMUSG00000034674	ENSMUST00000151390	140254_f_at
ENSMUSG00000037843	ENSMUST00000109523	130721_r_at
ENSMUSG00000110353	ENSMUST00000209662	133804_at
ENSMUSG00000110353	ENSMUST00000211096	133804_at
ENSMUSG00000110353	ENSMUST00000210336	133804_at
ENSMUSG00000031626	ENSMUST00000145458	140269_i_at
ENSMUSG00000031626	ENSMUST00000134321	140269_i_at
ENSMUSG00000031626	ENSMUST00000135336	140269_i_at
ENSMUSG00000031626	ENSMUST00000127395	140269_i_at
ENSMUSG00000031626	ENSMUST00000130850	140269_i_at
ENSMUSG00000089798	ENSMUST00000163064	130514_f_at
ENSMUSG00000089798	ENSMUST00000163064	128936_f_at
ENSMUSG00000089798	ENSMUST00000159902	130514_f_at
ENSMUSG00000089798	ENSMUST00000162591	130514_f_at
ENSMUSG00000089798	ENSMUST00000162591	128936_f_at
ENSMUSG00000089798	ENSMUST00000238787	130514_f_at
ENSMUSG00000089798	ENSMUST00000238787	128936_f_at
ENSMUSG00000028691	ENSMUST00000135573	136105_at
ENSMUSG00000028691	ENSMUST00000030454	136105_at
ENSMUSG00000024044	ENSMUST00000239167	130667_at
ENSMUSG00000024044	ENSMUST00000225740	130667_at
ENSMUSG00000024044	ENSMUST00000080208	130667_at
ENSMUSG00000024044	ENSMUST00000225977	130667_at
ENSMUSG00000024044	ENSMUST00000238898	130667_at
ENSMUSG00000024044	ENSMUST00000233509	130667_at
ENSMUSG00000024044	ENSMUST00000232706	130667_at
ENSMUSG00000024044	ENSMUST00000224523	130667_at
ENSMUSG00000024044	ENSMUST00000112680	130667_at
ENSMUSG00000043909	ENSMUST00000110647	130753_at
ENSMUSG00000043909	ENSMUST00000110648	130753_at
ENSMUSG00000043909	ENSMUST00000147540	130753_at
ENSMUSG00000038271	ENSMUST00000119527	128666_at
ENSMUSG00000038271	ENSMUST00000144364	128666_at
ENSMUSG00000038271	ENSMUST00000139071	128666_at
ENSMUSG00000038271	ENSMUST00000117675	128666_at
ENSMUSG00000038271	ENSMUST00000141230	128666_at
ENSMUSG00000038271	ENSMUST00000148835	128666_at
ENSMUSG00000038271	ENSMUST00000135559	128666_at
ENSMUSG00000038271	ENSMUST00000150474	128666_at
ENSMUSG00000107704	ENSMUST00000203752	137489_at
ENSMUSG00000097537	ENSMUST00000181526	135534_at
ENSMUSG00000097537	ENSMUST00000230166	135534_at
ENSMUSG00000097537	ENSMUST00000229756	135534_at
ENSMUSG00000097537	ENSMUST00000230245	135534_at
ENSMUSG00000085187	ENSMUST00000125185	134803_at
ENSMUSG00000032561	ENSMUST00000062723	133997_at
ENSMUSG00000058624	ENSMUST00000087600	139512_at
ENSMUSG00000058624	ENSMUST00000237823	139512_at
ENSMUSG00000058624	ENSMUST00000121725	139512_at
ENSMUSG00000017412	ENSMUST00000102760	138381_at
ENSMUSG00000017412	ENSMUST00000102761	138381_at
ENSMUSG00000017412	ENSMUST00000078324	138381_at
ENSMUSG00000017412	ENSMUST00000178799	138381_at
ENSMUSG00000027303	ENSMUST00000028769	138497_at
ENSMUSG00000072825	ENSMUST00000101018	131216_f_at
ENSMUSG00000072825	ENSMUST00000222711	131216_f_at
ENSMUSG00000072825	ENSMUST00000221853	131216_f_at
ENSMUSG00000072825	ENSMUST00000221125	131216_f_at
ENSMUSG00000072825	ENSMUST00000179041	131216_f_at
ENSMUSG00000072825	ENSMUST00000092279	131216_f_at
ENSMUSG00000047115	ENSMUST00000060561	132142_at
ENSMUSG00000047115	ENSMUST00000121903	132142_at
ENSMUSG00000047115	ENSMUST00000141910	132142_at
ENSMUSG00000047115	ENSMUST00000203182	132142_at
ENSMUSG00000030507	ENSMUST00000032717	129205_at
ENSMUSG00000029154	ENSMUST00000031040	138788_f_at
ENSMUSG00000029154	ENSMUST00000065543	138788_f_at
ENSMUSG00000028060	ENSMUST00000200364	136134_at
ENSMUSG00000028060	ENSMUST00000200438	136134_at
ENSMUSG00000097035	ENSMUST00000180428	133472_at
ENSMUSG00000106631	ENSMUST00000160160	130514_f_at
ENSMUSG00000106631	ENSMUST00000160160	128936_f_at
ENSMUSG00000031242	ENSMUST00000120722	130649_at
ENSMUSG00000085087	ENSMUST00000139288	136213_at
ENSMUSG00000104388	ENSMUST00000193199	133445_at
ENSMUSG00000044783	ENSMUST00000054674	128809_at
ENSMUSG00000044783	ENSMUST00000147393	128809_at
ENSMUSG00000060029	ENSMUST00000136793	133823_at
ENSMUSG00000060029	ENSMUST00000079964	133823_at
ENSMUSG00000049436	ENSMUST00000057767	129321_at
ENSMUSG00000027560	ENSMUST00000029075	137134_f_at
ENSMUSG00000010067	ENSMUST00000125080	133469_at
ENSMUSG00000010067	ENSMUST00000191832	133469_at
ENSMUSG00000034863	ENSMUST00000093450	138983_r_at
ENSMUSG00000034863	ENSMUST00000213382	138983_r_at
ENSMUSG00000034863	ENSMUST00000212768	138983_r_at
ENSMUSG00000034863	ENSMUST00000213016	138983_r_at
ENSMUSG00000044206	ENSMUST00000050707	132172_at
ENSMUSG00000030604	ENSMUST00000205671	133970_at
ENSMUSG00000042133	ENSMUST00000090858	135437_r_at
ENSMUSG00000042133	ENSMUST00000040915	135437_r_at
ENSMUSG00000031698	ENSMUST00000122452	135143_at
ENSMUSG00000031698	ENSMUST00000138825	135143_at
ENSMUSG00000030691	ENSMUST00000145802	129002_r_at
ENSMUSG00000020024	ENSMUST00000220352	130269_r_at
ENSMUSG00000035067	ENSMUST00000176510	133465_at
ENSMUSG00000027894	ENSMUST00000169449	138059_at
ENSMUSG00000027894	ENSMUST00000029499	138059_at
ENSMUSG00000027894	ENSMUST00000168211	138059_at
ENSMUSG00000004894	ENSMUST00000160737	135243_at
ENSMUSG00000020420	ENSMUST00000205715	129439_at
ENSMUSG00000020420	ENSMUST00000205534	129439_at
ENSMUSG00000020420	ENSMUST00000053722	129439_at
ENSMUSG00000032621	ENSMUST00000210489	141158_r_at
ENSMUSG00000047694	ENSMUST00000054697	134075_at
ENSMUSG00000033554	ENSMUST00000197561	136401_at
ENSMUSG00000033554	ENSMUST00000199970	136401_at
ENSMUSG00000032563	ENSMUST00000035177	139162_at
ENSMUSG00000068966	ENSMUST00000113158	136263_at
ENSMUSG00000068966	ENSMUST00000091037	136263_at
ENSMUSG00000023951	ENSMUST00000024747	141073_at
ENSMUSG00000023951	ENSMUST00000071648	141073_at
ENSMUSG00000023951	ENSMUST00000142351	141073_at
ENSMUSG00000074212	ENSMUST00000090178	135884_at
ENSMUSG00000054426	ENSMUST00000191182	133427_r_at
ENSMUSG00000054426	ENSMUST00000185512	133427_r_at
ENSMUSG00000095193	ENSMUST00000234295	140565_f_at
ENSMUSG00000095193	ENSMUST00000108007	140565_f_at
ENSMUSG00000022683	ENSMUST00000023364	140045_at
ENSMUSG00000022683	ENSMUST00000127780	140045_at
ENSMUSG00000042202	ENSMUST00000105608	130557_at
ENSMUSG00000042202	ENSMUST00000043829	130557_at
ENSMUSG00000042202	ENSMUST00000151425	130557_at
ENSMUSG00000022095	ENSMUST00000022690	129075_at
ENSMUSG00000000441	ENSMUST00000130528	140282_f_at
ENSMUSG00000000441	ENSMUST00000112949	140282_f_at
ENSMUSG00000000441	ENSMUST00000000451	140282_f_at
ENSMUSG00000000441	ENSMUST00000203276	140282_f_at
ENSMUSG00000022811	ENSMUST00000165418	139484_r_at
ENSMUSG00000027651	ENSMUST00000109519	134161_at
ENSMUSG00000086682	ENSMUST00000137752	134847_at
ENSMUSG00000031385	ENSMUST00000149478	134718_at
ENSMUSG00000031385	ENSMUST00000146812	134718_at
ENSMUSG00000031385	ENSMUST00000147127	134718_at
ENSMUSG00000031385	ENSMUST00000002079	134718_at
ENSMUSG00000043827	ENSMUST00000208047	136931_f_at
ENSMUSG00000021620	ENSMUST00000022120	140022_at
ENSMUSG00000021620	ENSMUST00000159214	140022_at
ENSMUSG00000043843	ENSMUST00000119703	138159_i_at
ENSMUSG00000043843	ENSMUST00000119703	138160_f_at
ENSMUSG00000043843	ENSMUST00000205639	138159_i_at
ENSMUSG00000043843	ENSMUST00000205639	138160_f_at
ENSMUSG00000043843	ENSMUST00000108409	138159_i_at
ENSMUSG00000043843	ENSMUST00000108409	138160_f_at
ENSMUSG00000040483	ENSMUST00000146233	129005_at
ENSMUSG00000086629	ENSMUST00000123040	129142_at
ENSMUSG00000086629	ENSMUST00000152089	130602_at
ENSMUSG00000086629	ENSMUST00000151166	130602_at
ENSMUSG00000086629	ENSMUST00000124329	129142_at
ENSMUSG00000053141	ENSMUST00000109445	138395_at
ENSMUSG00000053141	ENSMUST00000109443	138395_at
ENSMUSG00000063663	ENSMUST00000150434	135208_at
ENSMUSG00000063663	ENSMUST00000041866	135208_at
ENSMUSG00000063663	ENSMUST00000144521	135208_at
ENSMUSG00000107994	ENSMUST00000203858	132538_at
ENSMUSG00000107994	ENSMUST00000203121	132538_at
ENSMUSG00000116081	ENSMUST00000229365	138053_r_at
ENSMUSG00000032570	ENSMUST00000112558	137048_at
ENSMUSG00000032570	ENSMUST00000038118	137048_at
ENSMUSG00000032570	ENSMUST00000085133	137048_at
ENSMUSG00000025134	ENSMUST00000026125	135150_at
ENSMUSG00000055561	ENSMUST00000069245	136165_at
ENSMUSG00000030058	ENSMUST00000049966	137583_f_at
ENSMUSG00000022211	ENSMUST00000228877	134751_at
ENSMUSG00000022211	ENSMUST00000226757	134751_at
ENSMUSG00000022211	ENSMUST00000076236	134751_at
ENSMUSG00000022211	ENSMUST00000227563	134751_at
ENSMUSG00000022211	ENSMUST00000227312	134751_at
ENSMUSG00000022211	ENSMUST00000226388	134751_at
ENSMUSG00000022211	ENSMUST00000228760	134751_at
ENSMUSG00000022211	ENSMUST00000226653	134751_at
ENSMUSG00000091512	ENSMUST00000197798	135884_at
ENSMUSG00000091512	ENSMUST00000196632	135884_at
ENSMUSG00000074785	ENSMUST00000099337	135796_at
ENSMUSG00000015981	ENSMUST00000016125	138384_at
ENSMUSG00000015981	ENSMUST00000165870	138384_at
ENSMUSG00000098950	ENSMUST00000127956	133078_f_at
ENSMUSG00000098950	ENSMUST00000132494	133078_f_at
ENSMUSG00000101264	ENSMUST00000185380	134156_at
ENSMUSG00000049336	ENSMUST00000102801	133154_at
ENSMUSG00000049336	ENSMUST00000057207	133154_at
ENSMUSG00000053963	ENSMUST00000136521	138165_at
ENSMUSG00000036833	ENSMUST00000137913	138122_at
ENSMUSG00000114441	ENSMUST00000224109	137145_at
ENSMUSG00000031930	ENSMUST00000212906	133398_at
ENSMUSG00000031930	ENSMUST00000212012	133398_at
ENSMUSG00000021371	ENSMUST00000021800	129053_at
ENSMUSG00000021371	ENSMUST00000223347	129053_at
ENSMUSG00000026470	ENSMUST00000027743	131575_at
ENSMUSG00000026470	ENSMUST00000192690	131575_at
ENSMUSG00000028865	ENSMUST00000218338	130971_at
ENSMUSG00000028865	ENSMUST00000105910	130971_at
ENSMUSG00000028865	ENSMUST00000126929	130971_at
ENSMUSG00000028865	ENSMUST00000134713	130971_at
ENSMUSG00000066595	ENSMUST00000193399	133931_at
ENSMUSG00000115293	ENSMUST00000120394	138204_at
ENSMUSG00000115293	ENSMUST00000079600	138204_at
ENSMUSG00000086968	ENSMUST00000131345	141105_s_at
ENSMUSG00000086968	ENSMUST00000144591	141105_s_at
ENSMUSG00000086968	ENSMUST00000152663	141105_s_at
ENSMUSG00000086968	ENSMUST00000146337	141105_s_at
ENSMUSG00000086968	ENSMUST00000133570	141105_s_at
ENSMUSG00000086968	ENSMUST00000137800	141105_s_at
ENSMUSG00000086968	ENSMUST00000137970	141105_s_at
ENSMUSG00000026131	ENSMUST00000183302	136074_at
ENSMUSG00000026131	ENSMUST00000189952	136074_at
ENSMUSG00000004892	ENSMUST00000194596	137318_at
ENSMUSG00000004892	ENSMUST00000192274	137318_at
ENSMUSG00000004892	ENSMUST00000193276	137318_at
ENSMUSG00000103364	ENSMUST00000194178	137086_at
ENSMUSG00000090891	ENSMUST00000170124	131391_at
ENSMUSG00000090891	ENSMUST00000204927	131391_at
ENSMUSG00000090891	ENSMUST00000203747	131391_at
ENSMUSG00000090891	ENSMUST00000203725	131391_at
ENSMUSG00000090891	ENSMUST00000205257	131391_at
ENSMUSG00000021748	ENSMUST00000225735	130494_f_at
ENSMUSG00000021748	ENSMUST00000224864	130494_f_at
ENSMUSG00000021748	ENSMUST00000224690	130494_f_at
ENSMUSG00000032062	ENSMUST00000034564	130292_at
ENSMUSG00000032062	ENSMUST00000239417	130292_at
ENSMUSG00000022843	ENSMUST00000007207	139269_at
ENSMUSG00000022843	ENSMUST00000007207	132373_at
ENSMUSG00000022843	ENSMUST00000148131	139269_at
ENSMUSG00000022843	ENSMUST00000148131	132373_at
ENSMUSG00000022843	ENSMUST00000153075	139269_at
ENSMUSG00000022843	ENSMUST00000153075	132373_at
ENSMUSG00000032060	ENSMUST00000217475	136899_at
ENSMUSG00000021719	ENSMUST00000063551	128915_at
ENSMUSG00000025666	ENSMUST00000026760	128848_r_at
ENSMUSG00000022223	ENSMUST00000227163	131413_at
ENSMUSG00000022223	ENSMUST00000226427	131413_at
ENSMUSG00000022223	ENSMUST00000227268	131413_at
ENSMUSG00000022223	ENSMUST00000227387	131413_at
ENSMUSG00000022223	ENSMUST00000227139	131413_at
ENSMUSG00000022223	ENSMUST00000228209	131413_at
ENSMUSG00000022223	ENSMUST00000227499	131413_at
ENSMUSG00000022223	ENSMUST00000227712	131413_at
ENSMUSG00000022223	ENSMUST00000227965	131413_at
ENSMUSG00000022223	ENSMUST00000226746	133596_at
ENSMUSG00000022223	ENSMUST00000228151	133596_at
ENSMUSG00000022223	ENSMUST00000227677	133596_at
ENSMUSG00000049929	ENSMUST00000060576	132227_at
ENSMUSG00000028036	ENSMUST00000029670	133938_at
ENSMUSG00000046613	ENSMUST00000159780	136675_at
ENSMUSG00000046613	ENSMUST00000046188	136675_at
ENSMUSG00000046613	ENSMUST00000231608	136675_at
ENSMUSG00000046613	ENSMUST00000096197	136675_at
ENSMUSG00000025025	ENSMUST00000025998	141006_r_at
ENSMUSG00000017264	ENSMUST00000173767	128751_at
ENSMUSG00000017264	ENSMUST00000126897	128751_at
ENSMUSG00000037406	ENSMUST00000084031	129661_at
ENSMUSG00000032558	ENSMUST00000193642	134129_at
ENSMUSG00000032558	ENSMUST00000035167	134129_at
ENSMUSG00000032558	ENSMUST00000194774	134129_at
ENSMUSG00000032558	ENSMUST00000193439	134129_at
ENSMUSG00000112035	ENSMUST00000217769	137675_at
ENSMUSG00000042662	ENSMUST00000123121	139507_at
ENSMUSG00000042662	ENSMUST00000185197	139507_at
ENSMUSG00000027224	ENSMUST00000110538	141077_at
ENSMUSG00000027224	ENSMUST00000155561	141077_at
ENSMUSG00000027224	ENSMUST00000028653	141077_at
ENSMUSG00000035086	ENSMUST00000139669	135653_at
ENSMUSG00000053181	ENSMUST00000065465	138413_at
ENSMUSG00000052056	ENSMUST00000109155	130397_at
ENSMUSG00000052056	ENSMUST00000063710	130397_at
ENSMUSG00000005677	ENSMUST00000152865	134529_at
ENSMUSG00000031953	ENSMUST00000034431	139560_at
ENSMUSG00000022255	ENSMUST00000172082	138009_at
ENSMUSG00000022255	ENSMUST00000022865	138009_at
ENSMUSG00000022255	ENSMUST00000163697	138009_at
ENSMUSG00000022255	ENSMUST00000168991	138009_at
ENSMUSG00000058317	ENSMUST00000176555	131208_at
ENSMUSG00000058317	ENSMUST00000150727	131208_at
ENSMUSG00000058317	ENSMUST00000175643	131208_at
ENSMUSG00000058317	ENSMUST00000176672	131208_at
ENSMUSG00000058317	ENSMUST00000176843	131208_at
ENSMUSG00000058317	ENSMUST00000076133	131208_at
ENSMUSG00000030614	ENSMUST00000032843	130518_at
ENSMUSG00000022842	ENSMUST00000003898	138204_at
ENSMUSG00000022842	ENSMUST00000133344	138204_at
ENSMUSG00000022842	ENSMUST00000125971	138204_at
ENSMUSG00000022842	ENSMUST00000231739	138204_at
ENSMUSG00000097893	ENSMUST00000191287	135976_at
ENSMUSG00000097893	ENSMUST00000189431	135976_at
ENSMUSG00000097893	ENSMUST00000209020	135976_at
ENSMUSG00000104158	ENSMUST00000201297	130398_at
ENSMUSG00000104158	ENSMUST00000194391	130398_at
ENSMUSG00000118018	ENSMUST00000235649	132231_at
ENSMUSG00000116180	ENSMUST00000229665	130704_f_at
ENSMUSG00000097093	ENSMUST00000181034	137720_at
ENSMUSG00000042647	ENSMUST00000041252	139748_at
ENSMUSG00000042647	ENSMUST00000197306	139748_at
ENSMUSG00000066113	ENSMUST00000048885	138387_at
ENSMUSG00000066113	ENSMUST00000141889	138387_at
ENSMUSG00000066113	ENSMUST00000120678	138387_at
ENSMUSG00000066113	ENSMUST00000150043	134849_at
ENSMUSG00000066113	ENSMUST00000150043	138387_at
ENSMUSG00000066113	ENSMUST00000107178	138387_at
ENSMUSG00000078653	ENSMUST00000103107	131533_f_at
ENSMUSG00000112761	ENSMUST00000217897	137675_at
ENSMUSG00000021427	ENSMUST00000021864	137565_at
ENSMUSG00000021427	ENSMUST00000021864	135739_at
ENSMUSG00000018920	ENSMUST00000019064	134771_at
ENSMUSG00000018920	ENSMUST00000126391	134771_at
ENSMUSG00000018920	ENSMUST00000154475	134771_at
ENSMUSG00000024136	ENSMUST00000153858	136229_at
ENSMUSG00000024136	ENSMUST00000088506	136229_at
ENSMUSG00000024136	ENSMUST00000119932	136229_at
ENSMUSG00000024136	ENSMUST00000129401	136229_at
ENSMUSG00000024136	ENSMUST00000154675	136229_at
ENSMUSG00000118086	ENSMUST00000235456	136468_at
ENSMUSG00000108592	ENSMUST00000206810	131448_at
ENSMUSG00000108592	ENSMUST00000238805	131448_at
ENSMUSG00000116657	ENSMUST00000231483	133694_at
ENSMUSG00000020023	ENSMUST00000065060	131255_at
ENSMUSG00000020023	ENSMUST00000117460	131255_at
ENSMUSG00000020023	ENSMUST00000117929	131255_at
ENSMUSG00000112223	ENSMUST00000218843	136652_at
ENSMUSG00000112600	ENSMUST00000220393	136652_at
ENSMUSG00000046994	ENSMUST00000061334	133423_at
ENSMUSG00000002617	ENSMUST00000037057	136257_at
ENSMUSG00000002617	ENSMUST00000142999	136257_at
ENSMUSG00000006764	ENSMUST00000006949	134635_at
ENSMUSG00000098108	ENSMUST00000182414	133278_at
ENSMUSG00000028693	ENSMUST00000134038	136587_at
ENSMUSG00000028693	ENSMUST00000148436	136587_at
ENSMUSG00000050179	ENSMUST00000060946	133286_at
ENSMUSG00000050179	ENSMUST00000182132	133286_at
ENSMUSG00000027374	ENSMUST00000028852	135879_at
ENSMUSG00000027374	ENSMUST00000128535	135879_at
ENSMUSG00000027374	ENSMUST00000145271	135879_at
ENSMUSG00000031533	ENSMUST00000033934	133307_f_at
ENSMUSG00000031533	ENSMUST00000211083	133307_f_at
ENSMUSG00000097640	ENSMUST00000200143	136082_at
ENSMUSG00000097640	ENSMUST00000180470	136082_at
ENSMUSG00000027074	ENSMUST00000090726	135054_r_at
ENSMUSG00000018846	ENSMUST00000018990	135383_r_at
ENSMUSG00000039296	ENSMUST00000085733	136099_at
ENSMUSG00000039296	ENSMUST00000195900	136099_at
ENSMUSG00000039296	ENSMUST00000160502	136099_at
ENSMUSG00000028874	ENSMUST00000030693	134795_at
ENSMUSG00000028874	ENSMUST00000138179	134795_at
ENSMUSG00000005501	ENSMUST00000189409	134640_at
ENSMUSG00000005501	ENSMUST00000040783	134640_at
ENSMUSG00000005501	ENSMUST00000187758	134640_at
ENSMUSG00000005501	ENSMUST00000188332	134640_at
ENSMUSG00000005501	ENSMUST00000186670	134640_at
ENSMUSG00000050705	ENSMUST00000146451	132370_at
ENSMUSG00000029455	ENSMUST00000031411	137697_at
ENSMUSG00000029455	ENSMUST00000196694	137697_at
ENSMUSG00000038692	ENSMUST00000049241	132496_f_at
ENSMUSG00000031608	ENSMUST00000034021	129343_at
ENSMUSG00000031608	ENSMUST00000110316	129343_at
ENSMUSG00000031608	ENSMUST00000156907	129343_at
