ID	ENSEMBL_ID	NAME	DESCRIPTION	SPECIES_ID
559439	ENSOCUG00000009229	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	9986
559440	ENSOCUG00000009230	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]	9986
559441	ENSOCUG00000009231	OXCT1	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]	9986
559442	ENSOCUG00000009233	ADNP2	ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]	9986
559443	ENSOCUG00000009234	USP45	ubiquitin specific peptidase 45 [Source:HGNC Symbol;Acc:HGNC:20080]	9986
559444	ENSOCUG00000009235	LEMD1	LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18725]	9986
559445	ENSOCUG00000009236	FAM135A	family with sequence similarity 135 member A [Source:HGNC Symbol;Acc:HGNC:21084]	9986
559446	ENSOCUG00000009237	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881]	9986
559447	ENSOCUG00000009239	NUDT1	nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]	9986
559448	ENSOCUG00000009240	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]	9986
559449	ENSOCUG00000009241	RAB11FIP2	RAB11 family interacting protein 2 (class I) [Source:HGNC Symbol;Acc:HGNC:29152]	9986
559450	ENSOCUG00000009242	C5orf51	chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]	9986
559451	ENSOCUG00000009243	FAM20B	family with sequence similarity 20 member B [Source:HGNC Symbol;Acc:HGNC:23017]	9986
559452	ENSOCUG00000009244	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	9986
559453	ENSOCUG00000009245	TRPC5	Short transient receptor potential channel 5 [Source:UniProtKB/Swiss-Prot;Acc:O62852]	9986
559454	ENSOCUG00000009246	GCM1	glial cells missing homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:4197]	9986
559455	ENSOCUG00000009248	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	9986
559456	ENSOCUG00000009249	HSPB11	heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019]	9986
559457	ENSOCUG00000009251	TBC1D25	TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]	9986
559458	ENSOCUG00000009253		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWV6]	9986
559459	ENSOCUG00000009254	CCDC70	coiled-coil domain containing 70 [Source:HGNC Symbol;Acc:HGNC:25303]	9986
559460	ENSOCUG00000009257	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	9986
559461	ENSOCUG00000009258	AMIGO2	adhesion molecule with Ig-like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	9986
559462	ENSOCUG00000009259	AARSD1	alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]	9986
559463	ENSOCUG00000009260	PLCH1	phospholipase C eta 1 [Source:HGNC Symbol;Acc:HGNC:29185]	9986
559464	ENSOCUG00000009261	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]	9986
559465	ENSOCUG00000009263	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	9986
559466	ENSOCUG00000009265		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWW5]	9986
559467	ENSOCUG00000009266	CAND2	cullin-associated and neddylation-dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	9986
559468	ENSOCUG00000009267			9986
559469	ENSOCUG00000009268	RUNDC1	RUN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25418]	9986
559470	ENSOCUG00000009269	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	9986
559471	ENSOCUG00000009270	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	9986
559472	ENSOCUG00000009271	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled [Source:HGNC Symbol;Acc:HGNC:5287]	9986
559473	ENSOCUG00000009273		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWW6]	9986
559474	ENSOCUG00000009274	SRSF5	serine/arginine-rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	9986
559475	ENSOCUG00000009275	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:HGNC:9283]	9986
559476	ENSOCUG00000009276	MYBPC1	myosin binding protein C, slow type [Source:HGNC Symbol;Acc:HGNC:7549]	9986
559477	ENSOCUG00000009277	RND2	Rho family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:18315]	9986
559478	ENSOCUG00000009279	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	9986
559479	ENSOCUG00000009280	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10905]	9986
559480	ENSOCUG00000009283		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWX1]	9986
559481	ENSOCUG00000009284	KCTD6	potassium channel tetramerization domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22235]	9986
559482	ENSOCUG00000009285	C11orf53	chromosome 11 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30527]	9986
559483	ENSOCUG00000009286	ZCCHC14	zinc finger, CCHC domain containing 14 [Source:HGNC Symbol;Acc:HGNC:24134]	9986
559484	ENSOCUG00000009289	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	9986
559485	ENSOCUG00000009290	PLEKHG7	pleckstrin homology and RhoGEF domain containing G7 [Source:HGNC Symbol;Acc:HGNC:33829]	9986
559486	ENSOCUG00000009292	SYCP3	synaptonemal complex protein 3 [Source:HGNC Symbol;Acc:HGNC:18130]	9986
559487	ENSOCUG00000009293		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWY1]	9986
559488	ENSOCUG00000009294	EFR3A	EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]	9986
559489	ENSOCUG00000009295	EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	9986
559490	ENSOCUG00000009296	DHTKD1	dehydrogenase E1 and transketolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23537]	9986
559491	ENSOCUG00000009297	RAB6C	Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWY0]	9986
559492	ENSOCUG00000009298		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1U9C5]	9986
559493	ENSOCUG00000009299	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:HGNC Symbol;Acc:HGNC:29670]	9986
559494	ENSOCUG00000009302		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SWY4]	9986
559495	ENSOCUG00000009305	SEC61A2	Sec61 translocon alpha 2 subunit [Source:HGNC Symbol;Acc:HGNC:17702]	9986
559496	ENSOCUG00000009306	LARP6	La ribonucleoprotein domain family member 6 [Source:HGNC Symbol;Acc:HGNC:24012]	9986
559497	ENSOCUG00000009307			9986
559498	ENSOCUG00000009308	NUDT5	nudix hydrolase 5 [Source:HGNC Symbol;Acc:HGNC:8052]	9986
559499	ENSOCUG00000009309	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	9986
559500	ENSOCUG00000009310	TMEM18	transmembrane protein 18 [Source:HGNC Symbol;Acc:HGNC:25257]	9986
559501	ENSOCUG00000009311	CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]	9986
559502	ENSOCUG00000009312		Olfactory receptor [Source:UniProtKB/TrEMBL;Acc:G1SWZ0]	9986
559503	ENSOCUG00000009313	C20orf196	chromosome 20 open reading frame 196 [Source:HGNC Symbol;Acc:HGNC:26318]	9986
559504	ENSOCUG00000009315	SNAPC3	small nuclear RNA activating complex polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:11136]	9986
559505	ENSOCUG00000009316	CDC123	cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827]	9986
559506	ENSOCUG00000009317	MCM8	minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]	9986
559507	ENSOCUG00000009319	PSIP1	PC4 and SFRS1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]	9986
559508	ENSOCUG00000009321	LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	9986
559509	ENSOCUG00000009322	MCOLN2	mucolipin 2 [Source:HGNC Symbol;Acc:HGNC:13357]	9986
559510	ENSOCUG00000009323		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX01]	9986
559511	ENSOCUG00000009324	GJA1	Gap junction alpha-1 protein [Source:UniProtKB/Swiss-Prot;Acc:Q6TYA7]	9986
559512	ENSOCUG00000009325	PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9379]	9986
559513	ENSOCUG00000009326	TMEM167A	transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330]	9986
559514	ENSOCUG00000009327	CCDC171	coiled-coil domain containing 171 [Source:HGNC Symbol;Acc:HGNC:29828]	9986
559515	ENSOCUG00000009328	CRLS1	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]	9986
559516	ENSOCUG00000009329	NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	9986
559517	ENSOCUG00000009330	FMO5	Dimethylaniline monooxygenase [N-oxide-forming] [Source:UniProtKB/TrEMBL;Acc:G1SX06]	9986
559518	ENSOCUG00000009332	MCOLN3	mucolipin 3 [Source:HGNC Symbol;Acc:HGNC:13358]	9986
559519	ENSOCUG00000009336	CHD1L	chromodomain helicase DNA binding protein 1-like [Source:HGNC Symbol;Acc:HGNC:1916]	9986
559520	ENSOCUG00000009337			9986
559521	ENSOCUG00000009338		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX10]	9986
559522	ENSOCUG00000009340	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	9986
559523	ENSOCUG00000009342	THAP11	THAP domain containing 11 [Source:HGNC Symbol;Acc:HGNC:23194]	9986
559524	ENSOCUG00000009344			9986
559525	ENSOCUG00000009345			9986
559526	ENSOCUG00000009346	CHRM3	cholinergic receptor, muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	9986
559527	ENSOCUG00000009347	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	9986
559528	ENSOCUG00000009348	TRBV30	T cell receptor beta variable 30 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:12214]	9986
559529	ENSOCUG00000009350		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX16]	9986
559530	ENSOCUG00000009352	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	9986
559531	ENSOCUG00000009353	PPARA	peroxisome proliferator-activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	9986
559532	ENSOCUG00000009355	C5orf28	chromosome 5 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:26139]	9986
559533	ENSOCUG00000009356		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX22]	9986
559534	ENSOCUG00000009358	ZIC3	Zic family member 3 [Source:HGNC Symbol;Acc:HGNC:12874]	9986
559535	ENSOCUG00000009359			9986
559536	ENSOCUG00000009360	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	9986
559537	ENSOCUG00000009363	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	9986
559538	ENSOCUG00000009364			9986
559539	ENSOCUG00000009365	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	9986
559540	ENSOCUG00000009367	SETD7	SET domain containing (lysine methyltransferase) 7 [Source:HGNC Symbol;Acc:HGNC:30412]	9986
559541	ENSOCUG00000009368	DUSP22	dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]	9986
559542	ENSOCUG00000009369	VDAC1	Voltage-dependent anion-selective channel protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9TT15]	9986
559543	ENSOCUG00000009370	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	9986
559544	ENSOCUG00000009371	RMND5A	required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850]	9986
559545	ENSOCUG00000009374	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	9986
559546	ENSOCUG00000009375	PPP6C	protein phosphatase 6, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]	9986
559547	ENSOCUG00000009376	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	9986
559548	ENSOCUG00000009378	ZNF236	zinc finger protein 236 [Source:HGNC Symbol;Acc:HGNC:13028]	9986
559549	ENSOCUG00000009379	MIS18A	MIS18 kinetochore protein A [Source:HGNC Symbol;Acc:HGNC:1286]	9986
559550	ENSOCUG00000009380	TTLL11	tubulin tyrosine ligase like11 [Source:HGNC Symbol;Acc:HGNC:18113]	9986
559551	ENSOCUG00000009381	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:17344]	9986
559552	ENSOCUG00000009382	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	9986
559553	ENSOCUG00000009383	CFL2	cofilin 2 (muscle) [Source:HGNC Symbol;Acc:HGNC:1875]	9986
559554	ENSOCUG00000009384	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	9986
559555	ENSOCUG00000009385	SIGLECL1	SIGLEC family like 1 [Source:HGNC Symbol;Acc:HGNC:26856]	9986
559556	ENSOCUG00000009389		Olfactory receptor [Source:UniProtKB/TrEMBL;Acc:G1TYU9]	9986
559557	ENSOCUG00000009391		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX44]	9986
559558	ENSOCUG00000009394			9986
559559	ENSOCUG00000009395	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	9986
559560	ENSOCUG00000009397	STRBP	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	9986
559561	ENSOCUG00000009398	RBM19	RNA binding motif protein 19 [Source:HGNC Symbol;Acc:HGNC:29098]	9986
559562	ENSOCUG00000009399	CA4	carbonic anhydrase 4 precursor [Source:RefSeq peptide;Acc:NP_001075841]	9986
559563	ENSOCUG00000009400	DNAI2	dynein, axonemal, intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:18744]	9986
559564	ENSOCUG00000009401	CHN2	chimerin 2 [Source:HGNC Symbol;Acc:HGNC:1944]	9986
559565	ENSOCUG00000009402	USP32	ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]	9986
559566	ENSOCUG00000009403	PRR15	proline rich 15 [Source:HGNC Symbol;Acc:HGNC:22310]	9986
559567	ENSOCUG00000009404	KIF19	kinesin family member 19 [Source:HGNC Symbol;Acc:HGNC:26735]	9986
559568	ENSOCUG00000009405		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SX54]	9986
559569	ENSOCUG00000009406	OPN5	opsin 5 [Source:HGNC Symbol;Acc:HGNC:19992]	9986
559570	ENSOCUG00000009408	BTBD17	BTB (POZ) domain containing 17 [Source:HGNC Symbol;Acc:HGNC:33758]	9986
559571	ENSOCUG00000009409			9986
559572	ENSOCUG00000009410	SIPA1L3	signal-induced proliferation-associated 1 like 3 [Source:HGNC Symbol;Acc:HGNC:23801]	9986
559573	ENSOCUG00000009411	PTCHD4	patched domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21345]	9986
559574	ENSOCUG00000009412	MICALL1	MICAL like 1 [Source:HGNC Symbol;Acc:HGNC:29804]	9986
559575	ENSOCUG00000009413	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta [Source:HGNC Symbol;Acc:HGNC:23567]	9986
559576	ENSOCUG00000009414	C17orf64	chromosome 17 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26990]	9986
559577	ENSOCUG00000009416	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35 [Source:HGNC Symbol;Acc:HGNC:15861]	9986
559578	ENSOCUG00000009417	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	9986
559579	ENSOCUG00000009419	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	9986
559580	ENSOCUG00000009420	NLN	neurolysin (metallopeptidase M3 family) [Source:HGNC Symbol;Acc:HGNC:16058]	9986
559581	ENSOCUG00000009421	ZDBF2	zinc finger, DBF-type containing 2 [Source:HGNC Symbol;Acc:HGNC:29313]	9986
559582	ENSOCUG00000009422	C22orf23	chromosome 22 open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:18589]	9986
559583	ENSOCUG00000009424	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	9986
559584	ENSOCUG00000009427	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	9986
559585	ENSOCUG00000009428	RAB6B	RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]	9986
559586	ENSOCUG00000009429	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]	9986
559587	ENSOCUG00000009431	NCALD	neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]	9986
559588	ENSOCUG00000009432	PFDN1	prefoldin subunit 1 [Source:HGNC Symbol;Acc:HGNC:8866]	9986
559589	ENSOCUG00000009433	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	9986
559590	ENSOCUG00000009435	XKR5	X-linked Kx blood group related 5 [Source:HGNC Symbol;Acc:HGNC:20782]	9986
559591	ENSOCUG00000009436	CNGA2	cyclic nucleotide gated channel alpha 2 [Source:HGNC Symbol;Acc:HGNC:2149]	9986
559592	ENSOCUG00000009437	TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	9986
559593	ENSOCUG00000009438	CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	9986
559594	ENSOCUG00000009440	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	9986
559595	ENSOCUG00000009441	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	9986
559596	ENSOCUG00000009442	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	9986
559597	ENSOCUG00000009443	SLC7A10	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10 [Source:HGNC Symbol;Acc:HGNC:11058]	9986
559598	ENSOCUG00000009444	ALDH1A1	retinal dehydrogenase 1 [Source:RefSeq peptide;Acc:NP_001075482]	9986
559599	ENSOCUG00000009446			9986
559600	ENSOCUG00000009447	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	9986
559601	ENSOCUG00000009448	HELT	helt bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:33783]	9986
559602	ENSOCUG00000009449			9986
559603	ENSOCUG00000009450	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	9986
559604	ENSOCUG00000009451	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	9986
559605	ENSOCUG00000009452	MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	9986
559606	ENSOCUG00000009453	LRRC46	leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]	9986
559607	ENSOCUG00000009455	FRRS1	ferric-chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622]	9986
559608	ENSOCUG00000009456	TRUB1	TruB pseudouridine (psi) synthase family member 1 [Source:HGNC Symbol;Acc:HGNC:16060]	9986
559609	ENSOCUG00000009457	SCRN2	secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]	9986
559610	ENSOCUG00000009458			9986
559611	ENSOCUG00000009461	ESYT3	extended synaptotagmin-like protein 3 [Source:HGNC Symbol;Acc:HGNC:24295]	9986
559612	ENSOCUG00000009463	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary) [Source:HGNC Symbol;Acc:HGNC:241]	9986
559613	ENSOCUG00000009464	ADGRB3	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]	9986
559614	ENSOCUG00000009465	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	9986
559615	ENSOCUG00000009466	HEPHL1	hephaestin like 1 [Source:HGNC Symbol;Acc:HGNC:30477]	9986
559616	ENSOCUG00000009467	MAATS1	MYCBP-associated, testis expressed 1 [Source:HGNC Symbol;Acc:HGNC:24010]	9986
559617	ENSOCUG00000009468	GNG3	guanine nucleotide binding protein (G protein), gamma 3 [Source:HGNC Symbol;Acc:HGNC:4405]	9986
559618	ENSOCUG00000009469		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SXA2]	9986
559619	ENSOCUG00000009473	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	9986
559620	ENSOCUG00000009474		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SXA5]	9986
559621	ENSOCUG00000009478	ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	9986
559622	ENSOCUG00000009479	TTC9C	tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:HGNC:28432]	9986
559623	ENSOCUG00000009483	TMEM39A	transmembrane protein 39A [Source:HGNC Symbol;Acc:HGNC:25600]	9986
559624	ENSOCUG00000009484	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	9986
559625	ENSOCUG00000009485	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G [Source:HGNC Symbol;Acc:HGNC:9194]	9986
559626	ENSOCUG00000009486	CSN1S1	Alpha-S1-casein [Source:UniProtKB/Swiss-Prot;Acc:P09115]	9986
559627	ENSOCUG00000009487	TRPC3	transient receptor potential cation channel, subfamily C, member 3 [Source:HGNC Symbol;Acc:HGNC:12335]	9986
559628	ENSOCUG00000009488		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SXA9]	9986
559629	ENSOCUG00000009489	ARHGAP11A	Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]	9986
559630	ENSOCUG00000009490	AP1B1	adaptor related protein complex 1 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:554]	9986
559631	ENSOCUG00000009491	TAF6L	TATA-box binding protein associated factor 6 like [Source:HGNC Symbol;Acc:HGNC:17305]	9986
559632	ENSOCUG00000009492	POGLUT1	protein O-glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22954]	9986
559633	ENSOCUG00000009493	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29422]	9986
559634	ENSOCUG00000009494	CSN2	casein beta [Source:HGNC Symbol;Acc:HGNC:2447]	9986
559635	ENSOCUG00000009496	IQCE	IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]	9986
559636	ENSOCUG00000009498	SPRED1	sprouty-related, EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	9986
559637	ENSOCUG00000009500	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1321]	9986
559638	ENSOCUG00000009501	TMEM223	transmembrane protein 223 [Source:HGNC Symbol;Acc:HGNC:28464]	9986
559639	ENSOCUG00000009503	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	9986
559640	ENSOCUG00000009504	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	9986
559641	ENSOCUG00000009505	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	9986
559642	ENSOCUG00000009507	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	9986
559643	ENSOCUG00000009508	ADPRH	ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]	9986
559644	ENSOCUG00000009509	ELAC1	elaC ribonuclease Z 1 [Source:HGNC Symbol;Acc:HGNC:14197]	9986
559645	ENSOCUG00000009512	PLA1A	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]	9986
559646	ENSOCUG00000009513	PAPD4	PAP associated domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26776]	9986
559647	ENSOCUG00000009514	KIAA1211L	KIAA1211-like [Source:HGNC Symbol;Acc:HGNC:33454]	9986
559648	ENSOCUG00000009515	POPDC2	popeye domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17648]	9986
559649	ENSOCUG00000009516	CHRNA6	cholinergic receptor, nicotinic alpha 6 [Source:HGNC Symbol;Acc:HGNC:15963]	9986
559650	ENSOCUG00000009517			9986
559651	ENSOCUG00000009521	TCEAL8	transcription elongation factor A (SII)-like 8 [Source:HGNC Symbol;Acc:HGNC:28683]	9986
559652	ENSOCUG00000009522		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SXD6]	9986
559653	ENSOCUG00000009523	C7orf31	chromosome 7 open reading frame 31 [Source:HGNC Symbol;Acc:HGNC:21722]	9986
559654	ENSOCUG00000009524	CCDC190	coiled-coil domain containing 190 [Source:HGNC Symbol;Acc:HGNC:28736]	9986
559655	ENSOCUG00000009525	KANK3	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]	9986
559656	ENSOCUG00000009526	VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]	9986
559657	ENSOCUG00000009527	RAPGEF2	Rap guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:16854]	9986
559658	ENSOCUG00000009528		Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:G1SXE4]	9986
559659	ENSOCUG00000009529	WFDC2	WAP four-disulfide core domain 2 [Source:HGNC Symbol;Acc:HGNC:15939]	9986
559660	ENSOCUG00000009530	NPVF	neuropeptide VF precursor [Source:HGNC Symbol;Acc:HGNC:13782]	9986
559661	ENSOCUG00000009531	ANGEL1	angel homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19961]	9986
559662	ENSOCUG00000009532	AFF3	AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]	9986
559663	ENSOCUG00000009535	DYNC1LI1	dynein, cytoplasmic 1, light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	9986
559664	ENSOCUG00000009536	ECEL1	endothelin converting enzyme-like 1 [Source:HGNC Symbol;Acc:HGNC:3147]	9986
